id,name,unidentified_name_id,identified_name_id,type,material,grade,weight,inv_gfx_id,grd_gfx_id,item_desc_id,ac,safe_enchant,use_royal,use_knight,use_wizard,use_elf,use_darkelf,use_dragonknight,use_illusionist,str,con,dex,int,wis,cha,hp,mp,hpr,mpr,sp,min_level,max_level,mr,is_haste,damage_reduction,weight_reduction,hit_modifier,dmg_modifier,bow_hit_modifier,bow_dmg_modifier,bless,tradable,deletable,charge_time,expiration_time,defense_water,defense_wind,defense_fire,defense_earth,resist_stun,resist_stone,resist_sleep,resist_freeze,resist_hold,resist_blind,exp_bonus,potion_recovery_rate
20001,レザー キャップ,$1021,$1021,helm,leather,-1,10000,451,18,0,0,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20002,レザー ヘルム,$1023,$1023,helm,leather,-1,30000,456,18,0,-1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20003,アイアン ヘルム,$1209,$1209,helm,iron,-1,50000,507,18,0,-3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20004,シャドウ マスク,$2410,$2410,helm,cloth,-1,10000,1038,2866,816,-2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20005,ナイトフード,$1923,$1923,helm,cloth,-1,30000,915,18,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20006,ナイト バイザー,$414,$414,helm,iron,-1,40000,166,357,0,-3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20007,ドワヴィッシュ アイアン ヘルム,$122,$122,helm,iron,-1,40000,52,18,0,-2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20008,マイナー ウィンドヘルム,$1941,$1941,helm,leather,-1,50000,895,18,662,-1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20009,デーモン ヘルム,$1808,$1808,helm,iron,-1,50000,714,18,0,-2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
20010,デスナイト ヘルム,$1812,$1812,helm,iron,-1,50000,713,18,0,-3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N,0,0,0,0,0,0,0,0,0,0,0,0
