id,name,dish_id,dish_amount,fantasy_dish_id,fantasy_dish_amount
0,フローティングアイステーキ,41277,1,41285,1
1,ベアーステーキ,41278,1,41286,1
2,ナッツ餅,41279,1,41287,1
3,蟻脚のチーズ焼き,41280,1,41288,1
4,フルーツサラダ,41281,1,41289,1
5,フルーツ甘酢あんかけ,41282,1,41290,1
6,猪肉の串焼き,41283,1,41291,1
7,キノコスープ,41284,1,41292,1
8,キャビアカナッペ,49049,1,49057,1
9,アリゲーターステーキ,49050,1,49058,1
10,タートルドラゴンの菓子,49051,1,49059,1
11,キウィパロット焼き,49052,1,49060,1
12,スコーピオン焼き,49053,1,49061,1
13,イレッカドムシチュー,49054,1,49062,1
14,クモ脚の串焼き,49055,1,49063,1
15,クラブスープ,49056,1,49064,1
16,クラスタシアンのハサミ焼き,49244,1,49252,1
17,グリフォン焼き,49245,1,49253,1
18,コカトリスステーキ,49246,1,49254,1
19,タートルドラゴン焼き,49247,1,49255,1
20,レッサードラゴンの手羽先,49248,1,49256,1
21,ドレイク焼き,49249,1,49257,1
22,深海魚のシチュー,49250,1,49258,1
23,バシリスクの卵スープ,49251,1,49259,1
