npc_id,item_id,note,min,max,chance
45005,40056,肉,1,1,300000
45006,40056,肉,1,1,100000
45008,23,ブロード ソード,1,1,5000
45008,40010,レッド ポーション,1,1,50000
45008,40308,アデナ,10,30,1000000
45008,40405,動物の皮,1,1,10000
45008,40899,鋼鉄の原石,1,1,1000
45009,1,オーキッシュ ダガー,1,1,5000
45009,21,オーキッシュ ソード,1,1,50000
45009,20034,オーキッシュ ヘルム,1,1,10000
45009,20135,オーキッシュ リング メイル,1,1,5000
45009,40005,キャンドル,1,1,1000
45009,40008,メイプル ワンド,1,1,100
45009,40088,変身スクロール,1,1,1000
45009,40308,アデナ,10,30,1000000
45009,40405,動物の皮,1,1,10000
45009,40496,ミスリルの原石,1,1,50000
45009,40899,鋼鉄の原石,1,1,1000
45009,200001,オーキッシュ ダガー,1,1,5000
45009,220034,オーキッシュ ヘルム,1,1,5000
45009,220135,オーキッシュ リング メイル,1,1,5000
45010,40056,肉,1,1,300000
45010,40405,動物の皮,1,1,30000
45012,40056,肉,1,1,300000
45016,138,クラブ,1,1,1000
45016,20213,ロウ ブーツ,1,1,1000
45016,40010,レッド ポーション,1,1,10000
45016,40056,肉,1,1,100000
45016,40308,アデナ,11,32,1000000
45016,40405,動物の皮,1,1,10000
45017,40005,キャンドル,1,1,500
45017,40029,象牙の塔の体力回復剤,1,1,50000
45017,40308,アデナ,10,30,1000000
45018,40008,メイプル ワンド,1,1,1000
45018,40088,変身スクロール,1,1,10000
45018,40308,アデナ,10,30,1000000
45018,40405,動物の皮,1,1,10000
45018,40899,鋼鉄の原石,1,1,10000
45019,171,オーキッシュ ボウ,1,1,10000
45019,20034,オーキッシュ ヘルム,1,1,10000
45019,20135,オーキッシュ リング メイル,1,1,5000
45019,20136,オーキッシュ チェーン メイル,1,1,5000
45019,40005,キャンドル,1,1,1000
45019,40010,レッド ポーション,1,1,10000
45019,40017,シアン ポーション,1,1,10000
45019,40056,肉,1,1,300000
45019,40088,変身スクロール,1,1,10000
45019,40265,闇精霊の水晶(ブラインド ハイディング),1,1,10000
45019,40308,アデナ,11,32,1000000
45019,40743,アロー,10,30,100000
45019,40744,シルバー アロー,10,30,100000
45019,200171,オーキッシュ ボウ,1,1,10000
45019,220135,オーキッシュ リング メイル,1,1,5000
45019,220136,オーキッシュ チェーン メイル,1,1,1000
45019,240010,レッド ポーション,1,1,10000
45020,40029,象牙の塔の体力回復剤,1,1,400000
45020,40082,歌う島 帰還スクロール,1,1,580000
45020,40308,アデナ,5,10,650000
45020,41222,マシュル,1,1,250000
45020,49232,初心者秘法書,1,1,25000
45021,40056,肉,1,1,300000
45023,40056,肉,1,1,300000
45023,40405,動物の皮,1,1,30000
45023,41276,猪肉,1,1,0
45024,31,ロング ソード,1,1,500
45024,20147,スタデッド レザー アーマー,1,1,10000
45024,20205,ブーツ,1,1,1000
45024,20213,ロウ ブーツ,1,1,10000
45024,20239,スモール シールド,1,1,100000
45024,40025,オペイク ポーション,1,1,50000
45024,40056,肉,1,1,300000
45024,40171,魔法書(フィジカル エンチャント：DEX),1,1,50000
45024,40173,魔法書(バンパイアリック タッチ),1,1,50000
45024,40265,闇精霊の水晶(ブラインド ハイディング),1,1,1000
45024,40267,闇精霊の水晶(シャドウ アーマー),1,1,1000
45024,40274,闇精霊の水晶(ドレス デクスタリティー),1,1,1000
45024,40307,サイハの遺産,1,1,10000
45024,40308,アデナ,22,50,1000000
45024,220122,スケイル メイル,1,1,5000
45024,220125,チェーン メイル,1,1,5000
45024,220147,スタデッド レザー アーマー,1,1,5000
45024,220213,ロウ ブーツ,1,1,5000
45025,40044,ダイアモンド,1,1,10000
45025,40045,ルビー,1,1,10000
45025,40046,サファイア,1,1,10000
45025,40047,エメラルド,1,1,10000
45026,49232,初心者秘法書,1,1,25000
45027,40308,アデナ,12,33,1000000
45027,40405,動物の皮,1,1,10000
45027,40406,高級皮革,1,1,5000
45029,40499,きのこの胞子液,1,1,0
45032,40442,ブロッブの胃液,1,1,100000
45033,40308,アデナ,13,36,1000000
45033,40405,動物の皮,1,1,10000
45034,40056,肉,1,1,300000
45034,40308,アデナ,13,36,1000000
45034,40405,動物の皮,1,1,30000
45035,49232,初心者秘法書,1,1,25000
45036,49232,初心者秘法書,1,1,25000
45037,49232,初心者秘法書,1,1,25000
45038,49046,クモ脚の肉,1,1,0
45038,49232,初心者秘法書,1,1,25000
45039,40056,肉,1,1,50000
45039,40405,動物の皮,1,1,10000
45040,20014,魔法のヘルム：治癒,1,1,1000
45040,40013,グリーン ポーション,1,1,50000
45040,40014,ブレイブ ポーション,1,1,50000
45040,40308,アデナ,13,36,1000000
45040,41275,ベアー肉,1,1,0
45040,140100,テレポート スクロール,1,1,50000
45041,26,ドワヴィッシュ ソード,1,1,1000
45041,20007,ドワヴィッシュ アイアン ヘルム,1,1,50000
45041,20052,ドワヴィッシュ クローク,1,1,10000
45041,20223,ドワヴィッシュ ラウンド シールド,1,1,5000
45041,40025,オペイク ポーション,1,1,10000
45041,40088,変身スクロール,1,1,10000
45041,40304,マーブルの遺産,1,1,10000
45041,40308,アデナ,13,36,1000000
45041,40408,ランプ メタル,1,1,100000
45041,40494,ミスリル,1,1,100000
45041,40496,ミスリルの原石,1,1,50000
45041,40899,鋼鉄の原石,1,1,10000
45041,240010,レッド ポーション,1,1,10000
45042,40056,肉,1,1,300000
45042,40405,動物の皮,1,1,30000
45043,40056,肉,1,1,300000
45043,40405,動物の皮,1,1,30000
45044,40056,肉,1,1,100000
45044,40405,動物の皮,1,1,10000
45045,49232,初心者秘法書,1,1,25000
45046,40056,肉,1,1,100000
45046,40405,動物の皮,1,1,10000
45047,40056,肉,1,1,50000
45047,40405,動物の皮,1,1,10000
45048,40056,肉,1,1,300000
45048,40405,動物の皮,1,1,30000
45049,40056,肉,1,1,50000
45049,40405,動物の皮,1,1,10000
45050,20180,ダーク グローブ,1,1,10000
45050,40056,肉,1,1,100000
45050,40088,変身スクロール,1,1,10000
45050,40265,闇精霊の水晶(ブラインド ハイディング),1,1,10000
45050,40308,アデナ,11,32,1000000
45050,40738,シルバー スティング,1,1,10000
45050,40743,アロー,10,30,100000
45050,40744,シルバー アロー,10,30,100000
45051,40029,象牙の塔の体力回復剤,1,1,50000
45051,40056,肉,1,1,50000
45051,40082,歌う島 帰還スクロール,1,1,50000
45051,40308,アデナ,13,36,1000000
45052,49232,初心者秘法書,1,1,25000
45053,40056,肉,1,1,50000
45053,40405,動物の皮,1,1,10000
45054,40056,肉,1,1,50000
45054,40405,動物の皮,1,1,10000
45056,49232,初心者秘法書,1,1,25000
45057,49232,初心者秘法書,1,1,25000
45058,40056,肉,1,1,50000
45059,49232,初心者秘法書,1,1,25000
45061,49232,初心者秘法書,1,1,25000
45062,49232,初心者秘法書,1,1,25000
45063,49232,初心者秘法書,1,1,25000
45064,40045,ルビー,1,1,50000
45064,40307,サイハの遺産,1,1,10000
45064,40308,アデナ,15,38,1000000
45064,40405,動物の皮,1,1,10000
45064,40406,高級皮革,1,1,10000
45065,40089,復活スクロール,1,1,50000
45065,40173,魔法書(バンパイアリック タッチ),1,1,10000
45065,40185,魔法書(ダークネス),1,1,10000
45065,40186,魔法書(クリエイト ゾンビ),1,1,10000
45065,40265,闇精霊の水晶(ブラインド ハイディング),1,1,10000
45065,40266,闇精霊の水晶(エンチャント ベノム),1,1,10000
45065,40269,闇精霊の水晶(ドレス マイティー),1,1,10000
45065,40274,闇精霊の水晶(ドレス デクスタリティー),1,1,10000
45065,40308,アデナ,10,120,1000000
45065,40496,ミスリルの原石,1,1,100000
45065,40739,スティング,1,1,10000
45065,140100,テレポート スクロール,1,1,50000
45066,20070,ダーク マント,1,1,1000
45066,40173,魔法書(バンパイアリック タッチ),1,1,10000
45066,40185,魔法書(ダークネス),1,1,10000
45066,40186,魔法書(クリエイト ゾンビ),1,1,10000
45066,40265,闇精霊の水晶(ブラインド ハイディング),1,1,10000
45066,40266,闇精霊の水晶(エンチャント ベノム),1,1,10000
45066,40269,闇精霊の水晶(ドレス マイティー),1,1,10000
45066,40274,闇精霊の水晶(ドレス デクスタリティー),1,1,10000
45066,40308,アデナ,15,38,1000000
45066,140100,テレポート スクロール,1,1,100000
45068,40015,ブルー ポーション,1,1,10000
45068,40057,フローティング アイ 肉,1,1,300000
45068,40178,魔法書(カーズ パラライズ),1,1,10000
45068,40307,サイハの遺産,1,1,10000
45068,40899,鋼鉄の原石,1,1,10000
