item_id,note,drop_rate,drop_amount,unique_rate
1,オーキッシュ ダガー,1,1,1
200001,オーキッシュ ダガー,1,1,1
21,オーキッシュ ソード,1,1,1
91,オーキッシュ スピアー,1,1,1
171,オーキッシュ ボウ,1,1,1
200171,オーキッシュ ボウ,1,1,1
23,ブロード ソード,1,1,1
25,シルバー ソード,1,1,1
100025,シルバー ソード,1,1,1
26,ドワヴィッシュ ソード,1,1,1
27,シミター,1,1,1
100027,シミター,1,1,1
200027,シミター,1,1,1
31,ロング ソード,1,1,1
93,トライデント,1,1,1
94,パルチザン,1,1,1
96,槍,1,1,1
98,グレイブ,1,1,1
100098,グレイブ,1,1,1
102,ルチェルン ハンマー,1,1,1
100102,ルチェルン ハンマー,1,1,1
103,ハルバード,1,1,1
100103,ハルバード,1,1,1
136,アックス,1,1,1
137,アタム,1,1,1
138,クラブ,1,1,1
139,フレイル,1,1,1
140,メイス,1,1,1
143,バトル アックス,1,1,1
100143,バトル アックス,1,1,1
144,ドワヴィッシュ アックス,1,1,1
172,ボウ,1,1,1
100172,ボウ,1,1,1
173,ショート ボウ,1,1,1
20034,オーキッシュ ヘルム,1,1,1
220034,オーキッシュ ヘルム,1,1,1
20072,オーキッシュ クローク,1,1,1
20135,オーキッシュ リング メイル,1,1,1
220135,オーキッシュ リング メイル,1,1,1
20136,オーキッシュ チェーン メイル,1,1,1
220136,オーキッシュ チェーン メイル,1,1,1
20237,オーキッシュ シールド,1,1,1
220237,オーキッシュ シールド,1,1,1
20007,ドワヴィッシュ アイアン ヘルム,1,1,1
20052,ドワヴィッシュ クローク,1,1,1
20223,ドワヴィッシュ ラウンド シールド,1,1,1
20043,ヘルム,1,1,1
120043,ヘルム,1,1,1
220043,ヘルム,1,1,1
20089,レザー アーマー,1,1,1
20096,リング メイル,1,1,1
20147,スタデッド レザー アーマー,1,1,1
220147,スタデッド レザー アーマー,1,1,1
20122,スケイル メイル,1,1,1
220122,スケイル メイル,1,1,1
20125,チェーン メイル,1,1,1
220125,チェーン メイル,1,1,1
20149,ブロンズ プレート メイル,1,1,1
120149,ブロンズ プレート メイル,1,1,1
20115,スプリント メイル,1,1,1
220115,スプリント メイル,1,1,1
20101,バンデッド メイル,1,1,1
120101,バンデッド メイル,1,1,1
220101,バンデッド メイル,1,1,1
20239,スモール シールド,1,1,1
20242,ラージ シールド,1,1,1
120242,ラージ シールド,1,1,1
20213,ロウ ブーツ,1,1,1
220213,ロウ ブーツ,1,1,1
20205,ブーツ,1,1,1
20182,グローブ,1,1,1
120182,グローブ,1,1,1
20162,レザー グローブ,1,1,1
40001,ランプ,1,1,1
40002,ランタン,1,1,1
40005,キャンドル,1,1,1
