item_id,note,selling_price,purchasing_price
1,オーキッシュ ダガー,-1,2
2,ダイス ダガー,1,-1
3,ショートソードの刀身,1,-1
4,ダガー,-1,4
5,エルヴン ダガー,1,-1
6,ラスタバド ダガー,-1,500
7,象牙の塔のダガー,1,-1
8,ミスリル ダガー,100000,50000
9,オリハルコン ダガー,1,-1
10,ラスタバド ブレード,1,-1
11,クリスタル ショートソード,35000,17500
12,ウィンドブレード ソード,1,-1
13,フィンガー オブ デス,1,-1
14,混沌の爪,1,-1
15,カーツ ソード,1,-1
16,リベンジ ソード,1,-1
17,封印された 古代のグレートソード,1,-1
18,封印された 古代のソード,1,-1
19,ロングソードの刀身,1,-1
20,オリハルコンソードの刀身,1,-1
21,オーキッシュ ソード,-1,5
22,メイル ブレイカー,1,-1
23,ブロード ソード,-1,15
24,ショート ソード,-1,50
25,シルバー ソード,-1,900
26,ドワヴィッシュ ソード,-1,130
27,シミター,-1,660
28,エルヴン ソード,1,-1
29,シルバー ロング ソード,13000,6500
30,レッドナイト ソード,1,-1
31,ロング ソード,-1,1500
32,グラディウス,-1,1250
33,名誉の剣,1,-1
34,レッド デザイア ダガー,1,-1
35,象牙の塔のソード,1,-1
36,イリュージョン ソード,1,-1
37,ダマスカス ソード,5000,2500
38,ラスタバド ロングソード,-1,5000
39,カトラス,28000,14000
40,ブラッド グレートソード,15000,7500
41,刀,20000,10000
42,レイピア,1,-1
43,シャムシール,30000,15000
44,古代のダークエルフソード,1,-1
45,ポルセの剣,1,-1
46,生命力のソード,1,-1
47,サイレンス ソード,1,-1
48,象牙の塔のツーハンド ソード,1,-1
49,ジェネラル ソード,15000,7500
50,フレイム ソード,1,-1
51,ゴールデン スティック,1,-1
52,ツーハンド ソード,18000,9000
53,リザードマン グレートソード,1,-1
54,カーツ ソード,1,-1
55,ダーク ソード,1,-1
56,デス ブレード,1,-1
57,ツルギ,35000,17500
58,デスナイト フレイムブレード,1,-1
59,ナイトバルドのツーハンド ソード,1,-1
60,ドゥーム ブレード,1,-1
61,真冥王の執行剣,1,-1
62,ジェネラル グレートソード,1,-1
63,イビル ソード,1,-1
64,グレート ソード,80000,40000
65,ヘブン ソード,1,-1
66,ドラゴン スレイヤー,1,-1
67,エンシェント グレートソード,1,-1
68,エンシェント ソード,1,-1
69,ブロンズ デュアル ブレード,-1,400
70,ギムレット デュアルブレード,-1,1750
71,スチール デュアル ブレード,-1,750
72,シェイド デュアル ブレード,-1,1500
73,象牙の塔のデュアルブレード,1,-1
74,シルバー デュアル ブレード,1,-1
75,ダーク デュアル ブレード,1,-1
76,ロンドゥ デュアルブレード,1,-1
77,ショート デュアル ブレード,-1,4000
78,暗殺軍王のデュアルブレード,1,-1
79,アビス デュアルブレード,1,-1
80,ダマスカス デュアル ブレード,30000,15000
81,ブラインド デュアル ブレード,1,-1
82,ラスタバド デュアルブレード,-1,5000
83,ディアド デュアルブレード,1,-1
84,ダークネス デュアルブレード,1,-1
85,イビル デュアルブレード,1,-1
86,レッドシャドウ デュアルブレード,1,-1
87,謎のスピアー,1,-1
88,パンの角,1,-1
89,ミスリル ホーン,1,-1
90,バルディッシュ,-1,17
91,オーキッシュ スピアー,-1,25
92,ビルギサルメ,-1,90
93,トライデント,-1,12
94,パルチザン,-1,250
95,ランス,-1,30
96,槍,-1,40
97,ギサルメ,-1,100
98,グレイブ,-1,180
99,エルヴン スピアー,1,-1
100,オリハルコン ホーン,1,-1
