id,note,remove_group_if_leader_die,leader_id,minion1_id,minion1_count,minion2_id,minion2_count,minion3_id,minion3_count,minion4_id,minion4_count,minion5_id,minion5_count,minion6_id,minion6_count,minion7_id,minion7_count
1,ブラックナイト -捜索隊-(2),0,81066,81066,1,0,0,0,0,0,0,0,0,0,0,0,0
2,エルモアゾンビジェネラル+エルモアゾンビソルジャー(2)+エルモアゾンビウィザード(2),0,45248,45216,2,45224,2,0,0,0,0,0,0,0,0,0,0
3,エルモアゾンビジェネラル+エルモアゾンビソルジャー+エルモアゾンビウィザード(2),0,45248,45216,1,45224,2,0,0,0,0,0,0,0,0,0,0
4,エルモアゾンビジェネラル+エルモアゾンビソルジャー(2)+エルモアゾンビウィザード,0,45248,45216,2,45224,1,0,0,0,0,0,0,0,0,0,0
5,ゴブリン(3),0,45008,45008,2,0,0,0,0,0,0,0,0,0,0,0,0
6,ホブゴブリン+ゴブリン(3),0,45140,45008,3,0,0,0,0,0,0,0,0,0,0,0,0
7,エルダー+フローティングアイ(2),0,45215,45068,2,0,0,0,0,0,0,0,0,0,0,0,0
8,オークファイター+オーク(2)+オークアーチャー(2),0,45082,45017,2,45019,2,0,0,0,0,0,0,0,0,0,0
9,ファイアーエッグ(2),0,45206,45206,1,0,0,0,0,0,0,0,0,0,0,0,0
10,ガーストロード+ガースト(3),0,45346,45213,3,0,0,0,0,0,0,0,0,0,0,0,0
11,ゾンビ(16),0,45065,45065,15,0,0,0,0,0,0,0,0,0,0,0,0
12,マーメイド+呪われたマーマン,0,45154,45940,1,0,0,0,0,0,0,0,0,0,0,0,0
13,カーツ+ブラックナイト(8),1,45600,45165,8,0,0,0,0,0,0,0,0,0,0,0,0
14,カスパー+メルキオール+バルタザール+セマ,0,45488,45497,1,45473,1,45464,1,0,0,0,0,0,0,0,0
15,ネクロマンサー+グール(4)+フローティングアイ(2),1,45456,45157,4,45068,2,0,0,0,0,0,0,0,0,0,0
16,ブラックエルダー+スパルトイ(2),1,45545,45161,2,0,0,0,0,0,0,0,0,0,0,0,0
17,ドレイク(2),0,45529,45529,1,0,0,0,0,0,0,0,0,0,0,0,0
18,ケンラウヘル+ケレニス,0,45680,45678,1,0,0,0,0,0,0,0,0,0,0,0,0
19,バランカ+ライア,0,45651,45677,1,0,0,0,0,0,0,0,0,0,0,0,0
20,マンボラビット+マンボラビットの手下(3),1,45534,45366,3,0,0,0,0,0,0,0,0,0,0,0,0
