npc_id,note,normal_action,chaotic_action,teleport_url,teleport_urla
45015,アヒル,duck1,duck1,,
45154,マーメイド,mermaid,mermaid,,
46069,選ばれなかった者,minicod1,minicod1,,
46070,選ばれなかった者,minicod3,minicod3,,
46077,選ばれなかった者,minicod2,minicod2,,
46072,選ばれなかった者,minicod2,minicod2,,
46076,選ばれなかった者,minicod1,minicod1,,
46074,選ばれなかった者,minicod2,minicod2,,
46075,選ばれなかった者,minicod3,minicod3,,
46078,選ばれなかった者,minicod1,minicod1,,
46079,選ばれなかった者,minicod2,minicod2,,
46080,選ばれなかった者,minicod1,minicod1,,
46081,選ばれなかった者,minicod2,minicod2,,
46092,選ばれなかった者,minitos3,minitos3,,
46093,選ばれなかった者,minitos3,minitos3,,
46094,選ばれなかった者,minitos2,minitos2,,
46095,選ばれなかった者,minitos2,minitos2,,
46096,選ばれなかった者,minitos1,minitos1,,
46164,ラスタバド キューブ,lascube1,lascube1,,
46165,ラスタバド キューブ,lascube2,lascube2,,
46166,ラスタバド キューブ,lascube3,lascube3,,
46167,ラスタバド キューブ,lascube4,lascube4,,
46197,テレポーター^マエノブ,maetnob,maetnob,,
46198,テレポーター^マエノブの炎,omantel1,omantel1,,
46199,テレポーター^マエノブの炎,omantel,omantel,,
46200,テレポーター^マエノブの炎,omantel,omantel,,
46201,テレポーター^マエノブの炎,omantel,omantel,,
46202,テレポーター^マエノブの炎,omantel,omantel,,
46203,テレポーター^マエノブの炎,omantel,omantel,,
46204,テレポーター^マエノブの炎,omantel,omantel,,
46205,テレポーター^マエノブの炎,omantel,omantel,,
46206,テレポーター^マエノブの炎,omantel,omantel,,
46207,テレポーター^マエノブの炎,omantel,omantel,,
46209,錬金術師^ムブニ,mubni1,mubni1,,
46280,錬金術師^ロッセン,new_alchemy1,new_alchemy1,,
46281,錬金術師^ドーリスト,new_alchemy1,new_alchemy1,,
46282,錬金術師^リオスト,new_alchemy1,new_alchemy1,,
46283,錬金術師^レオルビン,new_alchemy1,new_alchemy1,,
46284,錬金術師^セットン,new_alchemy1,new_alchemy1,,
46285,錬金術師^シャリルエン,new_alchemy1,new_alchemy1,,
46286,錬金術師^プヘス,new_alchemy1,new_alchemy1,,
46287,錬金術師^フラメス,new_alchemy1,new_alchemy1,,
46288,錬金術師^アルヘルス,new_alchemy1,new_alchemy1,,
46289,錬金術師^ルバルモン,new_alchemy1,new_alchemy1,,
46290,佐ノ吉,jp_spmorph1,jp_spmorph1,,
46293,佐ノ吉,jp_sanoki1,jp_sanoki1,,
46295,虎助,jp_takesi1,jp_takesi1,,
46296,小六郎,jp_kazuki1,jp_kazuki1,,
46297,万吉,jp_masahi1,jp_masahi1,,
46298,日吉丸,jp_hiyosi1,jp_hiyosi1,,
46299,日ノ本の特典女将,jp_hinowm1,jp_hinowm1,,
50001,エルフの森テレポーター^バルニア,barnia1,barnia1,barnia4,
50002,スカイ,sky4,sky4,sky1,
50003,話せる島テレポーター^イルドラス,illdrath1,illdrath1,illdrath,
50004,テレポーター^初心者のテレポーター,htel,htel,htel1,
50005,沈黙の洞窟の村テレポーター^カレン,karen3,karen3,karen1,
50006,ダンジョンテレポーター^ココ,coco4,coco4,coco1,
50007,イスメラルダ,esmereld2,esmereld2,esmereld,
50008,決闘場案内員,aghvout,aghvout,agout,
50009,話せる島テレポーター^イシター,ishtar1,ishtar1,ishtar,
50010,テレポーター^初心者のテレポーター,stel,stel,stel1,
50011,ダンジョンテレポーター^クン,kun4,kun4,kun2,
50012,キヨリ,kiyari4,kiyari4,kiyari2,
50013,決闘場案内員,agsiout,agsiout,agout,
50014,ディロン,dilong2,dilong2,dilongs,
50015,テレポーター^ルーカス,teleisland1,teleisland1,teleisland2,
50016,テレポーター^ジェノ,zeno,zeno,zeno2,
50017,火田村のテレポーター^キース,telefire1,telefire2,telefire3,
50018,コロシアム管理人,colos,colos,colos1,
50019,コロシアム副管理人,colusher,colusher,,
50020,テレポーター^スタンリー,telekent1,telekent1,telekent2,telekent3
50022,火田村のテレポーター^ハリソン,telefire1,telefire2,telefire3,
50021,テレポーター^王宮ゲートキーパー,teleckent1,teleckent1,teleckent2,
50023,テレポーター^オベール,kentober1,kentober1,kentober2,
50024,テレポーター^アスター,telegludin1,telegludin1,telegludin2,telegludin3
50025,テレポーター^市場ガード,gltzguard,gltzguard,gltzguard1,
50026,市場テレポーター,telegltz1,telegltz1,telegltz2,
50027,市場テレポーター^メデ,gltztele,gltztele,gltztele1,
50028,コロシアム管理人,colos,colos,colos1,
50029,コロシアム副管理人,colusher,colusher,,
50030,火田村のテレポーター^フッファー,telefire1,telefire2,telefire3,
50031,セピア,sepia2,sepia2,,
50032,テレポーター^市場ガード,grtzguard,grtzguard,grtzguard1,
50033,市場テレポーター,telegrtz1,telegrtz1,telegrtz2,
50034,市場テレポーター^エルバ,grtztele,grtztele,grtztele1,
50035,テレポーター^王宮ゲートキーパー,telecgiran1,telecgiran1,telecgiran2,
50036,テレポーター^ウィルマ,telegiran1,telegiran1,telegiran2,telegiran3
50037,コロシアム管理人,colos,colos,colos1,
50038,コロシアム副管理人,colusher,colusher,,
50039,テレポーター^レスリー,televala1,televala1,televala2,televala3
50040,テレポーター^王宮ゲートキーパー,telecdwarf1,telecdwarf1,telecdwarf2,
50041,コロシアム管理人,colos,colos,colos1,
50042,コロシアム副管理人,colusher,colusher,,
50043,ラムダ,ramudap2,ramudap2,ramudap1,
50044,テレポーター^シリウス,sirius1,sirius1,sirius2,sirius3
50045,テレポーター^エドレン,telephantasm,telephantasm,phantasmisle,
50046,テレポーター^エレリス,elleris1,elleris1,elleris2,elleris3
50047,テレポーター^王宮ゲートキーパー,telecaden1,telecaden1,telecaden2,
50048,テレポーター^市場ガード,ortzguard,ortzguard,ortzguard1,
50049,市場テレポーター,teleortz1,teleortz1,teleortz2,
50050,市場テレポーター^エルボー,ortztele,ortztele,ortztele1,
50051,テレポーター^キリウス,kirius1,kirius1,kirius2,kirius3
50052,テレポーター^王宮ゲートキーパー,telecwoods1,telecwoods1,telecwoods2,
50053,火田村のテレポーター^コッブ,telefire1,telefire2,telefire3,
50054,テレポーター^トレイ,telewoods1,telewoods1,telewoods2,telewoods3
50055,テレポーター^ドリスト,drist2,drist2,,
50056,テレポーター^メット,telesilver1,telesilver1,telesilver2,telesilver3
50057,火田村のテレポーター^バンチ,telefire1,telefire2,telefire3,
50058,テレポーター^市場ガード,sktzguard,sktzguard,sktzguard1,
50059,市場テレポーター,telesktz1,telesktz1,telesktz2,
50060,市場テレポーター^ベルガー,sktztele,sktztele,sktztele1,
50061,コロシアム管理人,colos,colos,colos1,
50062,コロシアム副管理人,colusher,colusher,,
50063,要塞ゲートキーパー,telecorc1,telecorc1,telecorc2,
50064,テレポーター^デュバル,duvall1,duvall1,duvall3,
50065,テレポーター^リビアン,ribian4,ribian4,,
50066,テレポーター^リオル,teleheine1,teleheine1,teleheine2,teleheine3
50067,テレポーター^王宮ゲートキーパー,telecheine1,telecheine1,telecheine2,
50068,テレポーター^ディアノス,telescave1,telescave1,telescave2,
50069,テレポーター^エニャ,enya3,enya3,enya1,
50070,テレポーター^ラッキー,luck1,luck1,luck2,
50071,テレポーター^アシリス,escapefi1,escapefi1,escapefi2,
50072,テレポーター^ディアルズ,teleoum1,teleoum1,teleoum2,
50073,テレポーター^ディアベス,telediad1,telediad1,telediad2,
50074,大空洞テレポーター,telecavern1,telecavern1,telecavern2,
50075,要塞ゲートキーパー,telecdiad1,telecdiad1,telecdiad2,
50076,精霊のオーブ,telgrave1,telgrave1,telgrave2,
50077,精霊のオーブ,telabyss1,telabyss1,telabyss2,
50078,精霊のオーブ,picrystal,picrystal,picrystal1,
50079,テレポーター^ダニエル,telediad1,telediad1,telediad2,telediad3
50080,パウル,paul1,paul1,teleorcbdg1,
50081,探査員の助手,subinvest1,subinvest1,,
50082,歌う島のテレポーター,en0221,en0221,,
50083,歌う島へのテレポーター,en0231,en0231,,
50084,ガード,exitghost1,exitghost1,,
50085,精霊のオーブ,telgrave1,telgrave1,telgrave4,
50086,精霊のオーブ,telgrave1,telgrave1,telgrave5,
50087,精霊のオーブ,telgrave1,telgrave1,telgrave6,
50088,精霊のオーブ,telgrave1,telgrave1,telgrave7,
50111,案内人^リリー,orenc2,orenc2,,
50112,象牙の塔のウィザード^セリアン,orenb1,orenb1,,
50113,象牙の塔のウィザード^レックマン,orena1,orena1,,
50114,象牙の塔ウィザード^チコ,orenh2,orenh2,,
50115,象牙の塔ウィザード^ザルマン,oreno2,oreno2,,
50116,象牙の塔ウィザード^ギオン,orend2,orend2,,
50117,象牙の塔ウィザード^シリア,orene2,orene2,,
50118,雑貨商人^ニキ,niki,niki,,
50119,象牙の塔ウィザード^オシーリア,orenf2,orenf2,,
50120,象牙の塔ウィザード^ホップ,oreni2,oreni2,,
50121,象牙の塔ウィザード^ホーニン,oreng2,oreng2,,
50122,象牙の塔ウィザード^ターク,orenj2,orenj2,,
50123,象牙の塔ウィザード^ガリオン,orenk2,orenk2,,
50124,象牙の塔ウィザード^フォリカン,orenm2,orenm2,,
50125,象牙の塔ウィザード^ギルバート,orenl2,orenl2,,
50126,象牙の塔ウィザード^ジェリック,orenn2,orenn2,,
50127,テレポート スクロール製作師^コンスル,consul2,consul2,consul1,
50501,アジト管理人^グレダ,agit,agit,agtel0,
50502,アジト管理人^ギネブラ,agit,agit,agtel0,
50503,アジト管理人^ノエラ,agit,agit,agtel0,
50504,アジト管理人^ニコリン,agit,agit,agtel0,
50505,アジト管理人^ダイアン,agit,agit,agtel0,
50506,アジト管理人^ドゥアナ,agit,agit,agtel0,
50507,アジト管理人^レオノラ,agit,agit,agtel0,
50508,アジト管理人^ルティンダ,agit,agit,agtel0,
50509,アジト管理人^リビナ,agit,agit,agtel0,
50510,アジト管理人^マリナ,agit,agit,agtel0,
50511,アジト管理人^マージェリー,agit,agit,agtel0,
50512,アジト管理人^メアリー,agit,agit,agtel0,
50513,アジト管理人^メンネファ,agit,agit,agtel0,
50514,アジト管理人^ミネルバ,agit,agit,agtel0,
50515,アジト管理人^ミリヤム,agit,agit,agtel0,
50516,アジト管理人^ベレスカ,agit,agit,agtel0,
50517,アジト管理人^ベレニス,agit,agit,agtel0,
50518,アジト管理人^ベビナ,agit,agit,agtel0,
50519,アジト管理人^ベス,agit,agit,agtel0,
50520,アジト管理人^サラ,agit,agit,agtel0,
50521,アジト管理人^サロマ,agit,agit,agtel0,
50522,アジト管理人^シグリド,agit,agit,agtel0,
50523,アジト管理人^エルマ,agit,agit,agtel0,
50524,アジト管理人^メミーラ,agit,agit,agtel0,
50525,アジト管理人^エラリア,agit,agit,agtel0,
50526,アジト管理人^エリノラ,agit,agit,agtel0,
50527,アジト管理人^エンマ,agit,agit,agtel0,
50528,アジト管理人^オサ,agit,agit,agtel0,
50529,イブ,agit,agit,agtel0,
50530,アジト管理人^イオネ,agit,agit,agtel0,
50531,アジト管理人^ジャスティン,agit,agit,agtel0,
50532,アジト管理人^ジェラルディン,agit,agit,agtel0,
50533,アジト管理人^ジョアンナ,agit,agit,agtel0,
50534,アジト管理人^ジュリア,agit,agit,agtel0,
50535,アジト管理人^ジュリアナ,agit,agit,agtel0,
50536,アジト管理人^ジルダ,agit,agit,agtel0,
50537,アジト管理人^カレーリア,agit,agit,agtel0,
50538,アジト管理人^カーメル,agit,agit,agtel0,
50539,アジト管理人^カリン,agit,agit,agtel0,
50540,アジト管理人^カトリオナ,agit,agit,agtel0,
50541,アジト管理人^テサ,agit,agit,agtel0,
50542,アジト管理人^テオドラ,agit,agit,agtel0,
50543,アジト管理人^テクラ,agit,agit,agtel0,
50544,アジト管理人^ポーリナ,agit,agit,agtel0,
50545,アジト管理人^ヘンリエッタ,agit,agit,agtel0,
50546,アジト管理人^ナディン,agit,agit,agtel0,
50547,アジト管理人^ナッシュ,agit,agit,agtel0,
50548,アジト管理人^ナタリア,agit,agit,agtel0,
