npc_id,note,chat_timing,start_delay_time,chat_id1,chat_id2,chat_id3,chat_id4,chat_id5,chat_interval,is_shout,is_world_chat,is_repeat,repeat_interval,game_time
45473,バルタザール,0,0,$339,,,,,0,1,0,1,20000,0
45488,カスパー,0,5000,$340,,,,,0,1,0,1,20000,0
45497,メルキオール,0,10000,$341,,,,,0,1,0,1,20000,0
45464,セマ,0,15000,$342,,,,,0,1,0,1,20000,0
45545,ブラック エルダー,0,0,$993,,,,,0,1,0,1,10000,0
45545,ブラック エルダー,1,0,$995,,,,,0,0,0,0,0,0
45600,カーツ,0,0,$275,$279,$281,$285,$287,5000,0,0,0,0,0
45600,カーツ,1,0,$302,,,,,0,0,0,0,0,0
45264,ハーピー,2,0,$994,,,,,0,0,0,0,0,0
45573,バフォメット,0,0,$825,,,,,0,1,0,0,0,0
45931,水の精霊,1,0,$5167,,,,,0,0,0,0,0,0
45935,呪われた メデューサ,0,0,$5169,,,,,0,0,0,0,10000,0
45941,呪われた巫女 サエル,1,0,$5166,,,,,0,1,0,0,0,0
45942,呪われた 水の大精霊,0,0,$5170,,,,,0,1,0,0,10000,0
45943,カープ,1,0,$5165,,,,,0,0,0,0,0,0
46083,巡察兵 2,0,0,$5016,,,,,0,1,0,0,0,0
46098,巡察兵 2,0,0,$5014,,,,,0,1,0,0,0,0
45577,旅団長 ダークパンサー,1,0,$3892,,,,,0,0,0,0,0,0
45607,魔獣団長 カイバール,1,0,$3900,,,,,0,0,0,0,0,0
45863,魔霊軍王 ライア,1,0,$3908,,,,,0,0,0,0,0,0
45676,冥法軍王 ヘルバイン,1,0,$3923,,,,,0,0,0,0,0,0
45648,暗殺軍王 スレイヴ,1,0,$3940,,,,,0,0,0,0,0,0
45588,師団長 シンクレア,1,0,$3901,,,,,0,0,0,0,0,0
45602,魔法団長 カルミエル,1,0,$3903,,,,,0,0,0,0,0,0
45608,傭兵隊長 メファイスト,1,0,$3930,,,,,0,0,0,0,0,0
45612,神官長 バウンティ,1,0,$3912,,,,,0,0,0,0,0,0
45844,魔獣軍王 バランカ,1,0,$3895,,,,,0,0,0,0,0,0
45615,冥法団長 クリファス,1,0,$3917,,,,,0,0,0,0,0,0
45585,暗殺団長 ブレイズ,1,0,$3939,,,,,0,0,0,0,0,0
45574,親衛隊長 カイト,1,0,$3938,,,,,0,0,0,0,0,0
45492,シュノーヴァ,1,0,$3943,,,,,0,0,0,0,0,0
45548,ホセ,1,0,$4030,,,,,0,0,0,0,0,0
45955,大法官 ケイナ,1,0,$4625,,,,,0,0,0,0,0,0
45959,大法官 イデア,1,0,$4626,,,,,0,0,0,0,0,0
45963,副祭祀長 カサンドラ,1,0,$3888,,,,,0,0,0,0,0,0
46157,オーク密使,1,0,$6127,,,,,0,0,0,0,0,0
46158,オーク密使,1,0,$6127,,,,,0,0,0,0,0,0
46159,オーク密使,1,0,$6127,,,,,0,0,0,0,0,0
81175,おたずね者 クジャク,0,0,$5325,,,,,0,1,0,1,15000,0
81175,おたずね者 クジャク,1,0,$5327,,,,,0,0,0,0,0,0
45458,ドレイク,1,0,$3603,,,,,0,0,0,0,0,0
45513,ディストーション ゼニス クイーン,0,0,$12368,$12369,$12370,,,0,0,0,1,10000,0
45513,ディストーション ゼニス クイーン,1,0,$12413,,,,,0,0,0,0,0,0
45547,ミストラスト シアー,0,0,$12371,$12372,$12373,,,0,0,0,1,10000,0
45547,ミストラスト シアー,1,0,$12414,,,,,0,0,0,0,0,0
45606,フィア バンパイア,0,0,$12374,$12375,$12376,,,0,0,0,1,10000,0
45606,フィア バンパイア,1,0,$12415,,,,,0,0,0,0,0,0
45650,デス ゾンビ ロード,0,0,$12377,$12378,$12379,,,0,0,0,1,10000,0
45650,デス ゾンビ ロード,1,0,$12416,,,,,0,0,0,0,0,0
45652,ヘル クーガー,0,0,,,,,,0,0,0,1,10000,0
45652,ヘル クーガー,1,0,$12417,,,,,0,0,0,0,0,0
45653,イモータル マミーロード,0,0,$12383,$12384,$12385,,,0,0,0,1,10000,0
45653,イモータル マミーロード,1,0,$12419,,,,,0,0,0,0,0,0
45654,マーシレス アイリス,0,0,$12386,$12387,$12388,,,0,0,0,1,10000,0
45654,マーシレス アイリス,1,0,$12418,,,,,0,0,0,0,0,0
45618,ダーク ナイトバルド,0,0,$12389,$12390,$12391,,,0,0,0,1,10000,0
45618,ダーク ナイトバルド,1,0,$12420,,,,,0,0,0,0,0,0
45672,フォーエバー リッチ,0,0,$12392,$12393,$12394,,,0,0,0,1,10000,0
45672,フォーエバー リッチ,1,0,$12421,,,,,0,0,0,0,0,0
45673,デス グリムリーパー,0,0,$12395,$12396,$12397,$12398,$12399,0,0,0,1,10000,0
45673,デス グリムリーパー,1,0,$12422,,,,,0,0,0,0,0,0
46210,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46210,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46211,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46211,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46212,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46212,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46213,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
