id,name,name_id,note,impl,gfx_id,level,hp,mp,ac,str,con,dex,wis,int,mr,exp,lawful,size,weak_attr,ranged,tamable,move_speed,atk_speed,alt_atk_speed,atk_magic_speed,sub_magic_speed,undead,poison_atk,paralysis_atk,agro,agro_sosc,agro_coi,family,agro_family,agro_gfx_id1,agro_gfx_id2,pickup_item,digest_item,brave_speed,hpr_interval,hpr,mpr_interval,mpr,teleport,random_level,random_hp,random_mp,random_ac,random_exp,random_lawful,damage_reduction,hard,doppel,enable_tu,enable_erase,bow_act_id,karma,transform_id,transform_gfx_id,light_size,amount_fixed,change_head,cant_resurrect,is_equality_drop,boss
45001,scarecrow,,,L1Scarecrow,114,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45002,scarecrow,,,L1Scarecrow,116,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45003,scarecrow,,新,L1Scarecrow,2084,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45004,darkelf scarecrow,,DE村,L1Scarecrow,2992,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,240,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45005,カエル,$256,,L1Monster,55,1,1,0,10,0,0,0,0,0,0,2,0,small,0,1,0,1440,1000,0,1000,1000,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45006,シーアネモネ,$1425,赤,L1Monster,1586,1,20,0,3,7,10,7,1,1,0,2,0,small,0,1,0,0,1000,0,1000,1000,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45008,ゴブリン,$958,普通の,L1Monster,1022,2,3,10,10,10,12,10,7,7,2,5,-3,small,2,1,1,760,920,1000,1000,1000,0,0,0,0,0,0,goblin,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45009,オーク,$59,普通の,L1Monster,56,2,6,4,10,6,12,10,6,10,0,5,-2,small,4,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45010,ウサギ,$936,白ウサギ,L1Monster,998,2,7,0,10,12,11,12,8,7,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45011,ウサギ,$936,白ウサギ 小,L1Monster,1002,2,7,0,10,0,0,0,0,99,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45012,ウサギ,$936,茶ウサギ,L1Monster,999,2,7,0,10,12,11,12,8,7,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45013,ウサギ,$936,茶ウサギ 小,L1Monster,1003,2,7,0,10,0,0,0,0,99,0,5,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45015,アヒル,$952,,L1Monster,1014,2,10,0,10,5,12,15,1,0,0,5,25,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45016,コボルド,$970,普通の,L1Monster,1059,3,7,15,10,12,11,12,7,8,2,10,-3,small,2,1,1,1280,1080,0,1080,1080,0,0,0,0,0,0,kobold,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45017,オーク,$59,(廃止),L1Monster,56,2,6,4,10,6,12,10,6,10,0,10,-2,small,8,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45018,オーク,$59,SC,L1Monster,56,2,6,4,10,6,12,10,6,10,0,5,-2,small,4,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45019,オーク アーチャー,$267,普通の,L1Monster,3860,3,12,4,10,12,11,12,7,8,2,10,-3,small,4,10,1,800,1880,720,1440,1760,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,-1,0,0,0,0,0,0,0
45020,アイランド ファングス,$1750,(廃止),L1Monster,852,3,20,10,10,6,10,12,6,6,0,10,-5,small,2,1,1,1040,1480,0,1480,1480,0,4,0,0,0,0,fungus,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45021,鹿,$930,普通の,L1Monster,947,3,25,0,9,5,12,15,1,0,0,10,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45022,鹿,$930,クリスマス,L1Monster,1236,3,25,0,9,5,12,15,1,0,0,10,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45023,猪,$931,普通の,L1Monster,979,6,20,5,7,11,12,10,5,6,1,37,0,small,2,1,1,640,800,0,800,800,0,0,0,0,0,0,animal,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45024,ウェアウルフ,$18,普通の,L1Monster,1110,9,50,20,4,15,15,12,10,10,10,82,-9,small,1,1,1,640,840,880,1760,1760,5,0,0,0,0,0,wolf,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45025,グレムリン,$1046,,L1Monster,1154,4,50,20,10,11,12,18,7,8,1,17,-3,small,2,1,1,320,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45026,ヴァリアント アリゲーター,$1702,(廃止),L1Monster,1574,4,25,10,8,15,13,13,6,5,60,17,-4,small,8,1,1,640,1480,1240,1480,1480,0,0,0,1,0,0,alligator,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45027,アイドロン,$1043,ギラン(未配置),L1Monster,1150,4,20,5,10,11,10,11,7,8,1,17,-3,small,2,1,1,320,960,0,1440,1440,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45028,カーズド オークゾンビ,$1744,,L1Monster,1121,4,45,25,8,10,10,10,7,8,0,17,-7,small,0,1,0,1440,1800,0,1800,1800,1,1,0,1,0,0,zombie,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0
45029,ファングス,$757,CC,L1Monster,852,4,20,10,5,6,10,12,6,6,0,17,-5,small,2,1,1,1040,1480,0,1480,1480,0,1,0,1,0,0,fungus,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45030,ファングス,$757,SC,L1Monster,852,4,40,10,5,6,10,12,6,6,1,17,-5,small,2,1,1,1040,1480,0,1480,1480,0,1,0,1,0,0,fungus,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45032,ブロッブ,$758,,L1Monster,31,5,20,10,7,15,17,8,4,7,0,26,-5,small,8,1,1,840,640,0,640,640,0,0,0,0,0,0,,0,-1,-1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45033,インプ,$1044,ギラン,L1Monster,1152,5,20,40,6,9,10,14,7,8,1,26,-3,small,1,10,1,480,1520,0,1400,1400,0,0,0,1,0,0,imp,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1156,0,-1,0,0,0,0,0,0,0
45034,シェパード,$907,ペット,L1Monster,936,5,30,5,9,15,12,15,7,7,1,26,0,small,0,1,1,560,960,920,960,960,0,0,0,0,0,0,dog,1,-1,-1,0,0,0,5000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45035,ローグ ブラックナイト,$1715,,L1Monster,4003,5,25,10,8,16,16,15,12,12,0,26,-5,small,0,2,0,480,1120,760,760,760,0,0,0,1,0,0,antiking,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,14,0,0,0,0,0
45036,バレー ベアー,$1700,(廃止),L1Monster,1642,5,50,0,10,0,0,0,0,99,0,26,0,small,0,1,1,800,2000,1120,2000,2000,0,0,0,0,0,0,bear,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45037,バレー ライカンスロープ,$1711,(廃止),L1Monster,1108,5,35,10,6,16,16,13,10,10,7,26,-6,small,2,1,1,640,800,720,1440,1440,5,0,0,1,0,0,wolf,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45038,バレー ジャイアント スパイダー,$1699,(廃止),L1Monster,95,5,30,15,8,15,13,17,6,5,12,26,-5,large,2,2,1,480,880,0,1680,1680,0,0,0,1,0,0,spider,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45039,キャット,$2701,ペット,L1Monster,3134,5,20,30,20,9,8,13,15,15,15,26,0,small,0,1,1,640,1040,1120,1040,1040,0,0,0,0,0,0,animal,1,-1,-1,0,0,0,5000,2,5000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45040,ベアー,$1495,ペット,L1Monster,1642,5,50,0,28,16,16,8,8,8,0,26,0,small,2,1,1,800,2000,1120,2000,2000,0,0,0,0,0,0,bear,1,-1,-1,0,0,0,5000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
