id,npc_id,note,group_id,cycle_type,count,loc_x,loc_y,random_x,random_y,loc_x1,loc_y1,loc_x2,loc_y2,heading,map_id,respawn_screen,movement_distance,rest,spawn_type,percentage
1,45228,シーダンサー,0,Caspa,1,32804,32869,0,0,32576,32640,32895,32959,5,63,1,0,0,0,100
2,45313,タイガー,0,Unknown,1,32767,32899,0,0,32660,32791,32875,33007,0,480,0,0,0,0,100
3,45317,バンディット,0,DK,1,32770,32730,0,0,32704,32704,32831,32831,5,56,1,0,0,0,100
4,45338,クロコダイル,0,Caspa,1,33503,33205,0,0,33485,33185,33522,33227,0,4,0,100,0,0,100
5,45370,バンディットボス,0,etc1,1,33878,32749,10,10,0,0,0,0,0,4,0,100,0,0,100
6,45370,バンディットボス,0,etc1,1,33859,32766,10,10,0,0,0,0,0,4,0,100,0,0,100
7,45370,バンディットボス,0,etc1,1,33781,32681,10,10,0,0,0,0,0,4,0,100,0,0,100
8,45370,バンディットボス,0,etc1,1,33841,32778,10,10,0,0,0,0,0,4,0,100,0,0,100
9,45370,バンディットボス,0,etc1,1,33820,32664,10,10,0,0,0,0,0,4,0,100,0,0,100
10,45456,ネクロマンサー,15,etc1,1,32727,32751,0,0,32704,32704,32831,32831,0,12,0,0,0,0,100
11,45458,ドレイク,0,Caspa,1,32781,32837,0,0,0,0,0,0,5,443,0,0,0,0,100
17,45488,カスパー,14,Caspa,1,32762,32768,0,0,32704,32704,32831,32831,0,9,1,0,0,0,100
18,45492,シュノーヴァ,49,etc1,1,32767,32899,0,0,32660,32791,32875,33007,0,480,0,0,0,0,100
19,45534,マンボ ラビット,20,Caspa,1,32594,33009,0,0,32581,32993,32654,33044,0,440,1,100,0,0,100
21,45513,ディストーション ゼニス クイーン,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,6,110,1,0,0,0,100
22,45516,イフリート,0,1Drake,1,33644,32269,0,0,33635,32232,33659,32300,0,4,1,0,0,0,100
23,45516,イフリート,0,1Drake,1,33672,32311,0,0,33655,32288,33690,32335,0,4,1,0,0,0,100
24,45516,イフリート,0,1Drake,1,33719,32269,0,0,33697,32237,33740,32283,0,4,1,0,0,0,100
25,45516,イフリート,0,1Drake,1,33737,32281,0,0,33723,32270,33765,32329,0,4,1,0,0,0,100
26,45529,ドレイク,17,2Drake,1,33406,32412,0,0,33398,32403,33410,32415,5,4,1,100,0,0,100
27,45529,ドレイク,0,1Drake,1,33355,32353,0,0,33339,32348,33354,32363,5,4,1,100,0,0,100
28,45529,ドレイク,0,1Drake,1,33389,32336,0,0,33382,32330,33397,32345,5,4,1,100,0,0,100
29,45529,ドレイク,17,2Drake,1,33365,32384,0,0,33356,32375,33371,32390,5,4,1,100,0,0,100
30,45535,マンボ ラビット,21,Caspa,1,32799,32839,0,0,32723,32787,32875,32892,0,430,1,0,0,0,100
31,45545,ブラック エルダー,16,Caspa,1,33385,32349,1,1,0,0,0,0,0,4,1,100,0,0,100
32,45545,ブラック エルダー,16,Caspa,1,33271,32394,1,1,0,0,0,0,0,4,1,100,0,0,100
33,45546,%i,0,Aden,1,33709,33307,0,0,33698,33281,33745,33328,0,4,1,100,0,0,100
34,45547,ミストラスト シアー,0,Oren,1,32800,32799,0,0,32722,32722,32877,32877,0,120,1,0,0,0,100
35,45573,バフォメット,0,Oren,1,32706,32846,0,0,32704,32842,32711,32849,5,2,1,0,0,0,100
36,45583,ベレス,0,Oren,1,32768,32768,0,0,32758,32758,32777,32777,0,24,1,0,0,0,100
37,45584,グレート ミノタウルス,0,Aden,1,32652,32726,0,0,32640,32713,32676,32761,0,70,1,0,0,0,100
38,45600,カーツ,13,Night,1,32635,32959,0,0,32621,32951,32640,32971,0,0,1,0,0,0,100
39,45601,デス ナイト,0,DK,1,32799,32804,0,0,32704,32704,32831,32831,0,11,1,0,0,0,100
42,45606,フィア バンパイア,0,Oren,1,32799,32799,0,0,32722,32722,32877,32877,6,130,1,0,0,0,100
43,45609,アイスクイーン,0,Oren,0,32767,32900,0,0,32763,32886,32783,32910,5,74,1,0,0,0,100
44,45610,エンシェント ジャイアント,0,Aden,1,34230,33369,0,0,34238,33383,34254,33406,0,4,1,100,0,0,100
45,45614,ジャイアント アント クイーン,0,DK,1,32742,32856,12,12,0,0,0,0,4,543,1,0,0,0,100
46,45617,フェニックス,0,DK,1,33723,32255,0,0,33718,32240,33725,32268,0,4,1,100,0,0,100
47,45618,ダーク ナイトバルド,0,Oren,1,32724,32822,0,0,32576,32768,32767,32959,5,180,1,0,0,0,100
48,45625,混沌,0,DK,1,32734,32895,6,6,0,0,0,0,0,522,1,0,0,0,100
