id,npc_id,note,count,loc_x,loc_y,random_x,random_y,heading,respawn_delay,map_id,movement_distance
1,81003,古代の短剣商人,1,33063,33390,0,0,2,0,4,100
2,81004,古代の剣商人,1,33063,33391,0,0,2,0,4,100
3,81005,古代の両手剣商人,1,33063,33392,0,0,2,0,4,100
4,81006,古代の槍商人,1,33063,33393,0,0,2,0,4,100
5,81007,古代の鈍器商人,1,33063,33394,0,0,2,0,4,100
6,81008,古代の双剣商人,1,33063,33395,0,0,2,0,4,100
7,81009,古代の爪商人,1,33063,33396,0,0,2,0,4,100
8,81010,古代の杖商人,1,33063,33397,0,0,2,0,4,100
9,81011,古代の弓商人,1,33063,33398,0,0,2,0,4,100
10,81012,古代の兜商人,1,33071,33388,0,0,4,0,4,100
11,81013,古代の盾商人,1,33070,33388,0,0,4,0,4,100
12,81014,古代の篭手商人,1,33069,33388,0,0,4,0,4,100
13,81015,古代の靴商人,1,33068,33388,0,0,4,0,4,100
14,81016,古代の下着商人,1,33067,33388,0,0,4,0,4,100
15,81017,古代の鎧商人,1,33066,33388,0,0,4,0,4,100
16,81018,古代の外套商人,1,33065,33388,0,0,4,0,4,100
17,81019,古代の首飾商人,1,33088,33390,0,0,4,0,4,100
18,81020,古代の指輪商人,1,33089,33390,0,0,4,0,4,100
19,81021,古代の帯革商人,1,33090,33390,0,0,4,0,4,100
20,81022,古代の魔法商人,1,33094,33401,0,0,6,0,4,100
21,81023,古代の精霊魔法商人,1,33094,33402,0,0,6,0,4,100
22,81024,古代の闇魔法商人,1,33094,33403,0,0,6,0,4,100
23,81025,古代の技術商人,1,33094,33404,0,0,6,0,4,100
24,81026,古代の君主魔法商人,1,33094,33405,0,0,6,0,4,100
25,81027,古代の道具商人,1,33091,33390,0,0,4,0,4,100
26,81028,古代の道具商人,1,33092,33390,0,0,4,0,4,100
27,81002,古代の耳飾商人,1,33064,33388,0,0,4,0,4,100
28,81241,古代のチェーンソード商人,1,33063,33399,0,0,2,0,4,100
29,81242,古代のキーリンク商人,1,33063,33400,0,0,2,0,4,100
30,81243,古代の書板商人,1,33094,33406,0,0,6,0,4,100
31,81244,古代の記憶水晶商人,1,33094,33408,0,0,6,0,4,100
32,81029,古代の道具商人,1,33093,33390,0,0,4,0,4,100
33,81253,古代の紋様商人,1,33072,33388,0,0,4,0,4,100
34,81254,古代のタリスマン商人,1,33073,33388,0,0,4,0,4,100
50001,50004,テレポーター^初心者のテレポーター,1,32651,32848,0,0,4,0,69,0
50002,50004,テレポーター^初心者のテレポーター,1,32731,32884,0,0,5,0,69,0
50003,50004,テレポーター^初心者のテレポーター,1,32743,32795,0,0,6,0,69,0
50004,50004,テレポーター^初心者のテレポーター,1,32676,32846,0,0,6,0,69,0
50005,50004,テレポーター^初心者のテレポーター,1,32725,32809,0,0,6,0,69,0
50006,50004,テレポーター^初心者のテレポーター,1,32741,32819,0,0,6,0,69,0
50007,50004,テレポーター^初心者のテレポーター,1,32728,32872,0,0,6,0,69,0
50008,50004,テレポーター^初心者のテレポーター,1,32706,32881,0,0,6,0,69,0
50009,50004,テレポーター^初心者のテレポーター,1,32663,32884,0,0,4,0,69,0
50010,50010,テレポーター^初心者のテレポーター,1,32757,32758,0,0,4,0,68,0
50011,50010,テレポーター^初心者のテレポーター,1,32798,32783,0,0,4,0,68,0
50012,50010,テレポーター^初心者のテレポーター,1,32828,32762,0,0,4,0,68,0
50013,50010,テレポーター^初心者のテレポーター,1,32828,32741,0,0,4,0,68,0
50014,50010,テレポーター^初心者のテレポーター,1,32827,32726,0,0,4,0,68,0
50015,50010,テレポーター^初心者のテレポーター,1,32728,32751,0,0,4,0,68,0
50016,50055,テレポーター^ドリスト,0,33087,33388,0,0,5,0,4,100
50017,50056,テレポーター^メット,1,33080,33385,0,0,4,0,4,100
50018,50054,テレポーター^トレイ,1,32640,33204,0,0,6,0,4,100
50019,50024,テレポーター^アスター,1,32611,32732,0,0,6,0,4,100
50020,50015,テレポーター^ルーカス,1,32583,32922,0,0,4,0,0,0
50021,50020,テレポーター^スタンリー,1,33049,32784,0,0,5,0,4,100
50022,50066,テレポーター^リオル,1,33613,33257,0,0,0,0,4,100
50023,50044,テレポーター^シリウス,1,33964,33252,0,0,4,0,4,100
50024,50046,テレポーター^エレリス,1,33934,33351,0,0,6,0,4,100
50025,50608,テレポーター^キニン,1,34109,33350,0,0,4,0,4,100
50026,50051,テレポーター^キリウス,1,34063,32278,0,0,5,0,4,100
50027,50039,テレポーター^レスリー,1,33709,32499,0,0,6,0,4,100
50028,50036,テレポーター^ウィルマ,1,33437,32795,0,0,4,0,4,100
