id,ub_id,pattern,group_id,npc_id,note,count,spawn_delay,seal_count
1,1,1,1,45115,ジャイアント アント,25,30,0
2,1,1,1,45121,オーク ウィザード,10,30,0
3,1,1,1,45116,バクーク,25,30,0
4,1,1,1,45126,ストーン ゴーレム,10,30,0
5,1,1,1,45129,スケルトン アーチャー,15,30,0
6,1,1,1,45130,スケルトン アックス,30,26,0
7,1,1,1,45131,スケルトン パイク,30,26,0
8,1,1,1,45136,ジャイアント スパイダー,15,26,0
9,1,1,1,45138,オーク スカウト,15,24,0
10,1,1,1,45144,リザードマン,20,24,0
11,1,1,1,45157,グール,10,24,0
12,1,1,1,45161,スパルトイ,20,24,0
13,1,1,1,45164,クラブマン,10,20,0
14,1,1,1,45173,ライカンスロープ,15,20,0
15,1,1,1,45184,ドレッド スパイダー,10,20,0
16,1,1,1,45190,ジャイアント アント ソルジャー,20,20,0
17,1,1,1,45192,ラットマン,20,18,0
18,1,1,1,45215,エルダー,10,18,0
19,1,1,1,45213,ガースト,10,18,0
20,1,1,1,45223,バグベアー,10,18,0
21,1,1,1,45216,エルモア ゾンビ ソルジャー,20,18,0
22,1,1,1,45224,エルモア ゾンビ ウィザード,10,14,0
23,1,1,1,45248,エルモア ゾンビ ジェネラル,10,14,0
24,1,1,1,45241,ケルベロス,10,0,0
25,1,1,1,45259,スコーピオン,10,14,0
26,1,1,2,45269,スケルトン ガード,10,0,0
27,1,1,2,45270,スケルトン マークスマン,15,0,0
28,1,1,2,45286,スケルトン ファイター,10,30,0
29,1,1,2,45267,サーベル タイガー,10,14,0
30,1,1,2,45174,ゴースト,10,4,0
31,1,1,2,45278,オーガ,10,14,0
32,1,1,2,45280,トロール,10,14,0
33,1,1,2,45364,ダークエルフ,15,14,0
34,1,1,2,45284,バーニング ウォリアー,15,0,0
35,1,1,2,45291,バーニング アーチャー,10,4,0
36,1,1,2,45162,シルエット,10,4,0
37,1,1,2,45298,キング バグベアー,10,10,0
38,1,1,2,45289,ムリアン,20,10,0
39,1,1,2,45294,試練の イエティ,10,10,0
40,1,1,2,45322,リビング アーマー,10,10,0
41,1,1,2,45203,サラマンダー,10,10,0
42,1,1,2,45341,ホーン ケルベロス,10,60,0
43,1,1,2,45609,アイスクイーン,1,14,4
44,1,1,3,45346,ガースト ロード,10,4,0
45,1,1,3,45550,ブラック エルダー,10,4,0
46,1,1,3,45359,アシタジオ,10,4,0
47,1,1,3,45578,ドレイク,5,4,0
48,1,1,3,45162,シルエット,10,4,0
49,1,1,3,45373,ブルート,10,4,0
50,1,1,3,45365,ラヴァ ゴーレム,5,0,0
51,1,1,3,45372,アイアン ゴーレム,5,4,0
52,1,1,3,45174,ゴースト,10,4,0
53,1,1,3,45393,サキュバス,10,4,0
54,1,1,3,45341,ホーン ケルベロス,10,4,0
55,1,1,3,45420,サイクロプス,10,90,0
56,1,1,3,45649,デーモン,1,4,6
57,1,1,4,46156,サキュバス クイーン,4,10,0
58,1,1,4,46156,サキュバス クイーン,1,0,15
59,2,1,1,45115,ジャイアント アント,15,0,0
60,2,1,1,45140,ホブゴブリン,10,10,0
61,2,1,1,45157,グール,15,10,0
62,2,1,1,45190,ジャイアント アント ソルジャー,20,20,0
63,2,1,1,45373,ブルート,10,10,0
64,2,1,1,45107,スケルトン,15,10,0
65,2,1,1,45387,ラミア,15,0,0
66,2,1,1,45131,スケルトン パイク,15,10,0
67,2,1,1,45122,スケルトン アーチャー,25,20,0
68,2,1,1,45372,アイアン ゴーレム,15,10,0
69,2,1,1,45223,バグベアー,15,10,0
70,2,1,1,45264,ハーピー,15,10,0
71,2,1,1,45364,ダークエルフ,15,10,0
72,2,1,1,45298,キング バグベアー,10,10,0
73,2,1,1,45359,アシタジオ,10,30,0
74,2,1,2,45269,スケルトン ガード,10,4,0
75,2,1,2,45278,オーガ,15,10,0
76,2,1,2,45373,ブルート,15,10,0
77,2,1,2,45445,グリフォン,15,10,0
78,2,1,2,45578,ドレイク,2,10,0
79,2,1,2,45190,ジャイアント アント ソルジャー,20,20,0
80,2,1,2,45289,ムリアン,26,4,0
81,2,1,2,45387,ラミア,15,4,0
82,2,1,2,45162,シルエット,25,20,0
83,2,1,2,45445,グリフォン,20,10,0
84,2,1,2,45322,リビング アーマー,15,3,0
85,2,1,2,45298,キング バグベアー,15,0,0
86,2,1,2,45162,シルエット,15,10,0
87,2,1,2,45393,サキュバス,15,60,0
88,2,1,2,45515,イフリート,1,20,4
89,2,1,3,45278,オーガ,10,4,0
90,2,1,3,45162,シルエット,15,10,0
91,2,1,3,45445,グリフォン,20,14,0
92,2,1,3,45387,ラミア,25,10,0
93,2,1,3,45578,ドレイク,2,10,0
94,2,1,3,45122,スケルトン アーチャー,10,10,0
95,2,1,3,45364,ダークエルフ,15,20,0
96,2,1,3,45445,グリフォン,15,10,0
97,2,1,3,45387,ラミア,10,4,0
98,2,1,3,45162,シルエット,10,4,0
99,2,1,3,45174,ゴースト,15,20,0
100,2,1,3,45264,ハーピー,15,10,0
101,2,1,3,45298,キング バグベアー,15,14,0
102,2,1,3,45420,サイクロプス,10,10,0
103,2,1,3,45341,ホーン ケルベロス,10,4,0
104,2,1,3,45372,アイアン ゴーレム,10,4,0
105,2,1,3,45578,ドレイク,5,90,0
106,2,1,3,45617,フェニックス,1,30,6
107,2,1,4,45614,ジャイアント アント クイーン,1,0,15
108,3,1,1,45161,スパルトイ,20,14,0
109,3,1,1,45122,スケルトン アーチャー,15,10,0
110,3,1,1,45130,スケルトン アックス,15,10,0
111,3,1,1,45131,スケルトン パイク,15,14,0
112,3,1,1,45082,オーク ファイター,20,10,0
113,3,1,1,45138,オーク スカウト,15,10,0
114,3,1,1,45121,オーク ウィザード,10,14,0
115,3,1,1,45192,ラットマン,10,10,0
116,3,1,1,45144,リザードマン,10,10,0
117,3,1,1,45164,クラブマン,10,10,0
118,3,1,1,45223,バグベアー,10,10,0
119,3,1,1,45173,ライカンスロープ,10,14,0
120,3,1,1,45136,ジャイアント スパイダー,20,10,0
121,3,1,1,45184,ドレッド スパイダー,15,110,0
122,3,1,1,45216,エルモア ゾンビ ソルジャー,20,10,0
123,3,1,1,45224,エルモア ゾンビ ウィザード,15,14,0
124,3,1,1,45248,エルモア ゾンビ ジェネラル,15,10,0
125,3,1,1,45215,エルダー,15,10,0
126,3,1,1,45213,ガースト,15,10,0
127,3,1,1,45223,バグベアー,10,14,0
128,3,1,2,45269,スケルトン ガード,12,10,0
129,3,1,2,45270,スケルトン マークスマン,12,10,0
130,3,1,2,45286,スケルトン ファイター,12,14,0
131,3,1,2,45284,バーニング ウォリアー,12,10,0
132,3,1,2,45291,バーニング アーチャー,12,10,0
133,3,1,2,45322,リビング アーマー,12,14,0
134,3,1,2,45278,オーガ,10,10,0
135,3,1,2,45280,トロール,10,10,0
136,3,1,2,45364,ダークエルフ,10,10,0
137,3,1,2,45267,サーベル タイガー,10,10,0
138,3,1,2,45223,バグベアー,12,10,0
139,3,1,2,45298,キング バグベアー,12,10,0
140,3,1,2,45294,試練の イエティ,10,60,0
141,3,1,2,45513,ディストーション ゼニス クイーン,1,10,3
142,3,1,3,45365,ラヴァ ゴーレム,10,4,0
143,3,1,3,45346,ガースト ロード,15,4,0
144,3,1,3,45359,アシタジオ,10,4,0
145,3,1,3,81176,ブラック エルダー,15,10,0
146,3,1,3,45373,ブルート,10,8,0
147,3,1,3,45531,バシリスク,10,8,0
148,3,1,3,45393,サキュバス,15,6,0
149,3,1,3,45372,アイアン ゴーレム,15,6,0
150,3,1,3,45341,ホーン ケルベロス,15,4,0
151,3,1,3,45420,サイクロプス,20,4,0
152,3,1,3,45578,ドレイク,3,110,0
153,3,1,3,45606,フィア バンパイア,1,0,5
154,3,1,4,45583,ベレス,1,0,15
820,4,1,1,45041,ドワーフ,10,15,0
821,4,1,1,45051,インプ,15,15,0
822,4,1,1,45060,スライム,15,15,0
823,4,1,1,45068,フローティング アイ,10,15,0
824,4,1,1,45041,ドワーフ,15,15,0
825,4,1,1,45092,ドワーフ ウォリアー,20,15,0
826,4,1,1,45107,スケルトン,10,15,0
827,4,1,1,45129,スケルトン アーチャー,10,15,0
828,4,1,1,45131,スケルトン パイク,10,15,0
829,4,1,1,45130,スケルトン アックス,5,15,0
830,4,1,1,45136,ジャイアント スパイダー,15,15,0
831,4,1,1,45060,スライム,15,15,0
832,4,1,2,45107,スケルトン,20,15,0
833,4,1,2,45129,スケルトン アーチャー,20,15,0
834,4,1,2,45131,スケルトン パイク,10,15,0
835,4,1,2,45130,スケルトン アックス,10,15,0
836,4,1,2,45105,ゾンビ,15,15,0
837,4,1,2,45130,スケルトン アックス,10,15,0
838,4,1,2,45131,スケルトン パイク,15,15,0
839,4,1,2,45107,スケルトン,10,15,0
840,4,1,2,45129,スケルトン アーチャー,10,15,0
841,4,1,2,45161,スパルトイ,10,15,0
842,4,1,3,45126,ストーン ゴーレム,10,15,0
843,4,1,3,45141,ミミック,10,15,0
844,4,1,3,45174,ゴースト,1,15,0
845,4,1,3,45371,オウルベアー,10,15,0
846,4,1,3,45107,スケルトン,10,15,0
847,4,1,3,45129,スケルトン アーチャー,15,15,0
848,4,1,3,45184,ドレッド スパイダー,10,15,0
849,4,1,3,45136,ジャイアント スパイダー,5,15,0
850,4,1,4,81176,ブラック エルダー,4,15,0
851,4,1,4,81176,ブラック エルダー,1,15,15
852,4,2,1,45041,ドワーフ,15,15,0
853,4,2,1,45027,アイドロン,10,15,0
854,4,2,1,45079,ノール,15,15,0
855,4,2,1,45088,ペーパーマン,15,15,0
856,4,2,1,45082,オーク ファイター,10,15,0
857,4,2,1,45107,スケルトン,10,15,0
858,4,2,1,45129,スケルトン アーチャー,10,15,0
859,4,2,1,45131,スケルトン パイク,15,15,0
860,4,2,1,45130,スケルトン アックス,5,15,0
861,4,2,1,45136,ジャイアント スパイダー,5,15,0
862,4,2,1,45060,スライム,15,15,0
863,4,2,2,45107,スケルトン,20,15,0
864,4,2,2,45129,スケルトン アーチャー,20,15,0
865,4,2,2,45131,スケルトン パイク,10,15,0
866,4,2,2,45130,スケルトン アックス,10,15,0
867,4,2,2,45048,キツネ,15,15,0
868,4,2,2,45130,スケルトン アックス,15,15,0
869,4,2,2,45551,ファングス,15,15,0
