item_id,note,probability,prob_enchant,fix_damage,random_damage,skill_id,arrow_type,enable_mr,enable_attr_mr
47,サイレンス ソード,2,0,0,0,64,0,1,1
54,カーツ ソード,15,0,35,25,6000,0,1,1
58,デスナイト フレイムブレード,7,0,75,15,6001,0,1,1
76,ロンドゥ デュアルブレード,15,0,35,25,6002,0,1,1
121,アイスクイーン スタッフ,25,2,95,55,6003,0,1,1
203,バルログのツーハンド ソード,15,0,90,90,6004,0,1,1
205,ルナ ロング ボウ,5,0,8,0,6005,1,1,1
256,ハロウィン パンプキン ロングソード,8,0,35,25,6006,0,1,1
257,ハロウィン ロングソード,8,0,35,25,6006,0,1,1
258,アルティメット ハロウィン ソード,8,0,35,25,6006,0,1,1
303,幸運のアックス,8,0,35,25,6006,0,1,1
304,隠された魔族のソード,8,0,35,25,6006,0,1,1
305,隠された魔族のボウ,8,0,0,0,167,0,1,1
306,隠された魔族のスタッフ,8,0,0,0,167,0,1,1
307,隠された魔族のクロウ,8,0,0,0,167,0,1,1
308,隠された魔族のチェーンソード,8,0,35,25,6006,0,1,1
309,隠された魔族のキーリンク,8,0,35,25,6006,0,1,1
