id,name,unidentified_name_id,identified_name_id,type,is_twohanded,material,weight,inv_gfx_id,grd_gfx_id,item_desc_id,dmg_small,dmg_large,range,safe_enchant,use_royal,use_knight,use_wizard,use_elf,use_darkelf,use_dragonknight,use_illusionist,hit_modifier,dmg_modifier,str,con,dex,int,wis,cha,hp,mp,hpr,mpr,sp,mr,is_haste,double_dmg_chance,weakness_exposure,magic_dmg_modifier,can_be_dmg,min_level,max_level,bless,tradable,deletable,charge_time,expiration_time
1,オーキッシュ ダガー,$13,$13,dagger,0,iron,10000,34,68,0,2,3,1,6,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
2,ダイス ダガー,$416,$416,dagger,0,iron,10000,144,354,142,1,3,1,6,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
3,ショートソードの刀身,$785,$785,sword,0,mithril,20000,322,68,0,2,2,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
4,ダガー,$70,$70,dagger,0,iron,10000,35,68,0,4,2,1,6,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
5,エルヴン ダガー,$12,$12,dagger,0,mithril,10000,33,68,0,4,3,1,6,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
6,ラスタバド ダガー,$2905,$2905,dagger,0,iron,20000,1332,3433,1078,4,3,1,6,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
7,象牙の塔のダガー,$3288,$3288,dagger,0,iron,20000,34,68,1329,5,5,1,6,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,\N
8,ミスリル ダガー,$3248,$3248,dagger,0,mithril,50000,1629,4112,1283,6,5,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,1,0,\N
9,オリハルコン ダガー,$3247,$3247,dagger,0,orichalcum,50000,1635,4118,1282,7,7,1,6,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
10,ラスタバド ブレード,$2920,$2920,dagger,0,iron,30000,1341,3441,1079,8,8,1,6,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
11,クリスタル ショートソード,$3867,$3867,dagger,0,silver,45000,1921,4982,0,10,4,1,6,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
12,ウィンドブレード ソード,$3835,$3835,dagger,0,blackmithril,60000,1947,5003,0,23,16,1,0,1,1,1,1,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
13,フィンガー オブ デス,$2648,$2648,dagger,0,iron,20000,1317,3370,1049,16,4,1,6,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,0,\N
14,混沌の爪,$3737,$3737,dagger,0,bone,10000,1995,5046,1706,18,2,1,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,1,1,0,\N
15,カーツ ソード,$2777,$2777,sword,0,iron,1000,1243,3266,1011,15,11,1,6,1,1,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
16,リベンジ ソード,$2762,$2762,twohandsword,1,bone,40000,1241,3308,996,21,30,1,0,0,1,1,0,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
17,封印された 古代のグレートソード,$1958 $1938,$1958 $1938,twohandsword,1,iron,80000,90,76,659,5,6,1,0,1,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,1,1,0,\N
18,封印された 古代のソード,$1958 $1939,$1958 $1939,sword,0,iron,40000,103,26,660,3,2,1,0,1,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,1,1,0,\N
19,ロングソードの刀身,$786,$786,sword,0,mithril,30000,321,890,0,3,3,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
20,オリハルコンソードの刀身,$787,$787,sword,0,orichalcum,35000,321,890,0,4,4,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
21,オーキッシュ ソード,$99,$99,sword,0,iron,30000,105,26,0,4,4,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
22,メイル ブレイカー,$793,$793,sword,0,orichalcum,40000,276,26,276,4,5,1,6,1,1,1,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
23,ブロード ソード,$66,$66,sword,0,iron,70000,21,82,0,4,6,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
24,ショート ソード,$100,$100,sword,0,iron,30000,106,26,0,6,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
25,シルバー ソード,$1148,$1148,sword,0,silver,40000,156,26,0,7,7,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
26,ドワヴィッシュ ソード,$97,$97,sword,0,iron,40000,103,26,0,7,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
27,シミター,$92,$92,sword,0,iron,40000,90,76,0,8,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
28,エルヴン ソード,$98,$98,sword,0,mithril,20000,325,26,284,8,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
29,シルバー ロング ソード,$1147,$1147,sword,0,silver,50000,163,356,0,8,12,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
30,レッドナイト ソード,$313,$313,sword,0,iron,40000,441,3,123,8,12,1,6,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
31,ロング ソード,$0,$0,sword,0,iron,40000,2,3,0,8,12,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
32,グラディウス,$415,$415,sword,0,iron,40000,151,355,0,9,11,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
