id,item_id,note,item_count,charge_count,enchant_level,class_initial
1,7,상아탑의 단검,1,0,0,P
2,35,상아탑의 한손검,1,0,0,P
3,48,상아탑의 양손검,1,0,0,P
4,105,상아탑의 창,1,0,0,P
5,147,상아탑의 도끼,1,0,0,P
6,175,상아탑의 활,1,0,0,P
7,21211,상아탑의 솔리드 투구,1,0,0,P
8,21212,상아탑의 솔리드 판금 갑옷,1,0,0,P
9,21213,상아탑의 솔리드 망토,1,0,0,P
10,21214,상아탑의 솔리드 장갑,1,0,0,P
11,21215,상아탑의 솔리드 부츠,1,0,0,P
12,21216,상아탑의 솔리드 실드,1,0,0,P
13,50540,상아탑의 화살,1000,0,0,P
14,7,상아탑의 단검,1,0,0,K
15,35,상아탑의 한손검,1,0,0,K
16,48,상아탑의 양손검,1,0,0,K
17,147,상아탑의 도끼,1,0,0,K
18,105,상아탑의 창,1,0,0,K
19,174,상아탑의 석궁,1,0,0,K
20,175,상아탑의 활,1,0,0,K
21,21211,상아탑의 솔리드 투구,1,0,0,K
22,21212,상아탑의 솔리드 판금 갑옷,1,0,0,K
23,21213,상아탑의 솔리드 망토,1,0,0,K
24,21214,상아탑의 솔리드 장갑,1,0,0,K
25,21215,상아탑의 솔리드 부츠,1,0,0,K
26,21216,상아탑의 솔리드 실드,1,0,0,K
27,50540,상아탑의 화살,1000,0,0,K
28,7,상아탑의 단검,1,0,0,E
29,35,상아탑의 한손검,1,0,0,E
30,174,상아탑의 석궁,1,0,0,E
31,175,상아탑의 활,1,0,0,E
32,21217,상아탑의 홀리 투구,1,0,0,E
33,21218,상아탑의 홀리 로브,1,0,0,E
34,21219,상아탑의 홀리 망토,1,0,0,E
35,21220,상아탑의 홀리 로브,1,0,0,E
36,21221,상아탑의 홀리 부츠,1,0,0,E
37,21222,상아탑의 홀리 쉴드,1,0,0,E
38,50540,상아탑의 화살,1000,0,0,E
39,7,상아탑의 단검,1,0,0,W
40,120,상아탑의 지팡이,1,0,0,W
41,175,상아탑의 활,1,0,0,W
42,21217,상아탑의 홀리 투구,1,0,0,W
43,21218,상아탑의 홀리 로브,1,0,0,W
44,21219,상아탑의 홀리 망토,1,0,0,W
45,21220,상아탑의 홀리 로브,1,0,0,W
46,21221,상아탑의 홀리 부츠,1,0,0,W
47,21222,상아탑의 홀리 쉴드,1,0,0,W
48,50540,상아탑의 화살,1000,0,0,W
49,7,상아탑의 단검,1,0,0,D
50,35,상아탑의 한손검,1,0,0,D
51,73,상아탑의 이도류,1,0,0,D
52,156,상아탑의 크로우,1,0,0,D
53,174,상아탑의 석궁,1,0,0,D
54,175,상아탑의 활,1,0,0,D
55,21211,상아탑의 솔리드 투구,1,0,0,D
56,21212,상아탑의 솔리드 판금 갑옷,1,0,0,D
57,21213,상아탑의 솔리드 망토,1,0,0,D
58,21214,상아탑의 솔리드 장갑,1,0,0,D
59,21215,상아탑의 솔리드 부츠,1,0,0,D
60,21216,상아탑의 솔리드 실드,1,0,0,D
61,50540,상아탑의 화살,1000,0,0,D
62,35,상아탑의 한손검,1,0,0,R
63,48,상아탑의 양손검,1,0,0,R
64,147,상아탑의 도끼,1,0,0,R
65,21211,상아탑의 솔리드 투구,1,0,0,R
66,21212,상아탑의 솔리드 판금 갑옷,1,0,0,R
67,21213,상아탑의 솔리드 망토,1,0,0,R
68,21214,상아탑의 솔리드 장갑,1,0,0,R
69,21215,상아탑의 솔리드 부츠,1,0,0,R
70,21216,상아탑의 솔리드 실드,1,0,0,R
71,120,상아탑의 지팡이,1,0,0,I
72,147,상아탑의 도끼,1,0,0,I
73,174,상아탑의 석궁,1,0,0,I
74,175,상아탑의 활,1,0,0,I
75,21217,상아탑의 홀리 투구,1,0,0,I
76,21218,상아탑의 홀리 로브,1,0,0,I
77,21219,상아탑의 홀리 망토,1,0,0,I
78,21220,상아탑의 홀리 로브,1,0,0,I
79,21221,상아탑의 홀리 부츠,1,0,0,I
80,21222,상아탑의 홀리 쉴드,1,0,0,I
81,50540,상아탑의 화살,1000,0,0,I
82,20082,상아탑의 티셔츠,1,0,0,A
83,21155,상아탑의 탈리스만,1,0,0,A
84,21169,상아탑의 귀걸이,1,0,0,A
85,21223,수행자의 목걸이,1,0,0,A
86,21224,수행자의 반지,1,0,0,A
87,21224,수행자의 반지,1,0,0,A
88,21225,수행자의 벨트,1,0,0,A
