id,name,unidentified_name_id,identified_name_id,item_type,use_type,material,weight,inv_gfx_id,grd_gfx_id,item_desc_id,stackable,max_change_count,dmg_small,dmg_large,min_level,max_level,loc_x,loc_y,map_id,bless,tradable,deletable,sealable,delay_id,delay_time,delay_effect,food_volume,save_at_once,charge_time,expiration_time
40001,등잔,$2,$2,light,normal,copper,20000,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,6000,\N
40002,랜턴,$326,$326,light,normal,copper,30000,140,181,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,12000,\N
40003,랜턴용 기름,$327,$327,other,normal,glass,0,142,239,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,12000,\N
40004,호박 랜턴,$14100,$14100,light,normal,copper,5000,948,181,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40005,양초,$67,$67,light,normal,web,2000,24,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,600,\N
40006,소나무 막대,$28,$258,wand,spawn,wood,350,117,28,19,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40007,흑단 막대,$263,$262,spellwand,spell_long,wood,350,118,28,21,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,0,0,\N
40008,단풍나무 막대,$27,$260,wand,spell_long,wood,350,116,28,20,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40009,추방 막대,$975,$975,wand,spell_long,wood,350,118,28,301,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40010,체력 회복제,$26,$26,potion,healing,glass,2900,80,45,1342,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40011,고급 체력 회복제,$235,$235,potion,healing,glass,4900,78,43,15,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40012,강력 체력 회복제,$238,$238,potion,healing,glass,5850,81,46,130,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
