id,name,area,location,npc_id,is_on_sale,is_purchase_basement,tax_deadline
262145,기란아지트 1,78,기란 1 번 아지트,50527,1,0,2008-08-01 00:00:00
262146,기란아지트 2,45,기란 2 번 아지트,50505,1,0,2008-08-01 00:00:00
262147,기란아지트 3,120,기란 3 번 아지트,50519,1,0,2008-08-01 00:00:00
262148,기란아지트 4,45,기란 4 번 아지트,50545,1,0,2008-08-01 00:00:00
262149,기란아지트 5,78,기란 5 번 아지트,50531,1,0,2008-08-01 00:00:00
262150,기란아지트 6,120,기란 6 번 아지트,50529,1,0,2008-08-01 00:00:00
262151,기란아지트 7,45,기란 7 번 아지트,50516,1,0,2008-08-01 00:00:00
262152,기란아지트 8,78,기란 8 번 아지트,50538,1,0,2008-08-01 00:00:00
262153,기란아지트 9,78,기란 9 번 아지트,50518,1,0,2008-08-01 00:00:00
262154,기란아지트 10,120,기란 10 번 아지트,50509,1,0,2008-08-01 00:00:00
262155,기란아지트 11,78,기란 11 번 아지트,50536,1,0,2008-08-01 00:00:00
262156,기란아지트 12,78,기란 12 번 아지트,50520,1,0,2008-08-01 00:00:00
262157,기란아지트 13,120,기란 13 번 아지트,50543,1,0,2008-08-01 00:00:00
262158,기란아지트 14,78,기란 14 번 아지트,50526,1,0,2008-08-01 00:00:00
262159,기란아지트 15,45,기란 15 번 아지트,50512,1,0,2008-08-01 00:00:00
262160,기란아지트 16,78,기란 16 번 아지트,50510,1,0,2008-08-01 00:00:00
262161,기란아지트 17,45,기란 17 번 아지트,50504,1,0,2008-08-01 00:00:00
262162,기란아지트 18,120,기란 18 번 아지트,50525,1,0,2008-08-01 00:00:00
262163,기란아지트 19,78,기란 19 번 아지트,50534,1,0,2008-08-01 00:00:00
262164,기란아지트 20,78,기란 20 번 아지트,50540,1,0,2008-08-01 00:00:00
262165,기란아지트 21,45,기란 21 번 아지트,50515,1,0,2008-08-01 00:00:00
262166,기란아지트 22,120,기란 22 번 아지트,50513,1,0,2008-08-01 00:00:00
262167,기란아지트 23,78,기란 23 번 아지트,50528,1,0,2008-08-01 00:00:00
262168,기란아지트 24,45,기란 24 번 아지트,50533,1,0,2008-08-01 00:00:00
262169,기란아지트 25,45,기란 25 번 아지트,50542,1,0,2008-08-01 00:00:00
262170,기란아지트 26,120,기란 26 번 아지트,50511,1,0,2008-08-01 00:00:00
262171,기란아지트 27,78,기란 27 번 아지트,50501,1,0,2008-08-01 00:00:00
262172,기란아지트 28,45,기란 28 번 아지트,50503,1,0,2008-08-01 00:00:00
262173,기란아지트 29,78,기란 29 번 아지트,50508,1,0,2008-08-01 00:00:00
262174,기란아지트 30,45,기란 30 번 아지트,50514,1,0,2008-08-01 00:00:00
262175,기란아지트 31,78,기란 31 번 아지트,50532,1,0,2008-08-01 00:00:00
262176,기란아지트 32,78,기란 32 번 아지트,50544,1,0,2008-08-01 00:00:00
262177,기란아지트 33,45,기란 33 번 아지트,50524,1,0,2008-08-01 00:00:00
262178,기란아지트 34,45,기란 34 번 아지트,50535,1,0,2008-08-01 00:00:00
262179,기란아지트 35,120,기란 35 번 아지트,50521,1,0,2008-08-01 00:00:00
262180,기란아지트 36,45,기란 36 번 아지트,50517,1,0,2008-08-01 00:00:00
262181,기란아지트 37,78,기란 37 번 아지트,50537,1,0,2008-08-01 00:00:00
262182,기란아지트 38,78,기란 38 번 아지트,50539,1,0,2008-08-01 00:00:00
262183,기란아지트 39,45,기란 39 번 아지트,50507,1,0,2008-08-01 00:00:00
262184,기란아지트 40,78,기란 40 번 아지트,50530,1,0,2008-08-01 00:00:00
262185,기란아지트 41,78,기란 41 번 아지트,50502,1,0,2008-08-01 00:00:00
262186,기란아지트 42,45,기란 42 번 아지트,50506,1,0,2008-08-01 00:00:00
262187,기란아지트 43,120,기란 43 번 아지트,50522,1,0,2008-08-01 00:00:00
262188,기란아지트 44,120,기란 44 번 아지트,50541,1,0,2008-08-01 00:00:00
262189,기란아지트 45,78,기란 45 번 아지트,50523,1,0,2008-08-01 00:00:00
327681,하이네아지트 1,0,하이네 1 번 아지트,50620,1,0,2008-08-01 00:00:00
327682,하이네아지트 2,0,하이네 2 번 아지트,50623,1,0,2008-08-01 00:00:00
327683,하이네아지트 3,0,하이네 3 번 아지트,50619,1,0,2008-08-01 00:00:00
327684,하이네아지트 4,0,하이네 4 번 아지트,50621,1,0,2008-08-01 00:00:00
327685,하이네아지트 5,0,하이네 5 번 아지트,50622,1,0,2008-08-01 00:00:00
327686,하이네아지트 6,0,하이네 6 번 아지트,50624,1,0,2008-08-01 00:00:00
327687,하이네아지트 7,0,하이네 7 번 아지트,50617,1,0,2008-08-01 00:00:00
327688,하이네아지트 8,0,하이네 8 번 아지트,50614,1,0,2008-08-01 00:00:00
327689,하이네아지트 9,0,하이네 9 번 아지트,50618,1,0,2008-08-01 00:00:00
327690,하이네아지트 10,0,하이네 10 번 아지트,50616,1,0,2008-08-01 00:00:00
327691,하이네아지트 11,0,하이네 11 번 아지트,50615,1,0,2008-08-01 00:00:00
458753,아덴아지트 1,51,아덴 1 번 아지트,0,1,0,2008-08-01 00:00:00
458754,아덴아지트 2,24,아덴 2 번 아지트,0,1,0,2008-08-01 00:00:00
458755,아덴아지트 3,24,아덴 3 번 아지트,0,1,0,2008-08-01 00:00:00
458756,아덴아지트 4,56,아덴 4 번 아지트,0,1,0,2008-08-01 00:00:00
458757,아덴아지트 5,24,아덴 5 번 아지트,0,1,0,2008-08-01 00:00:00
458758,아덴아지트 6,63,아덴 6 번 아지트,0,1,0,2008-08-01 00:00:00
458759,아덴아지트 7,24,아덴 7 번 아지트,0,1,0,2008-08-01 00:00:00
458760,아덴아지트 8,63,아덴 8 번 아지트,0,1,0,2008-08-01 00:00:00
458761,아덴아지트 9,24,아덴 9 번 아지트,0,1,0,2008-08-01 00:00:00
458762,아덴아지트 10,24,아덴 10 번 아지트,0,1,0,2008-08-01 00:00:00
458763,아덴아지트 11,24,아덴 11 번 아지트,0,1,0,2008-08-01 00:00:00
458764,아덴아지트 12,24,아덴 12 번 아지트,0,1,0,2008-08-01 00:00:00
458765,아덴아지트 13,24,아덴 13 번 아지트,0,1,0,2008-08-01 00:00:00
458766,아덴아지트 14,63,아덴 14 번 아지트,0,1,0,2008-08-01 00:00:00
458767,아덴아지트 15,24,아덴 15 번 아지트,0,1,0,2008-08-01 00:00:00
458768,아덴아지트 16,56,아덴 16 번 아지트,0,1,0,2008-08-01 00:00:00
458769,아덴아지트 17,63,아덴 17 번 아지트,0,1,0,2008-08-01 00:00:00
458770,아덴아지트 18,24,아덴 18 번 아지트,0,1,0,2008-08-01 00:00:00
458771,아덴아지트 19,32,아덴 19 번 아지트,0,1,0,2008-08-01 00:00:00
458772,아덴아지트 20,64,아덴 20 번 아지트,0,1,0,2008-08-01 00:00:00
458773,아덴아지트 21,24,아덴 21 번 아지트,0,1,0,2008-08-01 00:00:00
458774,아덴아지트 22,20,아덴 22 번 아지트,0,1,0,2008-08-01 00:00:00
458775,아덴아지트 23,24,아덴 23 번 아지트,0,1,0,2008-08-01 00:00:00
458776,아덴아지트 24,56,아덴 24 번 아지트,0,1,0,2008-08-01 00:00:00
458777,아덴아지트 25,24,아덴 25 번 아지트,0,1,0,2008-08-01 00:00:00
458778,아덴아지트 26,20,아덴 26 번 아지트,0,1,0,2008-08-01 00:00:00
458779,아덴아지트 27,42,아덴 27 번 아지트,0,1,0,2008-08-01 00:00:00
458780,아덴아지트 28,15,아덴 28 번 아지트,0,1,0,2008-08-01 00:00:00
458781,아덴아지트 29,24,아덴 29 번 아지트,0,1,0,2008-08-01 00:00:00
458782,아덴아지트 30,24,아덴 30 번 아지트,0,1,0,2008-08-01 00:00:00
458783,아덴아지트 31,42,아덴 31 번 아지트,0,1,0,2008-08-01 00:00:00
458784,아덴아지트 32,48,아덴 32 번 아지트,0,1,0,2008-08-01 00:00:00
458785,아덴아지트 33,24,아덴 33 번 아지트,0,1,0,2008-08-01 00:00:00
458786,아덴아지트 34,15,아덴 34 번 아지트,0,1,0,2008-08-01 00:00:00
458787,아덴아지트 35,24,아덴 35 번 아지트,0,1,0,2008-08-01 00:00:00
458788,아덴아지트 36,24,아덴 36 번 아지트,0,1,0,2008-08-01 00:00:00
458789,아덴아지트 37,64,아덴 37 번 아지트,0,1,0,2008-08-01 00:00:00
458790,아덴아지트 38,15,아덴 38 번 아지트,0,1,0,2008-08-01 00:00:00
458791,아덴아지트 39,15,아덴 39 번 아지트,0,1,0,2008-08-01 00:00:00
458792,아덴아지트 40,24,아덴 40 번 아지트,0,1,0,2008-08-01 00:00:00
458793,아덴아지트 41,24,아덴 41 번 아지트,0,1,0,2008-08-01 00:00:00
458794,아덴아지트 42,29,아덴 42 번 아지트,0,1,0,2008-08-01 00:00:00
458795,아덴아지트 43,24,아덴 43 번 아지트,0,1,0,2008-08-01 00:00:00
458796,아덴아지트 44,15,아덴 44 번 아지트,0,1,0,2008-08-01 00:00:00
458797,아덴아지트 45,56,아덴 45 번 아지트,0,1,0,2008-08-01 00:00:00
458798,아덴아지트 46,15,아덴 46 번 아지트,0,1,0,2008-08-01 00:00:00
458799,아덴아지트 47,24,아덴 47 번 아지트,0,1,0,2008-08-01 00:00:00
458800,아덴아지트 48,24,아덴 48 번 아지트,0,1,0,2008-08-01 00:00:00
458801,아덴아지트 49,24,아덴 49 번 아지트,0,1,0,2008-08-01 00:00:00
458802,아덴아지트 50,48,아덴 50 번 아지트,0,1,0,2008-08-01 00:00:00
458803,아덴아지트 51,24,아덴 51 번 아지트,0,1,0,2008-08-01 00:00:00
458804,아덴아지트 52,24,아덴 52 번 아지트,0,1,0,2008-08-01 00:00:00
458805,아덴아지트 53,54,아덴 53 아지트,0,1,0,2008-08-01 00:00:00
458806,아덴아지트 54,24,아덴 54 번 아지트,0,1,0,2008-08-01 00:00:00
458807,아덴아지트 55,63,아덴 55 번 아지트,0,1,0,2008-08-01 00:00:00
458808,아덴아지트 56,63,아덴 56 번 아지트,0,1,0,2008-08-01 00:00:00
458809,아덴아지트 57,42,아덴 57 번 아지트,0,1,0,2008-08-01 00:00:00
458810,아덴아지트 58,24,아덴 58 번 아지트,0,1,0,2008-08-01 00:00:00
458811,아덴아지트 59,24,아덴 59 번 아지트,0,1,0,2008-08-01 00:00:00
458812,아덴아지트 60,63,아덴 60 번 아지트,0,1,0,2008-08-01 00:00:00
458813,아덴아지트 61,24,아덴 61 번 아지트,0,1,0,2008-08-01 00:00:00
458814,아덴아지트 62,21,아덴 62 번 아지트,0,1,0,2008-08-01 00:00:00
458815,아덴아지트 63,63,아덴 63 번 아지트,0,1,0,2008-08-01 00:00:00
458816,아덴아지트 64,24,아덴 64 번 아지트,0,1,0,2008-08-01 00:00:00
458817,아덴아지트 65,24,아덴 65 번 아지트,0,1,0,2008-08-01 00:00:00
458818,아덴아지트 66,48,아덴 66 번 아지트,0,1,0,2008-08-01 00:00:00
458819,아덴아지트 67,24,아덴 67 번 아지트,0,1,0,2008-08-01 00:00:00
524289,글루딘 아지트 1,48,글루딘 1 번 아지트,50626,1,0,2008-08-01 00:00:00
524290,글루딘 아지트 2,71,글루딘 2 번 아지트,50627,1,0,2008-08-01 00:00:00
524291,글루딘 아지트 3,48,글루딘 3 번 아지트,50628,1,0,2008-08-01 00:00:00
524292,글루딘 아지트 4,48,글루딘 4 번 아지트,50629,1,0,2008-08-01 00:00:00
524293,글루딘 아지트 5,82,글루딘 5 번 아지트,50630,1,0,2008-08-01 00:00:00
524294,글루딘 아지트 6,40,글루딘 6 번 아지트,50631,1,0,2008-08-01 00:00:00
