item_id,note,selling_price,purchasing_price
1,오크족 단검,-1,2
2,악운의 단검,1,-1
3,단검신,1,-1
4,단검,-1,4
5,요정족 단검,1,-1
6,라스타바드 단검,-1,500
7,상아탑의 단검,1,-1
8,미스릴 단검,100000,50000
9,오리하루콘 단검,1,-1
10,라스타바드 블레이드,1,-1
11,수정 단검,35000,17500
12,바람칼날의 단검,1,-1
13,핑거 오브 데스,1,-1
14,혼돈의 손톱,1,-1
15,마력을 잃은 커츠의 검,1,-1
16,복수의 칼날,1,-1
17,잊혀진 대검,1,-1
18,잊혀진 검,1,-1
19,장검신,1,-1
20,오리하루콘 검신,1,-1
21,오크족 검,-1,5
22,메일 브레이커,1,-1
23,넓은 검,-1,15
24,짧은 검,-1,50
25,은검,-1,900
26,난쟁이족 검,-1,130
27,언월도,-1,660
28,요정족 검,1,-1
29,은장검,13000,6500
30,붉은 기사의 검,1,-1
31,장검,-1,1500
32,그라디우스,-1,1250
33,명예의 검,1,-1
34,붉은 욕망의 검,1,-1
35,상아탑의 한손검,1,-1
36,환상의 검,1,-1
37,다마스커스 검,5000,2500
38,라스타바드 장검,-1,5000
39,커트라스,28000,14000
40,피의 대검,15000,7500
41,일본도,20000,10000
42,레이피어,1,-1
43,샴쉬르,30000,15000
44,고대 다크엘프의 검,1,-1
45,포르세의 검,1,-1
46,생명의 검,1,-1
47,침묵의 검,1,-1
48,상아탑의 양손검,1,-1
49,무관의 장검,15000,7500
50,화염의 검,1,-1
51,황금 지휘봉,1,-1
52,양손검,18000,9000
53,리자드맨 용사의 검,1,-1
54,커츠의 검,1,-1
55,어둠의 칼날,1,-1
56,데스 블레이드,1,-1
57,싸울아비 장검,35000,17500
58,데스 나이트의 불검,1,-1
59,나이트발드의 양손검,1,-1
60,둠 블레이드,1,-1
61,진명황의 집행검,1,-1
62,무관의 양손검,1,-1
63,악마의 칼,1,-1
64,대검,80000,40000
65,천상의 검,1,-1
66,드래곤 슬레이어,1,-1
67,고대의 대검,1,-1
68,고대의 검,1,-1
69,구리빛 이도류,-1,400
70,송곳날 이도류,-1,1750
71,강철 이도류,-1,750
72,그림자 이도류,-1,1500
73,상아탑의 이도류,1,-1
74,은색의 이도류,1,-1
75,어둠의 이도류,1,-1
76,론드의 이도류,1,-1
77,짧은 이도류,-1,4000
78,암살군왕의 암살도,1,-1
79,심연의 이도류,1,-1
80,다마스커스 이도류,30000,15000
81,흑빛의 이도류,1,-1
82,라스타바드 이도류,-1,5000
83,디아드요새 이도류,1,-1
84,흑왕도,1,-1
85,악마의 이도류,1,-1
86,붉은 그림자의 이도류,1,-1
87,알려지지 않은 창,1,-1
88,판의 뿔,1,-1
89,미스릴 도금 뿔,1,-1
90,바르디쉐,-1,17
91,오크족 창,-1,25
92,빌귀사름,-1,90
93,삼지창,-1,12
94,파르티잔,-1,250
95,기병창,-1,30
96,창,-1,40
97,귀사름,-1,100
98,넓은 창,-1,180
