item_id,npc_id,note,ac,str,con,dex,int,wis,cha,hp,hpr,hpr_time,mp,mpr,mpr_time,mr,hit,dmg,dmg_chance,bow_hit,bow_dmg,dmg_reduction,dmg_reduction_chance,dmg_evasion_chance,weight_reduction,resist_stun,resist_stone,resist_sleep,resist_freeze,resist_hold,resist_blind,exp_bonus,make_item_id,make_time,skill_id,skill_chance,summon_time
41248,80106,버그 베어 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1800
41249,80107,서큐버스 마법 인형,0,0,0,0,0,0,0,0,0,0,0,15,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
41250,80108,늑대 인간 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49037,80129,장로 마법 인형,0,0,0,0,0,0,0,0,0,0,0,15,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49038,80130,크러스트 시안 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49039,80131,돌 골렘 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49289,80153,예티 마법 인형,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1800
49290,80154,라미아 마법 인형,0,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,5,1800
49291,80155,스파 토이 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1800
49292,80156,허수아비 마법 인형,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49293,80157,코카 트리스 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49294,80158,리치 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49295,80159,도플 갱어 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49296,80160,시 댄서 마법 인형,0,0,0,0,0,0,0,0,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49297,80161,로드 마법 인형,0,1,1,0,0,0,0,0,0,0,0,10,64,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49298,80162,해츨링 마법 인형 아주르,0,0,0,0,0,0,0,0,20,64,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,49302,600,0,0,1800
49299,80163,해츨링 마법 인형 크림슨,0,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,49302,600,0,0,1800
49300,80164,하이 해츨링 마법 인형 아주르,0,0,0,0,0,0,0,0,20,64,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,49302,600,0,0,1800
49301,80165,하이 해츨링 마법 인형 크림슨,0,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,49302,600,0,0,1800
49318,80169,눈사람 마법 인형,0,0,0,0,0,0,0,0,0,0,0,2,64,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49319,80170,눈싸움 요정,0,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
49320,80214,자이언트 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49321,80215,노력하는 거대한 마법 인형,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49322,80216,현명한 자이언트 마법 인형,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49323,80217,똑똑한 자이언트 마법 인형,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49324,80218,빛나는 자이언트 마법 인형,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1800
49325,80219,눈부신 자이언트 마법 인형,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,5,0,5,0,0,0,0,0,0,0,0,0,28,5,1800
49326,80220,사이클롭스 마법 인형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
