npc_id,note,normal_action,chaotic_action,teleport_url,teleport_urla
45015,오리,duck1,duck1,,
45154,인어,mermaid,mermaid,,
46069,선택되지 않았던 사람,minicod1,minicod1,,
46070,선택되지 않았던 사람,minicod3,minicod3,,
46077,선택받지 못한 자,minicod2,minicod2,,
46072,선택받지 못한 자,minicod2,minicod2,,
46076,선택받지 못한 자,minicod1,minicod1,,
46074,선택받지 못한 자,minicod2,minicod2,,
46075,선택받지 못한 자,minicod3,minicod3,,
46078,선택받지 못한 자,minicod1,minicod1,,
46079,선택받지 못한 자,minicod2,minicod2,,
46080,선택받지 못한 자,minicod1,minicod1,,
46081,선택받지 못한 자,minicod2,minicod2,,
46092,선택받지 못한 자,minitos3,minitos3,,
46093,선택받지 못한 자,minitos3,minitos3,,
46094,선택받지 못한 자,minitos2,minitos2,,
46095,선택받지 못한 자,minitos2,minitos2,,
46096,선택받지 못한 자,minitos1,minitos1,,
46164,라스타바드 큐브,lascube1,lascube1,,
46165,라스타바드 큐브,lascube2,lascube2,,
46166,라스타바드 큐브,lascube3,lascube3,,
46167,라스타바드 큐브,lascube4,lascube4,,
46197,텔레 포터^마에노 부,maetnob,maetnob,,
46198,텔레 포터^마에노 부의 불꽃,omantel1,omantel1,,
46199,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46200,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46201,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46202,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46203,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46204,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46205,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46206,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46207,텔레 포터^마에노 부의 불꽃,omantel,omantel,,
46209,연금술사^무 부니,mubni1,mubni1,,
46280,연금술사^로센,new_alchemy1,new_alchemy1,,
46281,연금술사^도리 스토,new_alchemy1,new_alchemy1,,
46282,연금술사^리오스 토,new_alchemy1,new_alchemy1,,
46283,연금술사^레오 루빈,new_alchemy1,new_alchemy1,,
46284,연금술사^셋톤,new_alchemy1,new_alchemy1,,
46285,연금술사^샤리 루엔,new_alchemy1,new_alchemy1,,
46286,연금술사^뿌 헤스,new_alchemy1,new_alchemy1,,
46287,연금술사^후라 메스,new_alchemy1,new_alchemy1,,
46288,연금술사^아루 헤 루스,new_alchemy1,new_alchemy1,,
46289,연금술사^루 바루 몬,new_alchemy1,new_alchemy1,,
46290,佐 ノ 길,jp_spmorph1,jp_spmorph1,,
46293,佐 ノ 길,jp_sanoki1,jp_sanoki1,,
46295,호랑이 助,jp_takesi1,jp_takesi1,,
46296,소 로쿠,jp_kazuki1,jp_kazuki1,,
46297,만키 치,jp_masahi1,jp_masahi1,,
46298,히요시 환,jp_hiyosi1,jp_hiyosi1,,
46299,히노 모토 혜택 여장,jp_hinowm1,jp_hinowm1,,
50001,바르 니아,barnia1,barnia1,barnia4,
50002,스카이,sky4,sky4,sky1,
50003,일드 라스,illdrath1,illdrath1,illdrath,
50004,초보 텔레 포터,htel,htel,htel1,
50005,카렌,karen3,karen3,karen1,
50006,코코,coco4,coco4,coco1,
50007,에스메랄다,esmereld2,esmereld2,esmereld,
50008,결투장 안내 원,aghvout,aghvout,agout,
50009,이 쉬타,ishtar1,ishtar1,ishtar,
50010,초보 텔레 포터,stel,stel,stel1,
50011,쿤,kun4,kun4,kun2,
50012,키 요리,kiyari4,kiyari4,kiyari2,
50013,결투장 안내 원,agsiout,agsiout,agout,
50014,디롱,dilong2,dilong2,dilongs,
50015,루카스,teleisland1,teleisland1,teleisland2,
50016,제노,zeno,zeno,zeno2,
50017,케이스,telefire1,telefire2,telefire3,
50018,콜롯세움 관리인,colos,colos,colos1,
50019,콜롯세움 부 관리인,colusher,colusher,,
50020,스텐리,telekent1,telekent1,telekent2,telekent3
50022,해리슨,telefire1,telefire2,telefire3,
50021,왕궁 게이트 키퍼,teleckent1,teleckent1,teleckent2,
50023,오베르,kentober1,kentober1,kentober2,
50024,아스터,telegludin1,telegludin1,telegludin2,telegludin3
50025,시장 경비병,gltzguard,gltzguard,gltzguard1,
50026,시장 공간이 동사,telegltz1,telegltz1,telegltz2,
50027,시장 텔레 포터,gltztele,gltztele,gltztele1,
50028,콜롯세움 관리인,colos,colos,colos1,
50029,콜롯세움 부 관리인,colusher,colusher,,
50030,후퍼,telefire1,telefire2,telefire3,
50031,세피아,sepia2,sepia2,,
50032,시장 경비병,grtzguard,grtzguard,grtzguard1,
50033,시장 공간이 동사,telegrtz1,telegrtz1,telegrtz2,
50034,시장 텔레 포터,grtztele,grtztele,grtztele1,
50035,왕궁 게이트 키퍼,telecgiran1,telecgiran1,telecgiran2,
50036,윌마,telegiran1,telegiran1,telegiran2,telegiran3
50037,콜롯세움 관리인,colos,colos,colos1,
50038,콜롯세움 부 관리인,colusher,colusher,,
50039,레슬리,televala1,televala1,televala2,televala3
50040,왕궁 게이트 키퍼,telecdwarf1,telecdwarf1,telecdwarf2,
50041,콜롯세움 관리인,colos,colos,colos1,
50042,콜롯세움 부 관리인,colusher,colusher,,
50043,라무 다,ramudap2,ramudap2,ramudap1,
50044,시리우스,sirius1,sirius1,sirius2,sirius3
50045,에들 렌,telephantasm,telephantasm,phantasmisle,
50046,엘레리스,elleris1,elleris1,elleris2,elleris3
50047,왕궁 게이트 키퍼,telecaden1,telecaden1,telecaden2,
50048,시장 경비병,ortzguard,ortzguard,ortzguard1,
50049,시장 공간이 동사,teleortz1,teleortz1,teleortz2,
50050,시장 텔레 포터,ortztele,ortztele,ortztele1,
50051,키 리우스,kirius1,kirius1,kirius2,kirius3
50052,왕궁 게이트 키퍼,telecwoods1,telecwoods1,telecwoods2,
50053,콥,telefire1,telefire2,telefire3,
50054,트레이,telewoods1,telewoods1,telewoods2,telewoods3
50055,드리스트,drist2,drist2,,
50056,메트,telesilver1,telesilver1,telesilver2,telesilver3
50057,번치,telefire1,telefire2,telefire3,
50058,시장 경비병,sktzguard,sktzguard,sktzguard1,
50059,시장 공간이 동사,telesktz1,telesktz1,telesktz2,
50060,시장 텔레 포터,sktztele,sktztele,sktztele1,
50061,콜롯세움 관리인,colos,colos,colos1,
50062,콜롯세움 부 관리인,colusher,colusher,,
50063,요새 게이트 키퍼,telecorc1,telecorc1,telecorc2,
50064,듀발,duvall1,duvall1,duvall3,
50065,리 비안,ribian4,ribian4,,
50066,리올,teleheine1,teleheine1,teleheine2,teleheine3
50067,왕궁 게이트 키퍼,telecheine1,telecheine1,telecheine2,
50068,디아 노스,telescave1,telescave1,telescave2,
50069,공간 이동 사 에냐,enya3,enya3,enya1,
50070,상점,luck1,luck1,luck2,
50071,아시리스,escapefi1,escapefi1,escapefi2,
50072,공간 이동 사 디아 루즈,teleoum1,teleoum1,teleoum2,
50073,공간 이동 사 디아 베스,telediad1,telediad1,telediad2,
50074,넓은 하늘 동 텔레 포터,telecavern1,telecavern1,telecavern2,
50075,요새 게이트 키퍼,telecdiad1,telecdiad1,telecdiad2,
50076,정령의 오브,telgrave1,telgrave1,telgrave2,
50077,정령의 오브,telabyss1,telabyss1,telabyss2,
50078,정령의 오브,picrystal,picrystal,picrystal1,
50079,다니엘,telediad1,telediad1,telediad2,telediad3
50080,파울,paul1,paul1,teleorcbdg1,
