id,name,name_id,note,impl,gfx_id,level,hp,mp,ac,str,con,dex,wis,int,mr,exp,lawful,size,weak_attr,ranged,tamable,move_speed,atk_speed,alt_atk_speed,atk_magic_speed,sub_magic_speed,undead,poison_atk,paralysis_atk,agro,agro_sosc,agro_coi,family,agro_family,agro_gfx_id1,agro_gfx_id2,pickup_item,digest_item,brave_speed,hpr_interval,hpr,mpr_interval,mpr,teleport,random_level,random_hp,random_mp,random_ac,random_exp,random_lawful,damage_reduction,hard,doppel,enable_tu,enable_erase,bow_act_id,karma,transform_id,transform_gfx_id,light_size,amount_fixed,change_head,cant_resurrect,is_equality_drop,boss
45001,허수아비,,,L1Scarecrow,114,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45002,허수아비,,,L1Scarecrow,116,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45003,허수아비,,새로운,L1Scarecrow,2084,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,160,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45004,허수아비,,DE 마을,L1Scarecrow,2992,1,1,0,0,0,0,0,0,99,0,2,0,small,0,1,0,240,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
45005,개구리,$256,,L1Monster,55,1,1,0,10,0,0,0,0,0,0,2,0,small,0,1,0,1440,1000,0,1000,1000,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45006,말미잘,$1425,빨강,L1Monster,1586,1,20,0,3,7,10,7,1,1,0,2,0,small,0,1,0,0,1000,0,1000,1000,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45008,고블린,$958,보통,L1Monster,1022,2,3,10,10,10,12,10,7,7,2,5,-3,small,2,1,1,760,920,1000,1000,1000,0,0,0,0,0,0,goblin,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45009,오크,$59,보통,L1Monster,56,2,6,4,10,6,12,10,6,10,0,5,-2,small,4,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45010,토끼,$936,흰 토끼,L1Monster,998,2,7,0,10,12,11,12,8,7,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45011,토끼,$936,흰 토끼 소,L1Monster,1002,2,7,0,10,0,0,0,0,99,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45012,토끼,$936,차 토끼,L1Monster,999,2,7,0,10,12,11,12,8,7,0,5,0,small,0,1,0,960,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45013,토끼,$936,차 토끼 소,L1Monster,1003,2,7,0,10,0,0,0,0,99,0,5,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45015,오리,$952,,L1Monster,1014,2,10,0,10,5,12,15,1,0,0,5,25,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45016,코볼트,$970,보통,L1Monster,1059,3,7,15,10,12,11,12,7,8,2,10,-3,small,2,1,1,1280,1080,0,1080,1080,0,0,0,0,0,0,kobold,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45017,오크,$59,(폐지),L1Monster,56,2,6,4,10,6,12,10,6,10,0,10,-2,small,8,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45018,오크,$59,SC,L1Monster,56,2,6,4,10,6,12,10,6,10,0,5,-2,small,4,1,1,800,1320,0,1440,1440,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45019,오크 궁수,$267,보통,L1Monster,3860,3,12,4,10,12,11,12,7,8,2,10,-3,small,4,10,1,800,1880,720,1440,1760,0,0,0,0,0,0,orc,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,-1,0,0,0,0,0,0,0
45020,괴물 버섯,$1750,(폐지),L1Monster,852,3,20,10,10,6,10,12,6,6,0,10,-5,small,2,1,1,1040,1480,0,1480,1480,0,4,0,0,0,0,fungus,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45021,사슴,$930,보통,L1Monster,947,3,25,0,9,5,12,15,1,0,0,10,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45022,사슴,$930,크리스마스,L1Monster,1236,3,25,0,9,5,12,15,1,0,0,10,0,small,0,1,0,1280,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
45023,멧돼지,$931,보통,L1Monster,979,6,20,5,7,11,12,10,5,6,1,37,0,small,2,1,1,640,800,0,800,800,0,0,0,0,0,0,animal,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45024,늑대 인간,$18,보통,L1Monster,1110,9,50,20,4,15,15,12,10,10,10,82,-9,small,1,1,1,640,840,880,1760,1760,5,0,0,0,0,0,wolf,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45025,그렘린,$1046,,L1Monster,1154,4,50,20,10,11,12,18,7,8,1,17,-3,small,2,1,1,320,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45026,용감한 악어,$1702,(폐지),L1Monster,1574,4,25,10,8,15,13,13,6,5,60,17,-4,small,8,1,1,640,1480,1240,1480,1480,0,0,0,1,0,0,alligator,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45027,아이들 론,$1043,기란 (미 배치),L1Monster,1150,4,20,5,10,11,10,11,7,8,1,17,-3,small,2,1,1,320,960,0,1440,1440,0,0,0,0,0,0,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45028,오염 된 오크 좀비,$1744,,L1Monster,1121,4,45,25,8,10,10,10,7,8,0,17,-7,small,0,1,0,1440,1800,0,1800,1800,1,1,0,1,0,0,zombie,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0
45029,펑 거스,$757,CC,L1Monster,852,4,20,10,5,6,10,12,6,6,0,17,-5,small,2,1,1,1040,1480,0,1480,1480,0,1,0,1,0,0,fungus,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45030,펑 거스,$757,SC,L1Monster,852,4,40,10,5,6,10,12,6,6,1,17,-5,small,2,1,1,1040,1480,0,1480,1480,0,1,0,1,0,0,fungus,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45032,브롭,$758,,L1Monster,31,5,20,10,7,15,17,8,4,7,0,26,-5,small,8,1,1,840,640,0,640,640,0,0,0,0,0,0,,0,-1,-1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45033,임프,$1044,기란,L1Monster,1152,5,20,40,6,9,10,14,7,8,1,26,-3,small,1,10,1,480,1520,0,1400,1400,0,0,0,1,0,0,imp,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1156,0,-1,0,0,0,0,0,0,0
45034,세퍼드,$907,애완 동물,L1Monster,936,5,30,5,9,15,12,15,7,7,1,26,0,small,0,1,1,560,960,920,960,960,0,0,0,0,0,0,dog,1,-1,-1,0,0,0,5000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45035,탈주 흑기사,$1715,,L1Monster,4003,5,25,10,8,16,16,15,12,12,0,26,-5,small,0,2,0,480,1120,760,760,760,0,0,0,1,0,0,antiking,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,14,0,0,0,0,0
45036,계곡 곰,$1700,(폐지),L1Monster,1642,5,50,0,10,0,0,0,0,99,0,26,0,small,0,1,1,800,2000,1120,2000,2000,0,0,0,0,0,0,bear,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45037,계곡 라이칸 스로프,$1711,(폐지),L1Monster,1108,5,35,10,6,16,16,13,10,10,7,26,-6,small,2,1,1,640,800,720,1440,1440,5,0,0,1,0,0,wolf,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45038,계곡 셸 로브,$1699,(폐지),L1Monster,95,5,30,15,8,15,13,17,6,5,12,26,-5,large,2,2,1,480,880,0,1680,1680,0,0,0,1,0,0,spider,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
45039,고양이,$2701,애완 동물,L1Monster,3134,5,20,30,20,9,8,13,15,15,15,26,0,small,0,1,1,640,1040,1120,1040,1040,0,0,0,0,0,0,animal,1,-1,-1,0,0,0,5000,2,5000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0
