item_id,note,hit_modifier,dmg_modifier,ac,str,con,dex,int,wis,hp,mp,sp,mr,use_type
40749,사냥꾼 송곳니,5,0,0,0,0,0,0,0,0,0,0,0,1
40750,파멸의 이빨,-3,2,0,0,0,0,0,0,0,0,0,0,1
40751,전투 송곳니,3,0,0,0,0,0,0,0,0,0,0,0,1
40752,황금의 이빨,1,1,0,0,0,0,0,0,0,0,1,0,1
40756,디바인 송곳니,3,0,0,0,0,0,0,0,0,0,2,0,1
40757,강철의 이빨,0,1,0,0,0,0,0,0,0,0,0,0,1
40758,빅토리 송곳니,2,1,0,0,0,0,0,0,0,0,0,0,1
40761,레더 펫 아머,0,0,-4,0,0,0,0,0,0,0,0,0,0
40762,본 펫 아머,0,0,-7,0,0,0,0,0,0,0,0,0,0
40763,강철 펫 아머,0,0,-8,0,0,0,0,0,0,0,0,0,0
40764,미스릴 펫 아머,0,0,-12,0,0,0,1,1,0,0,0,10,0
40765,크로스 펫 아머,0,0,-13,0,0,0,0,0,0,0,0,0,0
40766,체인 펫 아머,0,0,-20,0,0,0,0,0,0,0,0,0,0
