item_id,note,crystal_count
1,오크족 단검,2
200001,오크족 단검,2
2,악운의 단검,2
200002,악운의 단검,2
6,라스타바드 단검,100
8,미스릴 단검,10000
100008,미스릴 단검,10000
11,수정 단검,3500
100011,수정 단검,3500
21,오크족 검,2
23,넓은 검,3
25,은검,180
100025,은검,180
26,난쟁이족 검,25
100026,난쟁이족 검,25
27,언월도,100
100027,언월도,100
200027,언월도,100
29,은장검,1300
100029,은장검,1300
32,그라디우스,250
200032,그라디우스,250
31,장검,300
37,다마스커스 검,500
100037,다마스커스 검,500
38,라스타바드 장검,1100
39,커트라스,2800
41,일본도,2000
100041,일본도,2000
200041,일본도,2000
43,샴쉬르,3000
49,무관의 장검,1500
100049,무관의 장검,1500
256,할로윈 호박 장검,100
40,피의 대검,1500
52,양손검,1800
100052,양손검,1800
200052,양손검,1800
57,싸울아비 장검,3500
100057,싸울아비 장검,3500
64,대검,8000
100064,대검,8000
69,구리빛 이도류,80
70,송곳날 이도류,350
71,강철 이도류,150
72,그림자 이도류,300
77,짧은 이도류,800
80,다마스커스 이도류,3000
82,라스타바드 이도류,1000
93,삼지창,2
91,오크족 창,5
95,기병창,6
98,넓은 창,36
100098,넓은 창,36
100095,기병창,6
96,창,8
94,파르티잔,50
101,라스타바드 한손창,100
103,미늘창,200
100103,미늘창,200
104,포챠드,800
102,루선해머,900
100102,루선해머,900
106,벡드코빈,1600
107,크림슨 랜스,20000
100107,크림슨 랜스,20000
108,마력을 잃은 데몬의 지팡이,3
109,마력을 잃은 바포메트의 지팡이,3
110,마력을 잃은 베레스의 지팡이,3
111,마력을 잃은 얼음 여왕의 지팡이,3
116,블랙 위자드의 스태프,150
125,마력의 지팡이,1300
129,마법사의 지팡이,250
130,붉은 수정의 지팡이,10000
137,아탐,1
136,도끼,2
138,몽둥이,3
139,도리깨,4
140,철퇴,9
141,워해머,100
143,전투 도끼,70
100143,전투 도끼,70
144,난쟁이족 도끼,300
100144,난쟁이족 도끼,300
145,광전사의 도끼,100
146,모닝스타,350
100146,모닝스타,350
142,은도끼,800
148,대형 도끼,1200
149,미노타우르스 도끼,1200
151,데몬 액스,20000
100151,데몬 액스,20000
152,구리빛 크로우,100
153,강철 크로우,200
154,그림자 크로우,800
158,어둠의 크로우,300
159,짧은 크로우,1200
161,다마스커스 크로우,4000
122,라스타바드 스태프,1000
128,참나무 지팡이,30
126,마나의 지팡이,900
127,강철 마나의 지팡이,900
132,신관의 지팡이,10000
100132,신관의 지팡이,10000
168,다크 크로스 보우,300
169,사냥꾼 활,500
100169,사냥꾼 활,500
171,오크족 활,3
200171,오크족 활,3
172,활,5
100172,활,5
173,작은 활,2
176,라스타바드 보우,500
187,라스타바드 크로스 보우,1000
193,건틀렛,1000
20162,가죽 장갑,800
20168,무관의 장갑,26
20175,수정 장갑,800
20180,어둠의 장갑,1000
20182,장갑,800
120182,장갑,800
20188,푸른 해적 장갑,800
20177,암령의 장갑,10000
20189,풍령의 장갑,10000
20181,염령의 장갑,10000
20172,빙령의 장갑,10000
20006,기사의 면갑,500
20007,난쟁이족 철 투구,60
120007,난쟁이족 철 투구,60
20008,낡은 바람의 투구,2200
20011,마법 방어 투구,250
120011,마법 방어 투구,250
20013,마법의 투구: 신속,2000
20014,마법의 투구: 치유,1500
20015,마법의 투구: 힘,1800
20036,인프라비젼 투구,1200
20020,무관의 투구,350
20032,어둠의 머리띠,1000
20034,오크족 투구,15
220034,오크족 투구,15
20043,투구,20
120043,투구,20
220043,투구,20
20383,기마용 투구,100000
20089,가죽 갑옷,10
20099,데몬의 갑옷,4200
20102,라스타바드 레더 아머,150
20103,라스타바드 로브,1500
20104,라스타바드 징박힌 레더 아머,200
20105,라스타바드 체인 메일,500
20110,마법 방어 사슬 갑옷,800
20125,사슬 갑옷,600
220125,사슬 갑옷,600
20135,오크족 고리 갑옷,20
220135,오크족 고리 갑옷,20
20147,징박힌 가죽 갑옷,30
220147,징박힌 가죽 갑옷,30
20096,고리 갑옷,50
20136,오크족 사슬 갑옷,80
220136,오크족 사슬 갑옷,80
20114,무명 로브,100
20139,요정족 흉갑,100
20122,비늘 갑옷,200
220122,비늘 갑옷,200
20124,뼈갑옷,200
20149,청동 판금 갑옷,1600
120149,청동 판금 갑옷,1600
20115,미늘 갑옷,2000
220115,미늘 갑옷,2000
20101,띠 갑옷,2500
120101,띠 갑옷,2500
220101,띠 갑옷,2500
20128,수정 갑옷,8000
120128,수정 갑옷,8000
20132,어둠의 로브,2000
20143,잊혀진 판금 갑옷,3700
20142,잊혀진 비늘 갑옷,3700
20140,잊혀진 가죽 갑옷,3700
20141,잊혀진 로브,3700
20154,판금 갑옷,3700
120154,판금 갑옷,3700
220154,판금 갑옷,3700
20052,난쟁이족 망토,10
