area,loc_x,loc_y,map_id,note
5,32631,32983,0,Talking Island
6,32543,32728,4,Orcish Forest
53,33426,32823,4,Orcish Forest
54,33426,32823,4,Orcish Forest
55,33426,32823,4,Orcish Forest
56,33426,32823,4,Orcish Forest
70,32828,32848,70,Forgotten Island
75,34047,32283,4,Orcish Forest
76,34047,32283,4,Orcish Forest
77,34047,32283,4,Orcish Forest
78,34047,32283,4,Orcish Forest
79,34047,32283,4,Orcish Forest
80,34047,32283,4,Orcish Forest
81,34047,32283,4,Orcish Forest
82,34047,32283,4,Orcish Forest
83,33426,33499,4,Orcish Forest
84,32936,33057,70,Forgotten Island
86,32691,32864,2005,Northern Valley(Beginners Zone)
88,33442,32797,0,Talking Island
91,32580,32931,4,Orcish Forest
92,32612,32734,0,Talking Island
95,33080,33392,4,Orcish Forest
98,33705,32504,4,Orcish Forest
101,33926,33346,4,Orcish Forest
102,33926,33346,4,Orcish Forest
103,33926,33346,4,Orcish Forest
104,33926,33346,4,Orcish Forest
105,33926,33346,4,Orcish Forest
106,33926,33346,4,Orcish Forest
107,33926,33346,4,Orcish Forest
108,33926,33346,4,Orcish Forest
109,33926,33346,4,Orcish Forest
110,33926,33346,4,Orcish Forest
111,33926,33346,4,Orcish Forest
112,33926,33346,4,Orcish Forest
113,33926,33346,4,Orcish Forest
114,33926,33346,4,Orcish Forest
115,33926,33346,4,Orcish Forest
116,33926,33346,4,Orcish Forest
117,33926,33346,4,Orcish Forest
118,33926,33346,4,Orcish Forest
119,33926,33346,4,Orcish Forest
120,33926,33346,4,Orcish Forest
121,33926,33346,4,Orcish Forest
122,33926,33346,4,Orcish Forest
123,33926,33346,4,Orcish Forest
124,33926,33346,4,Orcish Forest
125,33926,33346,4,Orcish Forest
126,33926,33346,4,Orcish Forest
127,33926,33346,4,Orcish Forest
128,33926,33346,4,Orcish Forest
129,33926,33346,4,Orcish Forest
130,33926,33346,4,Orcish Forest
131,33926,33346,4,Orcish Forest
132,33926,33346,4,Orcish Forest
133,33926,33346,4,Orcish Forest
134,33926,33346,4,Orcish Forest
135,33926,33346,4,Orcish Forest
136,33926,33346,4,Orcish Forest
