npc_id,item_id,note,order_id,pack_count
50118,40331,켄트용사의 검,0,0
50118,40332,켄트궁사의 활,1,0
50118,40333,켄트마법사의 지팡이,2,0
50118,40334,켄트암살자의 이도류,3,0
50118,40335,켄트전사의 도끼,4,0
50118,40336,켄트문장 부츠,5,0
50118,40337,켄트문장 갑옷,6,0
50118,40338,켄트문장 장갑,7,0
50118,40339,켄트문장 방패,8,0
50118,40340,켄트문장 투구,9,0
70001,40141,남색 폭죽,0,0
70001,40145,적색 폭죽,1,0
70001,40160,황색 폭죽,2,0
70001,40152,청색 폭죽,3,0
70001,40151,청색 원형 폭죽,4,0
70001,40159,황색 원형 폭죽,5,0
70001,40149,청색 눈꽃 폭죽,6,0
70001,40157,황색 눈꽃 폭죽,7,0
70001,40142,남색 하트 폭죽,8,0
70001,40161,황색 하트 폭죽,9,0
70001,40153,청색 하트 폭죽,10,0
70001,40146,적색 하트 폭죽,11,0
70001,40139,남색 2단 폭죽,12,0
70001,40143,적색 2단 폭죽,13,0
70001,40156,황색 2단 폭죽,14,0
70001,40148,청색 2단 폭죽,15,0
70001,40155,황색 2단 원형 폭죽,16,0
70001,40147,청색 2단 원형 폭죽,17,0
70001,40136,3연발 폭죽,18,0
70001,40138,고급 3연발 폭죽,19,0
70001,40137,6연발 폭죽,20,0
70001,40158,황색 스파크,21,0
70001,40140,남색 스파크,22,0
70001,40144,적색 스파크,23,0
70001,40150,청색 스파크,24,0
70001,41357,A 알파벳 폭죽,25,0
70001,41358,B 알파벳 폭죽,26,0
70001,41359,C 알파벳 폭죽,27,0
70001,41360,D 알파벳 폭죽,28,0
70001,41361,E 알파벳 폭죽,29,0
70001,41362,F 알파벳 폭죽,30,0
70001,41363,G 알파벳 폭죽,31,0
70001,41364,H 알파벳 폭죽,32,0
70001,41365,I 알파벳 폭죽,33,0
70001,41366,J 알파벳 폭죽,34,0
70001,41367,K 알파벳 폭죽,35,0
70001,41368,L 알파벳 폭죽,36,0
70001,41369,M 알파벳 폭죽,37,0
70001,41370,N 알파벳 폭죽,38,0
70001,41371,O 알파벳 폭죽,39,0
70001,41372,P 알파벳 폭죽,40,0
70001,41373,Q 알파벳 폭죽,41,0
70001,41374,R 알파벳 폭죽,42,0
70001,41375,S 알파벳 폭죽,43,0
70001,41376,T 알파벳 폭죽,44,0
70001,41377,U 알파벳 폭죽,45,0
70001,41378,V 알파벳 폭죽,46,0
70001,41379,W 알파벳 폭죽,47,0
70001,41380,X 알파벳 폭죽,48,0
70001,41381,Y 알파벳 폭죽,49,0
70001,41382,Z 알파벳 폭죽,50,0
70004,40010,체력 회복제,0,0
70004,40011,고급 체력 회복제,1,0
70004,40012,강력 체력 회복제,2,0
70004,40019,농축 체력 회복제,3,0
70004,40020,농축 고급 체력 회복제,4,0
70004,40021,농축 강력 체력 회복제,5,0
70004,40022,고대의 체력 회복제,6,0
70004,40023,고대의 고급 체력 회복제,7,0
70004,40024,고대의 강력 체력 회복제,8,0
70004,40013,속도 향상 물약,9,0
70004,40018,강화 속도향상 물약,10,0
70004,40031,악마의 피,11,0
70004,40014,용기의 물약,12,0
70004,41415,강화 용기의 물약,13,0
70004,40068,엘븐 와퍼,14,0
70004,49158,유그 드라 열매,15,0
70004,40016,지혜의 물약,16,0
70004,40015,마력 회복 물약,17,0
70004,40017,해독제,18,0
70004,40032,에바의 축복,19,0
70004,40025,눈멀기 물약,20,0
70004,40126,확인 주문서,21,0
70004,40089,부활 주문서,22,0
70004,40088,변신 주문서,23,0
70004,40100,순간이동 주문서,24,0
70004,40079,귀환 주문서,25,0
70004,40124,혈맹 귀환 주문서,26,0
70004,40119,저주 풀기 주문서,27,0
70004,40090,빈 주문서 (레벨 1),28,0
70004,40091,빈 주문서 (레벨 2),29,0
70004,40092,빈 주문서 (레벨 3),30,0
70004,40093,빈 주문서 (레벨 4),31,0
70004,40094,빈 주문서 (레벨 5),32,0
70004,40318,마력의 돌,33,0
70004,40319,정령옥,34,0
70004,40320,흑마석,35,0
70004,49157,각인의 뼈 조각,36,0
70004,49156,속성석,37,0
70004,41245,용해제,38,0
70004,40056,고기,39,0
70004,40057,괴물 눈 고기,40,0
70004,40315,펫 호루라기,41,0
