id,name,skill_level,skill_number,consume_mp,consume_hp,consume_item_id,consume_amount,reuse_delay,buff_duration,target,target_to,damage_value,damage_dice,damage_dice_count,probability_value,probability_dice,probability_max,attr,type,lawful,ranged,area,through,skill_id,name_id,action_id,cast_gfx,cast_gfx2,sys_msg_id_happen,sys_msg_id_stop,sys_msg_id_fail,can_cast_with_invis,ignores_counter_magic,is_buff,impl
1,힐,1,0,4,0,0,0,10,0,buff,3,2,4,0,0,0,-1,4,16,0,-1,0,0,1,$1436,19,744,-1,77,0,280,1,1,0,\N
2,라이트,1,1,4,0,0,0,10,3600,none,0,0,0,0,0,0,-1,16,2,0,0,0,0,2,$1437,19,2510,-1,0,0,0,1,1,1,L1Light
3,실드,1,2,8,0,0,0,10,1800,none,0,0,0,0,0,0,-1,0,2,0,0,0,0,4,$1438,19,221,-1,0,0,0,1,1,1,\N
4,에너지 볼트,1,3,3,0,0,0,10,0,attack,3,8,10,1,0,0,-1,16,64,0,10,0,0,8,$1439,18,167,-1,0,0,0,0,0,0,\N
5,텔레포트,1,4,10,0,0,0,10,0,none,0,0,0,0,0,0,-1,0,128,0,0,0,0,16,$1440,19,169,-1,0,0,0,1,1,0,\N
6,아이스 대거,1,5,4,0,0,0,10,0,attack,3,10,10,1,0,0,-1,4,64,0,10,0,0,32,$1966,18,1797,-1,0,0,0,0,0,0,\N
7,윈드 커터,1,6,4,0,0,0,10,0,attack,3,10,10,1,0,0,-1,8,64,0,10,0,0,64,$1967,18,1799,-1,0,0,0,0,0,0,\N
8,홀리 웨폰,1,7,10,0,0,0,0,1200,buff,3,0,0,0,0,0,-1,0,2,0,-1,0,0,128,$1977,19,2165,-1,0,0,0,1,1,0,\N
9,큐어 포이즌,2,0,15,0,0,0,0,0,buff,3,0,0,0,0,0,-1,0,2,0,-1,0,0,1,$1441,19,871,-1,211,0,280,1,1,0,\N
10,칠 터치,2,1,8,0,0,0,0,0,attack,3,10,10,2,0,0,-1,4,64,-2,3,0,0,2,$1442,18,252,-1,0,0,0,0,0,0,\N
11,커스 포이즌,2,2,10,0,40318,1,0,30,buff,3,0,0,0,0,12,99,4,4,-10,1,0,0,4,$1443,19,10705,-1,0,0,280,0,0,0,\N
12,인챈트 웨폰,2,3,20,0,0,0,0,1800,none,0,0,0,0,0,0,-1,2,2,0,0,0,0,8,$1444,19,747,-1,0,0,0,1,1,0,\N
13,디텍션,2,4,15,0,0,0,500,0,none,3,0,0,0,0,0,-1,0,2,0,0,-1,0,16,$1445,19,749,-1,0,0,0,1,1,0,\N
14,디크리즈 웨이트,2,5,10,50,0,0,0,1800,none,0,0,0,0,0,0,-1,0,2,0,0,0,0,32,$1978,19,2170,-1,0,0,0,1,1,1,L1MarkerSkill
15,파이어 애로우,2,6,6,0,0,0,0,0,attack,3,10,10,2,0,0,-1,2,64,0,10,0,0,64,$1968,18,1583,-1,0,0,0,0,0,0,\N
16,스탈락,2,7,6,0,0,0,0,0,attack,3,10,10,2,0,0,-1,1,64,0,10,0,0,128,$1969,18,1801,-1,0,0,0,0,0,0,\N
17,라이트닝,3,0,20,0,0,0,1000,0,attack,3,0,10,4,0,0,-1,8,64,0,6,0,0,1,$1446,18,170,-1,0,0,0,0,0,0,\N
18,턴 언데드,3,1,20,0,0,0,0,0,attack,2,0,0,0,0,7,98,1,4,0,10,0,0,2,$1970,19,754,-1,0,0,280,0,0,0,\N
19,익스트라 힐,3,2,15,0,0,0,0,0,buff,3,4,8,0,0,0,-1,4,16,0,-1,0,0,4,$1448,19,829,-1,77,0,280,1,1,0,\N
20,커스 블라인드,3,3,20,0,0,0,500,16,buff,3,0,0,0,0,11,99,0,4,-10,1,0,0,8,$1449,19,10703,-1,0,0,280,0,0,0,\N
21,블레스드 아머,3,4,20,0,0,0,0,1800,none,0,0,0,0,0,0,-1,0,2,0,0,0,0,16,$1450,19,748,-1,0,0,0,1,1,0,\N
22,프로즌 클라우드,3,5,20,0,0,0,300,0,attack,3,0,4,8,0,0,-1,4,64,0,6,3,0,32,$1447,18,6012,-1,0,0,0,0,0,0,\N
23,위크 엘리멘탈,3,6,8,0,0,0,0,0,buff,2,0,0,0,0,0,-1,0,128,0,-1,0,0,64,$1979,19,2510,-1,0,0,280,0,0,0,\N
24,none,3,7,0,0,0,0,0,0,none,0,0,0,0,0,0,-1,0,0,0,0,0,0,128,,19,189,-1,0,0,0,0,0,0,\N
