id,trap_id,note,map_id,loc_x,loc_y,loc_rnd_x,loc_rnd_y,count,span
1,8,TOI4F 몬스터,104,32670,32861,100,100,20,0
2,2,힐,104,32670,32861,100,100,20,0
3,3,데미지 독,104,32670,32861,100,100,20,0
4,4,침묵 독,104,32670,32861,100,100,20,0
5,5,마비 독,104,32670,32861,100,100,20,0
6,6,메테오,104,32670,32861,100,100,20,0
7,7,바늘 (가로),104,32670,32861,100,100,20,0
8,9,TOI8F 몬스터,108,32670,32861,100,100,20,0
9,2,힐,108,32670,32861,100,100,20,0
10,3,데미지 독,108,32670,32861,100,100,20,0
11,4,침묵 독,108,32670,32861,100,100,20,0
12,5,마비 독,108,32670,32861,100,100,20,0
13,6,메테오,108,32670,32861,100,100,20,0
14,7,바늘 (가로),108,32670,32861,100,100,20,0
15,10,TOI14F 몬스터,114,32670,32861,100,100,20,0
16,2,힐,114,32670,32861,100,100,20,0
17,3,데미지 독,114,32670,32861,100,100,20,0
18,4,침묵 독,114,32670,32861,100,100,20,0
19,5,마비 독,114,32670,32861,100,100,20,0
20,6,메테오,114,32670,32861,100,100,20,0
21,7,바늘 (가로),114,32670,32861,100,100,20,0
22,11,TOI18F 몬스터,118,32670,32861,100,100,20,0
23,2,힐,118,32670,32861,100,100,20,0
24,3,데미지 독,118,32670,32861,100,100,20,0
25,4,침묵 독,118,32670,32861,100,100,20,0
26,5,마비 독,118,32670,32861,100,100,20,0
27,6,메테오,118,32670,32861,100,100,20,0
28,7,바늘 (가로),118,32670,32861,100,100,20,0
29,12,TOI24F 몬스터,124,32670,32861,100,100,20,0
30,2,힐,124,32670,32861,100,100,20,0
31,3,데미지 독,124,32670,32861,100,100,20,0
32,4,침묵 독,124,32670,32861,100,100,20,0
33,5,마비 독,124,32670,32861,100,100,20,0
34,6,메테오,124,32670,32861,100,100,20,0
35,7,바늘 (가로),124,32670,32861,100,100,20,0
36,13,TOI28F 몬스터,128,32670,32861,100,100,20,0
37,2,힐,128,32670,32861,100,100,20,0
38,3,데미지 독,128,32670,32861,100,100,20,0
39,4,침묵 독,128,32670,32861,100,100,20,0
40,5,마비 독,128,32670,32861,100,100,20,0
41,6,메테오,128,32670,32861,100,100,20,0
42,7,바늘 (가로),128,32670,32861,100,100,20,0
43,14,TOI34F 몬스터,134,32670,32861,100,100,20,0
44,2,힐,134,32670,32861,100,100,20,0
45,3,데미지 독,134,32670,32861,100,100,20,0
46,4,침묵 독,134,32670,32861,100,100,20,0
47,5,마비 독,134,32670,32861,100,100,20,0
48,6,메테오,134,32670,32861,100,100,20,0
49,7,바늘 (가로),134,32670,32861,100,100,20,0
50,15,TOI38F 몬스터,138,32670,32861,100,100,20,0
51,2,힐,138,32670,32861,100,100,20,0
52,3,데미지 독,138,32670,32861,100,100,20,0
53,4,침묵 독,138,32670,32861,100,100,20,0
54,5,마비 독,138,32670,32861,100,100,20,0
55,6,메테오,138,32670,32861,100,100,20,0
56,7,바늘 (가로),138,32670,32861,100,100,20,0
57,16,TOI44F 몬스터,144,32670,32861,100,100,20,0
58,2,힐,144,32670,32861,100,100,20,0
59,3,데미지 독,144,32670,32861,100,100,20,0
60,4,침묵 독,144,32670,32861,100,100,20,0
61,5,마비 독,144,32670,32861,100,100,20,0
62,6,메테오,144,32670,32861,100,100,20,0
63,7,바늘 (가로),144,32670,32861,100,100,20,0
64,17,TOI48F 몬스터,148,32670,32861,100,100,20,0
65,2,힐,148,32670,32861,100,100,20,0
66,3,데미지 독,148,32670,32861,100,100,20,0
67,4,침묵 독,148,32670,32861,100,100,20,0
68,5,마비 독,148,32670,32861,100,100,20,0
69,6,메테오,148,32670,32861,100,100,20,0
70,7,바늘 (가로),148,32670,32861,100,100,20,0
71,18,TOI54F 몬스터,154,32798,32798,100,100,20,0
72,2,힐,154,32798,32798,100,100,20,0
73,3,데미지 독,154,32798,32798,100,100,20,0
74,4,침묵 독,154,32798,32798,100,100,20,0
75,5,마비 독,154,32798,32798,100,100,20,0
76,6,메테오,154,32798,32798,100,100,20,0
77,7,바늘 (가로),154,32798,32798,100,100,20,0
78,18,TOI54F 몬스터,158,32670,32861,100,100,20,0
79,2,힐,158,32670,32861,100,100,20,0
80,3,데미지 독,158,32670,32861,100,100,20,0
81,4,침묵 독,158,32670,32861,100,100,20,0
82,5,마비 독,158,32670,32861,100,100,20,0
83,6,메테오,158,32670,32861,100,100,20,0
84,7,바늘 (가로),158,32670,32861,100,100,20,0
85,19,TOI64F 몬스터,164,32798,32798,100,100,20,0
86,2,힐,164,32798,32798,100,100,20,0
87,3,데미지 독,164,32798,32798,100,100,20,0
88,4,침묵 독,164,32798,32798,100,100,20,0
89,5,마비 독,164,32798,32798,100,100,20,0
90,6,메테오,164,32798,32798,100,100,20,0
91,7,바늘 (가로),164,32798,32798,100,100,20,0
92,19,TOI64F 몬스터,168,32670,32861,100,100,20,0
93,2,힐,168,32670,32861,100,100,20,0
94,3,데미지 독,168,32670,32861,100,100,20,0
95,4,침묵 독,168,32670,32861,100,100,20,0
96,5,마비 독,168,32670,32861,100,100,20,0
97,6,메테오,168,32670,32861,100,100,20,0
98,7,바늘 (가로),168,32670,32861,100,100,20,0
99,20,TOI74F 몬스터,174,32798,32798,100,100,20,0
100,2,힐,174,32798,32798,100,100,20,0
101,3,데미지 독,174,32798,32798,100,100,20,0
102,4,침묵 독,174,32798,32798,100,100,20,0
103,5,마비 독,174,32798,32798,100,100,20,0
104,6,메테오,174,32798,32798,100,100,20,0
105,7,바늘 (가로),174,32798,32798,100,100,20,0
106,21,TOI78F 몬스터,178,32670,32861,100,100,20,0
107,2,힐,178,32670,32861,100,100,20,0
108,3,데미지 독,178,32670,32861,100,100,20,0
109,4,침묵 독,178,32670,32861,100,100,20,0
110,5,마비 독,178,32670,32861,100,100,20,0
111,6,메테오,178,32670,32861,100,100,20,0
112,7,바늘 (가로),178,32670,32861,100,100,20,0
113,22,TOI84F 몬스터,184,32798,32798,100,100,20,0
114,2,힐,184,32798,32798,100,100,20,0
115,3,데미지 독,184,32798,32798,100,100,20,0
116,4,침묵 독,184,32798,32798,100,100,20,0
117,5,마비 독,184,32798,32798,100,100,20,0
118,6,메테오,184,32798,32798,100,100,20,0
119,7,바늘 (가로),184,32798,32798,100,100,20,0
120,22,TOI84F 몬스터,188,32670,32861,100,100,20,0
121,2,힐,188,32670,32861,100,100,20,0
122,3,데미지 독,188,32670,32861,100,100,20,0
123,4,침묵 독,188,32670,32861,100,100,20,0
124,5,마비 독,188,32670,32861,100,100,20,0
125,6,메테오,188,32670,32861,100,100,20,0
126,7,바늘 (가로),188,32670,32861,100,100,20,0
127,23,TOI94F 몬스터,194,32798,32798,100,100,20,0
128,2,힐,194,32798,32798,100,100,20,0
129,3,데미지 독,194,32798,32798,100,100,20,0
130,4,침묵 독,194,32798,32798,100,100,20,0
131,5,마비 독,194,32798,32798,100,100,20,0
132,6,메테오,194,32798,32798,100,100,20,0
133,7,바늘 (가로),194,32798,32798,100,100,20,0
134,23,TOI94F 몬스터,198,32670,32861,100,100,20,0
135,2,힐,198,32670,32861,100,100,20,0
136,3,데미지 독,198,32670,32861,100,100,20,0
137,4,침묵 독,198,32670,32861,100,100,20,0
138,5,마비 독,198,32670,32861,100,100,20,0
139,6,메테오,198,32670,32861,100,100,20,0
140,7,바늘 (가로),198,32670,32861,100,100,20,0
141,24,IT4F 페이퍼 맨,78,32896,32770,50,50,18,0
142,25,IT4F 미믹,78,32896,32770,50,50,18,0
143,26,IT4F 돌 골렘,78,32896,32770,50,50,18,0
144,27,IT4F 아이언 골렘,78,32896,32770,50,50,18,0
145,28,IT4F 젤라틴 큐브,78,32896,32770,50,50,18,0
146,29,IT4F 리빙 아머,78,32896,32770,50,50,18,0
147,30,IT4F 리빙 아머,78,32896,32770,50,50,18,0
148,31,IT4F 댄싱 소드,78,32896,32770,50,50,18,0
149,32,IT4F 볼 라이트닝,78,32896,32770,50,50,18,0
150,33,IT5F 미믹,79,32770,32834,50,50,18,0
151,34,IT5F 엘더,79,32770,32834,50,50,18,0
152,35,IT5F 키메라,79,32770,32834,50,50,18,0
153,36,IT5F 대학교,79,32770,32834,50,50,18,0
154,37,IT5F 대학교,79,32770,32834,50,50,18,0
155,38,IT5F 흑 장로,79,32770,32834,50,50,18,0
156,39,IT5F 블랙 위자드,79,32770,32834,50,50,18,0
157,40,IT6F 미믹,80,32767,32833,50,50,18,0
158,41,IT6F 블랙 위자드,80,32767,32833,50,50,18,0
159,42,IT6F 데스,80,32767,32833,50,50,18,0
160,43,IT6F 실루엣,80,32767,32833,50,50,18,0
161,44,IT6F 유령,80,32767,32833,50,50,18,0
162,45,IT6F 디지 네 늦은 서울,80,32767,32833,50,50,18,0
163,46,IT6F 베레스의 분신,80,32767,32833,50,50,18,0
164,47,IT6F 하딘의 분신,80,32767,32833,50,50,0,0
165,48,IT7F 미믹,81,32762,32829,50,50,15,0
166,49,IT7F 실루엣,81,32762,32829,50,50,15,0
167,50,IT7F 유령,81,32762,32829,50,50,15,0
168,51,IT7F 베레스의 분신,81,32762,32829,50,50,15,0
169,52,IT7F 발록의 추종자,81,32762,32829,50,50,15,0
170,53,IT7F 레서 데몬,81,32762,32829,50,50,15,0
171,54,IT7F 바포메트의 분신,81,32762,32829,50,50,15,0
172,55,IT7F 하딘의 분신,81,32762,32829,50,50,0,0
173,56,IT8F 미믹,82,32701,32834,50,50,15,0
174,57,IT8F 레서 데몬,82,32701,32834,50,50,15,0
175,58,IT8F 가고일,82,32701,32834,50,50,15,0
176,59,IT8F 파사 즈,82,32701,32834,50,50,15,0
177,60,IT8F 발록의 분신,82,32701,32834,50,50,15,0
178,61,IT8F 데몬의 분신,82,32701,32834,50,50,15,0
179,62,IT8F 하딘의 분신,82,32701,32834,50,50,0,0
180,3,데미지 독,482,32695,32735,0,0,1,0
181,4,침묵 독,482,32696,32746,0,0,1,0
182,63,프랑코 미로 라버 본 솔져,482,32692,32750,0,0,1,10000
183,5,마비 독,482,32716,32736,0,0,1,0
184,64,프랑코 미로 라버 본 아처,482,32716,32740,0,0,1,10000
185,6,메테오,482,32724,32744,0,0,1,0
