id,note,type,gfx_id,is_detectionable,base,dice,dice_count,poison_type,poison_delay,poison_time,poison_damage,monster_npc_id,monster_count,teleport_x,teleport_y,teleport_map_id,skill_id,skill_time_seconds,switch_id
1,트라바사미,L1DamageTrap,1065,1,10,10,1,-,0,0,0,0,0,0,0,0,0,0,0
2,힐,L1HealingTrap,1074,0,10,10,1,-,0,0,0,0,0,0,0,0,0,0,0
3,데미지 독,L1PoisonTrap,1066,1,0,0,0,d,0,5000,10,0,0,0,0,0,0,0,0
4,침묵 독,L1PoisonTrap,1066,1,0,0,0,s,0,0,10,0,0,0,0,0,0,0,0
5,마비 독,L1PoisonTrap,1066,1,0,0,0,p,8000,16000,0,0,0,0,0,0,0,0,0
6,메테오,L1DamageTrap,1085,1,10,10,1,-,0,0,0,0,0,0,0,0,0,0,0
7,바늘 (가로),L1DamageTrap,1070,1,10,10,1,-,0,0,0,0,0,0,0,0,0,0,0
8,TOI4F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45348,2,0,0,0,0,0,0
9,TOI8F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45407,2,0,0,0,0,0,0
10,TOI14F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45394,2,0,0,0,0,0,0
11,TOI18F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45406,2,0,0,0,0,0,0
12,TOI24F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45384,2,0,0,0,0,0,0
13,TOI28F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45471,2,0,0,0,0,0,0
14,TOI34F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45403,2,0,0,0,0,0,0
15,TOI38F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45455,2,0,0,0,0,0,0
16,TOI44F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45514,2,0,0,0,0,0,0
17,TOI48F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45522,2,0,0,0,0,0,0
18,TOI54F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45524,2,0,0,0,0,0,0
19,TOI64F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45528,2,0,0,0,0,0,0
20,TOI74F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45503,2,0,0,0,0,0,0
21,TOI78F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45532,2,0,0,0,0,0,0
22,TOI84F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45586,2,0,0,0,0,0,0
23,TOI94F 몬스터,L1MonsterTrap,0,0,0,0,0,-,0,0,0,45621,2,0,0,0,0,0,0
24,IT4F 페이퍼 맨,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46168,2,0,0,0,0,0,0
25,IT4F 미믹,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46169,2,0,0,0,0,0,0
26,IT4F 돌 골렘,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46170,2,0,0,0,0,0,0
27,IT4F 아이언 골렘,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46171,2,0,0,0,0,0,0
28,IT4F 젤라틴 큐브,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46172,2,0,0,0,0,0,0
29,IT4F 리빙 아머,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46173,2,0,0,0,0,0,0
30,IT4F 리빙 아머,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46174,2,0,0,0,0,0,0
31,IT4F 댄싱 소드,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46175,2,0,0,0,0,0,0
32,IT4F 볼 라이트닝,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46176,2,0,0,0,0,0,0
33,IT5F 미믹,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46169,2,0,0,0,0,0,0
34,IT5F 엘더,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46177,2,0,0,0,0,0,0
35,IT5F 키메라,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46178,2,0,0,0,0,0,0
36,IT5F 대학교,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46179,2,0,0,0,0,0,0
37,IT5F 대학교,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46180,2,0,0,0,0,0,0
38,IT5F 흑 장로,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46181,2,0,0,0,0,0,0
39,IT5F 블랙 위자드,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46182,2,0,0,0,0,0,0
40,IT6F 미믹,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46169,2,0,0,0,0,0,0
41,IT6F 블랙 위자드,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46182,2,0,0,0,0,0,0
42,IT6F 데스,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46183,2,0,0,0,0,0,0
43,IT6F 실루엣,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46184,2,0,0,0,0,0,0
44,IT6F 유령,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46185,2,0,0,0,0,0,0
45,IT6F 디지 네 늦은 서울,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46186,2,0,0,0,0,0,0
46,IT6F 베레스의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46187,2,0,0,0,0,0,0
47,IT6F 하딘의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46196,2,0,0,0,0,0,0
48,IT7F 미믹,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46169,2,0,0,0,0,0,0
49,IT7F 실루엣,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46184,2,0,0,0,0,0,0
50,IT7F 유령,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46185,2,0,0,0,0,0,0
51,IT7F 베레스의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46187,2,0,0,0,0,0,0
52,IT7F 발록의 추종자,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46188,2,0,0,0,0,0,0
53,IT7F 레서 데몬,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46189,2,0,0,0,0,0,0
54,IT7F 바포메트의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46190,2,0,0,0,0,0,0
55,IT7F 하딘의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46196,2,0,0,0,0,0,0
56,IT8F 미믹,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46169,2,0,0,0,0,0,0
57,IT8F 레서 데몬,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46189,2,0,0,0,0,0,0
58,IT8F 가고일,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46191,2,0,0,0,0,0,0
59,IT8F 파사 즈,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46192,2,0,0,0,0,0,0
60,IT8F 발록의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46194,2,0,0,0,0,0,0
61,IT8F 데몬의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46195,2,0,0,0,0,0,0
62,IT8F 하딘의 분신,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46196,2,0,0,0,0,0,0
63,프랑코 미로 라버 본 솔져,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46057,4,0,0,0,0,0,0
64,프랑코 미로 라버 본 아처,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46058,4,0,0,0,0,0,0
65,프랑코 미로 라버 본 헤드,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46059,4,0,0,0,0,0,0
66,프랑코 미로 라버 본 나이프,L1MonsterTrap,0,0,0,0,0,-,0,0,0,46056,4,0,0,0,0,0,0
67,프랑코 미로 출발점,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,4,32679,32742,482,0,0,0
68,디에고의 폐쇄 된 감옥 출발점,L1TeleportTrap,0,0,0,0,0,n,0,0,0,0,0,32736,32800,483,0,0,0
69,유령의 집 패럴 라이즈,L1SkillTrap,0,0,0,0,0,-,0,0,0,0,0,0,0,0,33,0,0
70,유령의 집 블라인드,L1SkillTrap,0,0,0,0,0,-,0,0,0,0,0,0,0,0,20,5,0
71,유령의 집 슬로우,L1SkillTrap,0,0,0,0,0,-,0,0,0,0,0,0,0,0,29,5,0
72,유령의 집 헤이스트,L1SkillTrap,0,0,0,0,0,-,0,0,0,0,0,0,0,0,43,5,0
73,유령의 집 텔레포트,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,0,32730,32829,5140,0,0,0
74,유령의 집 텔레포트,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,0,32749,32813,5140,0,0,0
