id,item_id,note,item_count,charge_count,enchant_level,class_initial
1,7,象牙塔短劍,1,0,0,P
2,35,象牙塔單手劍,1,0,0,P
3,48,象牙塔雙手劍,1,0,0,P
4,105,象牙塔長矛,1,0,0,P
5,147,象牙塔斧頭,1,0,0,P
6,175,象牙塔長弓,1,0,0,P
7,21211,象牙塔的堅固頭盔,1,0,0,P
8,21212,象牙塔的堅固盔甲,1,0,0,P
9,21213,象牙塔的堅固披風,1,0,0,P
10,21214,象牙塔的堅固手套,1,0,0,P
11,21215,象牙塔的堅固長靴,1,0,0,P
12,21216,象牙塔的堅固盾牌,1,0,0,P
13,50540,象牙塔的箭,1000,0,0,P
14,7,象牙塔短劍,1,0,0,K
15,35,象牙塔單手劍,1,0,0,K
16,48,象牙塔雙手劍,1,0,0,K
17,147,象牙塔斧頭,1,0,0,K
18,105,象牙塔長矛,1,0,0,K
19,174,象牙塔石弓,1,0,0,K
20,175,象牙塔長弓,1,0,0,K
21,21211,象牙塔的堅固頭盔,1,0,0,K
22,21212,象牙塔的堅固盔甲,1,0,0,K
23,21213,象牙塔的堅固披風,1,0,0,K
24,21214,象牙塔的堅固手套,1,0,0,K
25,21215,象牙塔的堅固長靴,1,0,0,K
26,21216,象牙塔的堅固盾牌,1,0,0,K
27,50540,象牙塔的箭,1000,0,0,K
28,7,象牙塔短劍,1,0,0,E
29,35,象牙塔單手劍,1,0,0,E
30,174,象牙塔石弓,1,0,0,E
31,175,象牙塔長弓,1,0,0,E
32,21217,象牙塔的神聖頭盔,1,0,0,E
33,21218,象牙塔的神聖長袍,1,0,0,E
34,21219,象牙塔的神聖披風,1,0,0,E
35,21220,象牙塔的神聖手套,1,0,0,E
36,21221,象牙塔的神聖長靴,1,0,0,E
37,21222,象牙塔的神聖盾牌,1,0,0,E
38,50540,象牙塔的箭,1000,0,0,E
39,7,象牙塔短劍,1,0,0,W
40,120,象牙塔魔杖,1,0,0,W
41,175,象牙塔長弓,1,0,0,W
42,21217,象牙塔的神聖頭盔,1,0,0,W
43,21218,象牙塔的神聖長袍,1,0,0,W
44,21219,象牙塔的神聖披風,1,0,0,W
45,21220,象牙塔的神聖手套,1,0,0,W
46,21221,象牙塔的神聖長靴,1,0,0,W
47,21222,象牙塔的神聖盾牌,1,0,0,W
48,50540,象牙塔的箭,1000,0,0,W
49,7,象牙塔短劍,1,0,0,D
50,35,象牙塔單手劍,1,0,0,D
51,73,象牙塔雙刀,1,0,0,D
52,156,象牙塔鋼爪,1,0,0,D
53,174,象牙塔石弓,1,0,0,D
54,175,象牙塔長弓,1,0,0,D
55,21211,象牙塔的堅固頭盔,1,0,0,D
56,21212,象牙塔的堅固盔甲,1,0,0,D
57,21213,象牙塔的堅固披風,1,0,0,D
58,21214,象牙塔的堅固手套,1,0,0,D
59,21215,象牙塔的堅固長靴,1,0,0,D
60,21216,象牙塔的堅固盾牌,1,0,0,D
61,50540,象牙塔的箭,1000,0,0,D
62,35,象牙塔單手劍,1,0,0,R
63,48,象牙塔雙手劍,1,0,0,R
64,147,象牙塔斧頭,1,0,0,R
65,21211,象牙塔的堅固頭盔,1,0,0,R
66,21212,象牙塔的堅固盔甲,1,0,0,R
67,21213,象牙塔的堅固披風,1,0,0,R
68,21214,象牙塔的堅固手套,1,0,0,R
69,21215,象牙塔的堅固長靴,1,0,0,R
70,21216,象牙塔的堅固盾牌,1,0,0,R
71,120,象牙塔魔杖,1,0,0,I
72,147,象牙塔斧頭,1,0,0,I
73,174,象牙塔石弓,1,0,0,I
74,175,象牙塔長弓,1,0,0,I
75,21217,象牙塔的神聖頭盔,1,0,0,I
76,21218,象牙塔的神聖長袍,1,0,0,I
77,21219,象牙塔的神聖披風,1,0,0,I
78,21220,象牙塔的神聖手套,1,0,0,I
79,21221,象牙塔的神聖長靴,1,0,0,I
80,21222,象牙塔的神聖盾牌,1,0,0,I
81,50540,象牙塔的箭,1000,0,0,I
82,20082,象牙塔T恤,1,0,0,A
83,21155,日本 象牙塔的護身符,1,0,0,A
84,21169,象牙塔耳環,1,0,0,A
85,21223,修練者的項鍊,1,0,0,A
86,21224,修練者的戒指,1,0,0,A
87,21224,修練者的戒指,1,0,0,A
88,21225,修練者的腰帶,1,0,0,A
