npc_id,item_id,note,min,max,chance
45005,40056,肉,1,1,300000
45006,40056,肉,1,1,100000
45008,23,闊劍,1,1,5000
45008,40010,治癒藥水,1,1,50000
45008,40308,金幣,10,30,1000000
45008,40405,皮革,1,1,10000
45008,40899,鋼鐵原石,1,1,1000
45009,1,歐西斯匕首,1,1,5000
45009,21,歐西斯短劍,1,1,50000
45009,20034,歐西斯頭盔,1,1,10000
45009,20135,歐西斯環甲,1,1,5000
45009,40005,蠟燭,1,1,1000
45009,40008,楓木魔杖,1,1,100
45009,40088,變形卷軸,1,1,1000
45009,40308,金幣,10,30,1000000
45009,40405,皮革,1,1,10000
45009,40496,粗糙的米索莉塊,1,1,50000
45009,40899,鋼鐵原石,1,1,1000
45009,200001,歐西斯匕首,1,1,5000
45009,220034,歐西斯頭盔,1,1,5000
45009,220135,歐西斯環甲,1,1,5000
45010,40056,肉,1,1,300000
45010,40405,皮革,1,1,30000
45012,40056,肉,1,1,300000
45016,138,木棒,1,1,1000
45016,20213,短統靴,1,1,1000
45016,40010,治癒藥水,1,1,10000
45016,40056,肉,1,1,100000
45016,40308,金幣,11,32,1000000
45016,40405,皮革,1,1,10000
45017,40005,蠟燭,1,1,500
45017,40029,象牙塔治癒藥水,1,1,50000
45017,40308,金幣,10,30,1000000
45018,40008,楓木魔杖,1,1,1000
45018,40088,變形卷軸,1,1,10000
45018,40308,金幣,10,30,1000000
45018,40405,皮革,1,1,10000
45018,40899,鋼鐵原石,1,1,10000
45019,171,歐西斯弓,1,1,10000
45019,20034,歐西斯頭盔,1,1,10000
45019,20135,歐西斯環甲,1,1,5000
45019,20136,歐西斯鏈甲,1,1,5000
45019,40005,蠟燭,1,1,1000
45019,40010,治癒藥水,1,1,10000
45019,40017,翡翠藥水,1,1,10000
45019,40056,肉,1,1,300000
45019,40088,變形卷軸,1,1,10000
45019,40265,黑暗精靈水晶(暗隱術),1,1,10000
45019,40308,金幣,11,32,1000000
45019,40743,箭,10,30,100000
45019,40744,銀箭,10,30,100000
45019,200171,歐西斯弓,1,1,10000
45019,220135,歐西斯環甲,1,1,5000
45019,220136,歐西斯鏈甲,1,1,1000
45019,240010,治癒藥水,1,1,10000
45020,40029,象牙塔治癒藥水,1,1,400000
45020,40082,指定傳送卷軸(歌唱之島),1,1,580000
45020,40308,金幣,5,10,650000
45020,41222,蘑菇汁,1,1,250000
45020,49232,初級秘籍書,1,1,25000
45021,40056,肉,1,1,300000
45023,40056,肉,1,1,300000
45023,40405,皮革,1,1,30000
45023,41276,山豬肉,1,1,0
45024,31,長劍,1,1,500
45024,20147,銀釘皮甲,1,1,10000
45024,20205,長靴,1,1,1000
45024,20213,短統靴,1,1,10000
45024,20239,小盾牌,1,1,100000
45024,40025,黑色藥水,1,1,50000
45024,40056,肉,1,1,300000
45024,40171,魔法書(通暢氣脈術),1,1,50000
45024,40173,魔法書(吸血鬼之吻),1,1,50000
45024,40265,黑暗精靈水晶(暗隱術),1,1,1000
45024,40267,黑暗精靈水晶(影之防護),1,1,1000
45024,40274,黑暗精靈水晶(敏捷提升),1,1,1000
45024,40307,沙哈之石,1,1,10000
45024,40308,金幣,22,50,1000000
45024,220122,鱗甲,1,1,5000
45024,220125,鏈甲,1,1,5000
45024,220147,銀釘皮甲,1,1,5000
45024,220213,短統靴,1,1,5000
45025,40044,鑽石,1,1,10000
45025,40045,紅寶石,1,1,10000
45025,40046,藍寶石,1,1,10000
45025,40047,綠寶石,1,1,10000
45026,49232,初級秘籍書,1,1,25000
45027,40308,金幣,12,33,1000000
45027,40405,皮革,1,1,10000
45027,40406,高級皮革,1,1,5000
45029,40499,蘑菇汁,1,1,0
45032,40442,布拉伯的胃液,1,1,100000
45033,40308,金幣,13,36,1000000
45033,40405,皮革,1,1,10000
45034,40056,肉,1,1,300000
45034,40308,金幣,13,36,1000000
45034,40405,皮革,1,1,30000
45035,49232,初級秘籍書,1,1,25000
45036,49232,初級秘籍書,1,1,25000
45037,49232,初級秘籍書,1,1,25000
45038,49046,蜘蛛腿肉,1,1,0
45038,49232,初級秘籍書,1,1,25000
45039,40056,肉,1,1,50000
45039,40405,皮革,1,1,10000
45040,20014,治癒魔法頭盔,1,1,1000
45040,40013,自我加速藥水,1,1,50000
45040,40014,勇敢藥水,1,1,50000
45040,40308,金幣,13,36,1000000
45040,41275,熊肉,1,1,0
45040,140100,瞬間移動卷軸,1,1,50000
45041,26,小侏儒短劍,1,1,1000
45041,20007,侏儒鐵盔,1,1,50000
45041,20052,侏儒斗篷,1,1,10000
45041,20223,侏儒圓盾,1,1,5000
45041,40025,黑色藥水,1,1,10000
45041,40088,變形卷軸,1,1,10000
45041,40304,馬普勒之石,1,1,10000
45041,40308,金幣,13,36,1000000
45041,40408,金屬塊,1,1,100000
45041,40494,純粹的米索莉塊,1,1,100000
45041,40496,粗糙的米索莉塊,1,1,50000
45041,40899,鋼鐵原石,1,1,10000
45041,240010,治癒藥水,1,1,10000
45042,40056,肉,1,1,300000
45042,40405,皮革,1,1,30000
45043,40056,肉,1,1,300000
45043,40405,皮革,1,1,30000
45044,40056,肉,1,1,100000
45044,40405,皮革,1,1,10000
45045,49232,初級秘籍書,1,1,25000
45046,40056,肉,1,1,100000
45046,40405,皮革,1,1,10000
45047,40056,肉,1,1,50000
45047,40405,皮革,1,1,10000
45048,40056,肉,1,1,300000
45048,40405,皮革,1,1,30000
45049,40056,肉,1,1,50000
45049,40405,皮革,1,1,10000
45050,20180,黑暗手套,1,1,10000
45050,40056,肉,1,1,100000
45050,40088,變形卷軸,1,1,10000
45050,40265,黑暗精靈水晶(暗隱術),1,1,10000
45050,40308,金幣,11,32,1000000
45050,40738,銀飛刀,1,1,10000
45050,40743,箭,10,30,100000
45050,40744,銀箭,10,30,100000
45051,40029,象牙塔治癒藥水,1,1,50000
45051,40056,肉,1,1,50000
45051,40082,指定傳送卷軸(歌唱之島),1,1,50000
45051,40308,金幣,13,36,1000000
45052,49232,初級秘籍書,1,1,25000
45053,40056,肉,1,1,50000
45053,40405,皮革,1,1,10000
45054,40056,肉,1,1,50000
45054,40405,皮革,1,1,10000
45056,49232,初級秘籍書,1,1,25000
45057,49232,初級秘籍書,1,1,25000
45058,40056,肉,1,1,50000
45059,49232,初級秘籍書,1,1,25000
45061,49232,初級秘籍書,1,1,25000
45062,49232,初級秘籍書,1,1,25000
45063,49232,初級秘籍書,1,1,25000
45064,40045,紅寶石,1,1,50000
45064,40307,沙哈之石,1,1,10000
45064,40308,金幣,15,38,1000000
45064,40405,皮革,1,1,10000
45064,40406,高級皮革,1,1,10000
45065,40089,復活卷軸,1,1,50000
45065,40173,魔法書(吸血鬼之吻),1,1,10000
45065,40185,魔法書(黑闇之影),1,1,10000
45065,40186,魔法書(造屍術),1,1,10000
45065,40265,黑暗精靈水晶(暗隱術),1,1,10000
45065,40266,黑暗精靈水晶(附加劇毒),1,1,10000
45065,40269,黑暗精靈水晶(力量提升),1,1,10000
45065,40274,黑暗精靈水晶(敏捷提升),1,1,10000
45065,40308,金幣,10,120,1000000
45065,40496,粗糙的米索莉塊,1,1,100000
45065,40739,飛刀,1,1,10000
45065,140100,瞬間移動卷軸,1,1,50000
45066,20070,黑暗斗蓬,1,1,1000
45066,40173,魔法書(吸血鬼之吻),1,1,10000
45066,40185,魔法書(黑闇之影),1,1,10000
45066,40186,魔法書(造屍術),1,1,10000
45066,40265,黑暗精靈水晶(暗隱術),1,1,10000
45066,40266,黑暗精靈水晶(附加劇毒),1,1,10000
45066,40269,黑暗精靈水晶(力量提升),1,1,10000
45066,40274,黑暗精靈水晶(敏捷提升),1,1,10000
45066,40308,金幣,15,38,1000000
45066,140100,瞬間移動卷軸,1,1,100000
45068,40015,藍色藥水,1,1,10000
45068,40057,漂浮之眼肉,1,1,300000
45068,40178,魔法書(木乃伊的詛咒),1,1,10000
45068,40307,沙哈之石,1,1,10000
45068,40899,鋼鐵原石,1,1,10000
45069,49232,初級秘籍書,1,1,25000
45070,49046,蜘蛛腿肉,1,1,0
45070,49232,初級秘籍書,1,1,25000
45071,49232,初級秘籍書,1,1,25000
45072,49232,初級秘籍書,1,1,25000
45073,49232,初級秘籍書,1,1,25000
45074,49232,初級秘籍書,1,1,25000
45075,49232,初級秘籍書,1,1,25000
45076,49232,初級秘籍書,1,1,25000
45077,40056,肉,1,1,300000
45078,49232,初級秘籍書,1,1,25000
45079,40002,燈籠,1,1,1000
45079,40044,鑽石,1,1,10000
