item_id,note,drop_rate,drop_amount,unique_rate
1,歐西斯匕首,1,1,1
200001,歐西斯匕首,1,1,1
21,歐西斯短劍,1,1,1
91,歐西斯之矛,1,1,1
171,歐西斯弓,1,1,1
200171,歐西斯弓,1,1,1
23,闊劍,1,1,1
25,銀劍,1,1,1
100025,銀劍,1,1,1
26,小侏儒短劍,1,1,1
27,彎刀,1,1,1
100027,彎刀,1,1,1
200027,彎刀,1,1,1
31,長劍,1,1,1
93,三叉戟,1,1,1
94,帕提森,1,1,1
96,矛,1,1,1
98,闊矛,1,1,1
100098,闊矛,1,1,1
102,露西錘,1,1,1
100102,露西錘,1,1,1
103,戟,1,1,1
100103,戟,1,1,1
136,斧,1,1,1
137,亞連,1,1,1
138,木棒,1,1,1
139,弗萊爾,1,1,1
140,釘錘,1,1,1
143,戰斧,1,1,1
100143,戰斧,1,1,1
144,侏儒鐵斧,1,1,1
172,弓,1,1,1
100172,弓,1,1,1
173,短弓,1,1,1
20034,歐西斯頭盔,1,1,1
220034,歐西斯頭盔,1,1,1
20072,歐西斯斗篷,1,1,1
20135,歐西斯環甲,1,1,1
220135,歐西斯環甲,1,1,1
20136,歐西斯鏈甲,1,1,1
220136,歐西斯鏈甲,1,1,1
20237,阿克海盾牌,1,1,1
220237,阿克海盾牌,1,1,1
20007,侏儒鐵盔,1,1,1
20052,侏儒斗篷,1,1,1
20223,侏儒圓盾,1,1,1
20043,鋼盔,1,1,1
120043,鋼盔,1,1,1
220043,鋼盔,1,1,1
20089,小藤甲,1,1,1
20096,環甲,1,1,1
20147,銀釘皮甲,1,1,1
220147,銀釘皮甲,1,1,1
20122,鱗甲,1,1,1
220122,鱗甲,1,1,1
20125,鏈甲,1,1,1
220125,鏈甲,1,1,1
20149,青銅盔甲,1,1,1
120149,青銅盔甲,1,1,1
20115,藤甲,1,1,1
220115,藤甲,1,1,1
20101,皮甲,1,1,1
120101,皮甲,1,1,1
220101,皮甲,1,1,1
20239,小盾牌,1,1,1
20242,大盾牌,1,1,1
120242,大盾牌,1,1,1
20213,短統靴,1,1,1
220213,短統靴,1,1,1
20205,長靴,1,1,1
20182,手套,1,1,1
120182,手套,1,1,1
20162,皮手套,1,1,1
40001,燈,1,1,1
40002,燈籠,1,1,1
40005,蠟燭,1,1,1
