id,name,unidentified_name_id,identified_name_id,item_type,use_type,material,weight,inv_gfx_id,grd_gfx_id,item_desc_id,stackable,max_change_count,dmg_small,dmg_large,min_level,max_level,loc_x,loc_y,map_id,bless,tradable,deletable,sealable,delay_id,delay_time,delay_effect,food_volume,save_at_once,charge_time,expiration_time
40001,燈,$2,$2,light,normal,copper,20000,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,6000,\N
40002,燈籠,$326,$326,light,normal,copper,30000,140,181,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,12000,\N
40003,燈油,$327,$327,other,normal,glass,0,142,239,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,12000,\N
40004,魔法燈籠,$3426,$3426,light,normal,copper,5000,948,181,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40005,蠟燭,$67,$67,light,normal,web,2000,24,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,600,\N
40006,松木魔杖,$28,$258,wand,spawn,wood,350,117,28,19,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40007,烏木魔杖,$263,$262,spellwand,spell_long,wood,350,118,28,21,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,0,0,\N
40008,楓木魔杖,$27,$260,wand,spell_long,wood,350,116,28,20,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40009,驅逐魔杖,$975,$975,wand,spell_long,wood,350,118,28,301,1,0,0,0,0,0,0,0,0,0,1,1,1,6,1000,0,0,1,0,\N
40010,治癒藥水,$26,$26,potion,healing,glass,2900,80,45,1342,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40011,強力治癒藥水,$235,$235,potion,healing,glass,4900,78,43,15,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40012,終極治癒藥水,$238,$238,potion,healing,glass,5850,81,46,130,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40013,自我加速藥水,$234,$264,potion,haste,glass,3900,77,42,17,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40014,勇敢藥水,$943,$943,potion,brave,glass,4500,79,44,296,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40015,藍色藥水,$232,$507,potion,magic_regeneration,glass,7800,75,20,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40016,慎重藥水,$944,$944,potion,wisdom,glass,4500,1529,3836,297,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
