npc_id,note,act_no,type,tri_rnd,tri_hp,tri_companion_hp,tri_range,tri_count,change_target,range,area_width,area_height,leverage,skill_id,gfx_id,act_id,summon_id,summon_min,summon_max,poly_id,chat_id
45039,キャット(チルタッチ),0,2,100,0,0,-3,0,0,0,0,0,0,10,-1,30,0,0,0,0,0
45044,ラクーン(スロー),0,2,100,0,0,-6,0,0,0,0,0,20,29,-1,18,0,0,0,0,0
45046,ビーグル(スタラック),0,2,100,0,0,-6,0,0,0,0,0,0,16,-1,30,0,0,0,0,0
45047,セントバーナード(ウィンドカッター),0,2,100,0,0,-6,0,0,0,0,0,0,7,-1,30,0,0,0,0,0
45048,フォックス(ファイアーアロー),0,2,100,0,0,-6,0,0,0,0,0,0,15,-1,30,0,0,0,0,0
45049,ブレイブラビット(コーンオブコールド),0,2,100,0,0,-6,0,0,0,0,0,5,38,-1,0,0,0,0,0,0
45167,ジャックオーランタン(強力攻撃),0,1,100,0,0,-1,0,0,1,0,0,45,0,-1,30,0,0,0,0,0
45224,エルモアゾンビウィザード(コーンオブコールド),0,2,100,0,0,-6,0,0,0,0,0,0,38,-1,0,0,0,0,0,0
45228,シーシンガー(アイスイラプション),0,2,20,0,0,-6,0,0,0,0,0,20,10035,-1,0,0,0,0,0,0
45241,ケルベロス(炎),0,2,100,0,0,-2,2,0,2,0,0,0,10142,-1,0,0,0,0,0,0
45256,ダーク エルフ メイジ(コーンオブコールド),0,2,80,0,0,-8,0,0,0,0,0,15,38,-1,0,0,0,0,0,0
45256,ダーク エルフ メイジ(トルネード),1,2,80,0,0,-4,0,0,0,0,0,15,53,-1,3,0,0,0,0,0
45263,ボムフラワー(種による10セル遠距離攻撃),0,2,100,0,0,-10,0,0,10,0,0,0,10034,-1,0,0,0,0,0,0
45273,ディープフラワー(6セル遠距離攻撃),0,2,100,0,0,-6,0,0,6,0,0,0,10094,-1,0,0,0,0,0,0
45275,ブラックエント(範囲魔法),0,2,50,0,0,-2,0,0,0,0,0,10,10095,-1,3,0,0,0,0,0
45278,オーガ(範囲),0,1,30,0,0,-2,0,0,2,1,2,20,0,-1,30,0,0,0,0,0
45283,ギランケルベロス(炎),0,2,100,0,0,-2,2,0,2,0,0,0,10142,-1,0,0,0,0,0,0
45284,バーニングウォーリア(突き),0,1,100,0,0,2,0,0,2,0,0,15,0,-1,30,0,0,0,0,0
45291,バーニングアーチャー(近接攻撃),0,1,100,0,0,-1,0,0,1,0,0,15,0,-1,30,0,0,0,0,0
45297,アビスクラブマン(act-30),0,1,50,0,0,-2,0,0,2,0,0,0,0,-1,30,0,0,0,0,0
45309,ブラックタイガー(物理攻撃),0,1,50,0,0,-2,0,0,2,0,0,0,0,-1,30,0,0,0,0,0
45315,バルログの分身(アースクエイク),0,2,50,0,0,-6,0,0,0,0,0,25,10056,-1,0,0,0,0,0,0
45316,トライソウル(Recall),0,2,30,0,0,5,0,0,0,0,0,0,10057,-1,0,0,0,0,0,0
45316,トライソウル(キャンセレーション),1,2,5,0,0,-6,0,3,0,0,0,0,44,-1,0,0,0,0,0,0
45316,トライソウル(広範囲魔法),2,2,30,0,0,-10,0,0,0,0,0,3,10010,-1,0,0,0,0,0,0
45316,トライソウル(召還:ジャイアント),3,3,5,25,0,-3,0,0,0,0,0,0,0,-1,0,45351,3,3,0,0
45316,トライソウル(物理攻撃),4,1,100,0,0,-2,0,3,2,1,2,30,0,-1,0,0,0,0,0,0
45323,ビーストサマナー(物理攻撃),0,1,50,0,0,-2,0,0,2,0,0,2,0,-1,30,0,0,0,0,0
45326,ダークフォレスター(6セル遠距離攻撃),0,2,100,0,0,-6,5,0,6,0,0,0,10093,-1,0,0,0,0,0,0
45341,ホーンケルベロス(炎),0,2,100,0,0,-2,8,0,2,0,0,0,10143,-1,0,0,0,0,0,0
45341,ホーンケルベロス(頭突き),1,1,100,0,0,-1,0,0,1,0,0,0,0,-1,30,0,0,0,0,0
45347,ダークフォレスター(6セル遠距離攻撃),0,2,100,0,0,-6,5,0,6,0,0,0,10093,-1,0,0,0,0,0,0
45357,ブラックタイガー(物理攻撃),0,1,50,0,0,-2,0,0,2,0,0,0,0,-1,30,0,0,0,0,0
45363,ダーク エレメンタリスト(3セル範囲魔法),0,2,100,0,0,-3,4,0,3,0,0,0,10091,-1,0,0,0,0,0,0
45363,ダーク エレメンタリスト(召還:ダークエレメンタル),1,3,5,0,0,-3,1,0,3,0,0,0,0,-1,0,45244,1,2,0,0
45368,ビーストサマナー(物理攻撃),0,1,50,0,0,-2,0,0,2,0,0,2,0,-1,30,0,0,0,0,0
45373,ブルート(ヘイスト),0,2,20,0,0,-10,1,2,0,0,0,0,43,-1,7,0,0,0,0,0
45374,アビスリザードマン(遠距離攻撃),0,2,100,0,0,-6,0,0,6,0,0,0,10133,-1,0,0,0,0,0,0
45382,アビススコーピオンミスティック(act-30),0,1,50,0,0,-2,0,0,2,0,0,0,0,-1,30,0,0,0,0,0
45383,アビススコーピオンファイタン(act-30),0,1,50,0,0,-2,0,0,2,0,0,0,0,-1,30,0,0,0,0,0
45391,バルログのサキュバス(単体魔法),0,2,100,0,0,-6,5,0,0,0,0,0,10030,-1,0,0,0,0,0,0
45391,バルログのサキュバス(バンパイアリックタッチ),1,2,20,0,0,-3,0,0,0,0,0,0,28,-1,0,0,0,0,0,0
45393,サキュバス(単体魔法),0,2,100,0,0,-6,5,0,0,0,0,6,10030,-1,0,0,0,0,0,0
45393,サキュバス(バンパイアリックタッチ),1,2,20,0,0,-3,0,0,0,0,0,0,28,-1,0,0,0,0,0,0
45394,サキュバス(単体魔法),0,2,100,0,0,-6,5,0,0,0,0,6,10030,-1,0,0,0,0,0,0
45394,サキュバス(バンパイアリックタッチ),1,2,20,0,0,-3,0,0,0,0,0,0,28,-1,0,0,0,0,0,0
45400,サキュバス(単体魔法),0,2,100,0,0,-6,5,0,0,0,0,6,10030,-1,0,0,0,0,0,0
45400,サキュバス(バンパイアリックタッチ),1,2,20,0,0,-3,0,0,0,0,0,0,28,-1,0,0,0,0,0,0
45405,ブラックウィザード(範囲魔法),0,2,40,0,0,-6,0,0,0,0,0,30,10044,-1,0,0,0,0,0,0
45408,ホーンケルベロス(炎),0,2,100,0,0,-2,8,0,2,0,0,0,10144,-1,0,0,0,0,0,0
45408,ホーンケルベロス(頭突き),1,1,100,0,0,-1,0,0,1,0,0,0,0,-1,30,0,0,0,0,0
45413,ディエゴ(ハンマー),0,1,50,0,0,-8,0,0,2,0,0,30,0,1812,0,0,0,0,0,0
45416,大地の牙(Freeze),0,2,10,0,0,-2,0,0,0,0,0,0,10071,-1,0,0,0,0,0,0
45416,大地の牙(ウィークネス),1,2,10,0,0,-2,0,0,0,0,0,0,47,-1,0,0,0,0,0,0
45416,大地の牙(スタラック),2,2,100,0,0,-8,0,0,0,0,0,0,16,-1,0,0,0,0,0,0
45418,風の牙(ウィークネス),0,2,10,0,0,-2,0,0,0,0,0,0,47,-1,0,0,0,0,0,0
45418,風の牙(スロー),1,2,10,0,0,-2,0,0,0,0,0,0,29,-1,0,0,0,0,0,0
45418,風の牙(ウィンドカッター),2,2,100,0,0,-8,0,0,0,0,0,0,7,-1,0,0,0,0,0,0
45419,氷河の牙(ウィークネス),0,2,10,0,0,-2,0,0,0,0,0,0,47,-1,0,0,0,0,0,0
45419,氷河の牙(コーンオブコールド),1,2,100,0,0,-8,0,0,0,0,0,5,38,-1,0,0,0,0,0,0
45422,アビス タートルドラゴン(フローズン クラウド),0,2,30,0,0,-6,0,0,0,0,0,40,22,-1,0,0,0,0,0,0
