item_id,note,hit_modifier,dmg_modifier,ac,str,con,dex,int,wis,hp,mp,sp,mr,use_type
40749,獵犬之牙,5,0,0,0,0,0,0,0,0,0,0,0,1
40750,破滅之牙,-3,2,0,0,0,0,0,0,0,0,0,0,1
40751,鬥犬之牙,3,0,0,0,0,0,0,0,0,0,0,0,1
40752,黃金之牙,1,1,0,0,0,0,0,0,0,0,1,0,1
40756,神之牙,3,0,0,0,0,0,0,0,0,0,2,0,1
40757,鋼鐵之牙,0,1,0,0,0,0,0,0,0,0,0,0,1
40758,勝利之牙,2,1,0,0,0,0,0,0,0,0,0,0,1
40761,寵物皮盔甲,0,0,-4,0,0,0,0,0,0,0,0,0,0
40762,寵物骷髏盔甲,0,0,-7,0,0,0,0,0,0,0,0,0,0
40763,寵物鋼鐵盔甲,0,0,-8,0,0,0,0,0,0,0,0,0,0
40764,寵物米索莉盔甲,0,0,-12,0,0,0,1,1,0,0,0,10,0
40765,寵物十字盔甲,0,0,-13,0,0,0,0,0,0,0,0,0,0
40766,寵物鏈甲,0,0,-20,0,0,0,0,0,0,0,0,0,0
