item_id,note,crystal_count
1,歐西斯匕首,2
200001,歐西斯匕首,2
2,骰子匕首,2
200002,骰子匕首,2
6,拉斯塔巴德短劍,100
8,米索莉短劍,10000
100008,米索莉短劍,10000
11,水晶短劍,3500
100011,水晶短劍,3500
21,歐西斯短劍,2
23,闊劍,3
25,銀劍,180
100025,銀劍,180
26,小侏儒短劍,25
100026,小侏儒短劍,25
27,彎刀,100
100027,彎刀,100
200027,彎刀,100
29,銀長劍,1300
100029,銀長劍,1300
32,侵略者之劍,250
200032,侵略者之劍,250
31,長劍,300
37,大馬士革刀,500
100037,大馬士革刀,500
38,拉斯塔巴德長劍,1100
39,短刀,2800
41,武士刀,2000
100041,武士刀,2000
200041,武士刀,2000
43,海賊彎刀,3000
49,武官之刃,1500
100049,武官之刃,1500
256,萬聖節南瓜長劍,100
40,血色巨劍,1500
52,雙手劍,1800
100052,雙手劍,1800
200052,雙手劍,1800
57,瑟魯基之劍,3500
100057,瑟魯基之劍,3500
64,巨劍,8000
100064,巨劍,8000
69,青銅 雙刀,80
70,尖刺雙刀,350
71,鋼鐵 雙刀,150
72,暗影 雙刀,300
77,短 雙刀,800
80,大馬士革 雙刀,3000
82,拉斯塔巴德雙刀,1000
93,三叉戟,2
91,歐西斯之矛,5
95,槍,6
98,闊矛,36
100098,闊矛,36
100095,槍,6
96,矛,8
94,帕提森,50
101,拉斯塔巴德矛,100
103,戟,200
100103,戟,200
104,法丘,800
102,露西錘,900
100102,露西錘,900
106,貝卡合金,1600
107,深紅長矛,20000
100107,深紅長矛,20000
108,失去魔力的惡魔鐮刀,3
109,失去魔力的巴風特魔杖,3
110,失去魔力的巴列斯魔杖,3
111,失去魔力的冰之女王魔杖,3
116,黑法師之杖,150
125,巫術魔法杖,1300
129,美基魔法杖,250
130,紅水晶魔杖,10000
137,亞連,1
136,斧,2
138,木棒,3
139,弗萊爾,4
140,釘錘,9
141,戰錘,100
143,戰斧,70
100143,戰斧,70
144,侏儒鐵斧,300
100144,侏儒鐵斧,300
145,狂戰士斧,100
146,流星錘,350
100146,流星錘,350
142,銀斧,800
148,巨斧,1200
149,牛人斧頭,1200
151,惡魔斧頭,20000
100151,惡魔斧頭,20000
152,青銅 鋼爪,100
153,鋼鐵 鋼爪,200
154,暗影 鋼爪,800
158,黑暗 鋼爪,300
159,短 鋼爪,1200
161,大馬士革 鋼爪,4000
122,拉斯塔巴德魔杖,1000
128,橡木魔法杖,30
126,瑪那魔杖,900
127,鋼鐵瑪那魔杖,900
132,神官魔杖,10000
100132,神官魔杖,10000
168,黑暗 十字弓,300
169,獵人之弓,500
100169,獵人之弓,500
171,歐西斯弓,3
200171,歐西斯弓,3
172,弓,5
100172,弓,5
173,短弓,2
176,拉斯塔巴德弓,500
187,拉斯塔巴德十字弓,1000
193,鐵手甲,1000
20162,皮手套,800
20168,武官手套,26
20175,水晶手套,800
20180,黑暗手套,1000
20182,手套,800
120182,手套,800
20188,藍海賊手套,800
20177,地靈手套,10000
20189,風靈手套,10000
20181,火靈手套,10000
20172,水靈手套,10000
20006,騎士面甲,500
20007,侏儒鐵盔,60
120007,侏儒鐵盔,60
20008,小型風之頭盔,2200
20011,抗魔法頭盔,250
120011,抗魔法頭盔,250
20013,敏捷魔法頭盔,2000
20014,治癒魔法頭盔,1500
20015,力量魔法頭盔,1800
20036,夜視頭盔,1200
20020,武官頭盔,350
20032,黑暗頭飾,1000
20034,歐西斯頭盔,15
220034,歐西斯頭盔,15
20043,鋼盔,20
120043,鋼盔,20
220043,鋼盔,20
20383,軍馬頭盔,100000
20089,小藤甲,10
20099,惡魔盔甲,4200
20102,拉斯塔巴德皮盔甲,150
20103,拉斯塔巴德長袍,1500
20104,拉斯塔巴德銀釘皮盔甲,200
20105,拉斯塔巴德鏈甲,500
20110,抗魔法鏈甲,800
20125,鏈甲,600
220125,鏈甲,600
20135,歐西斯環甲,20
220135,歐西斯環甲,20
20147,銀釘皮甲,30
220147,銀釘皮甲,30
20096,環甲,50
20136,歐西斯鏈甲,80
220136,歐西斯鏈甲,80
20114,綿質長袍,100
20139,精靈護胸金屬板,100
20122,鱗甲,200
220122,鱗甲,200
20124,骷髏盔甲,200
20149,青銅盔甲,1600
120149,青銅盔甲,1600
20115,藤甲,2000
220115,藤甲,2000
20101,皮甲,2500
120101,皮甲,2500
220101,皮甲,2500
20128,水晶盔甲,8000
120128,水晶盔甲,8000
