id,npc_id,note,group_id,count,loc_x,loc_y,random_x,random_y,loc_x1,loc_y1,loc_x2,loc_y2,heading,min_respawn_delay,max_respawn_delay,map_id,respawn_screen,movement_distance,rest,near_spawn
1,45005,青蛙,0,1,33067,33392,0,0,0,0,0,0,7,60,120,4,0,100,0,0
3,45005,青蛙,0,1,33599,33255,0,0,0,0,0,0,7,60,120,4,0,100,0,0
5,45005,青蛙,0,1,33599,33161,0,0,0,0,0,0,3,60,120,4,0,100,0,0
7,45005,青蛙,0,1,33669,33182,0,0,0,0,0,0,5,60,120,4,0,100,0,0
9,45005,青蛙,0,1,32730,32455,0,0,0,0,0,0,3,60,120,4,0,100,0,0
11,45005,青蛙,0,1,32754,32440,0,0,0,0,0,0,3,60,120,4,0,100,0,0
15,45005,青蛙,0,1,32633,33209,0,0,0,0,0,0,7,60,120,4,0,100,0,0
17,45005,青蛙,0,1,32634,33179,0,0,0,0,0,0,1,60,120,4,0,100,0,0
19,45005,青蛙,0,1,32604,33177,0,0,0,0,0,0,1,60,120,4,0,100,0,0
21,45005,青蛙,0,1,32628,33207,0,0,0,0,0,0,1,60,120,4,0,100,0,0
23,45005,青蛙,0,1,32568,32237,0,0,0,0,0,0,7,60,120,4,0,100,0,0
25,45005,青蛙,0,1,32595,32299,0,0,0,0,0,0,4,60,120,4,0,100,0,0
27,45005,青蛙,0,1,32569,32458,0,0,0,0,0,0,5,60,120,4,0,100,0,0
29,45005,青蛙,0,1,32592,32489,0,0,0,0,0,0,0,60,120,4,0,100,0,0
31,45005,青蛙,0,1,32705,32437,0,0,0,0,0,0,1,60,120,4,0,100,0,0
33,45005,青蛙,0,1,32721,32514,0,0,0,0,0,0,5,60,120,4,0,100,0,0
35,45005,青蛙,0,1,32706,32461,0,0,0,0,0,0,1,60,120,4,0,100,0,0
37,45005,青蛙,0,1,32563,32362,0,0,0,0,0,0,7,60,120,4,0,100,0,0
39,45005,青蛙,0,1,32556,32329,0,0,0,0,0,0,1,60,120,4,0,100,0,0
41,45005,青蛙,0,1,32565,32297,0,0,0,0,0,0,1,60,120,4,0,100,0,0
43,45005,青蛙,0,1,32547,32272,0,0,0,0,0,0,5,60,120,4,0,100,0,0
45,45005,青蛙,0,1,32567,32253,0,0,0,0,0,0,7,60,120,4,0,100,0,0
47,45005,青蛙,0,1,32550,32215,0,0,0,0,0,0,7,60,120,4,0,100,0,0
53,45005,青蛙,0,1,32938,32620,0,0,0,0,0,0,5,60,120,68,0,0,0,0
55,45005,青蛙,0,1,32786,32763,0,0,0,0,0,0,7,60,120,68,0,0,0,0
57,45005,青蛙,0,1,32757,32777,0,0,0,0,0,0,3,60,120,68,0,0,0,0
59,45005,青蛙,0,1,32778,32785,0,0,0,0,0,0,0,60,120,68,0,0,0,0
61,45005,青蛙,0,1,32765,32725,0,0,0,0,0,0,0,60,120,68,0,0,0,0
63,45005,青蛙,0,1,32672,32742,0,0,0,0,0,0,2,60,120,68,0,0,0,0
65,45005,青蛙,0,1,32703,32770,0,0,0,0,0,0,6,60,120,68,0,0,0,0
67,45005,青蛙,0,1,32694,32788,0,0,0,0,0,0,3,60,120,68,0,0,0,0
69,45005,青蛙,0,1,32687,32865,0,0,0,0,0,0,2,60,120,68,0,0,0,0
71,45005,青蛙,0,1,32705,32865,0,0,0,0,0,0,0,60,120,68,0,0,0,0
73,45005,青蛙,0,1,32810,32857,0,0,0,0,0,0,7,60,120,68,0,0,0,0
75,45005,青蛙,0,1,32825,32838,0,0,0,0,0,0,2,60,120,68,0,0,0,0
77,45005,青蛙,0,1,32849,32846,0,0,0,0,0,0,2,60,120,68,0,0,0,0
79,45005,青蛙,0,1,32864,32846,0,0,0,0,0,0,2,60,120,68,0,0,0,0
81,45005,青蛙,0,1,32894,32843,0,0,0,0,0,0,1,60,120,68,0,0,0,0
83,45005,青蛙,0,1,33076,32770,0,0,0,0,0,0,1,60,120,4,0,100,0,0
85,45005,青蛙,0,1,33951,32258,0,0,0,0,0,0,7,60,120,4,0,100,0,0
87,45005,青蛙,0,1,33957,32241,0,0,0,0,0,0,3,60,120,4,0,100,0,0
89,45005,青蛙,0,1,33976,32260,0,0,0,0,0,0,6,60,120,4,0,100,0,0
91,45005,青蛙,0,1,33955,32302,0,0,0,0,0,0,3,60,120,4,0,100,0,0
93,45005,青蛙,0,1,33961,32343,0,0,0,0,0,0,4,60,120,4,0,100,0,0
95,45008,哥布林,5,1,33013,33461,6,6,0,0,0,0,0,60,120,4,0,100,0,0
97,45008,哥布林,0,1,33000,33464,6,6,0,0,0,0,0,60,120,4,0,100,0,0
99,45008,哥布林,0,1,33022,33426,6,6,0,0,0,0,0,60,120,4,0,100,0,0
101,45008,哥布林,0,1,33011,33413,6,6,0,0,0,0,0,60,120,4,0,100,0,0
103,45008,哥布林,0,1,33067,33359,10,10,0,0,0,0,0,60,120,4,0,100,0,0
105,45008,哥布林,0,1,33081,33329,10,10,0,0,0,0,0,60,120,4,0,100,0,0
107,45008,哥布林,0,1,33063,33323,10,10,0,0,0,0,0,60,120,4,0,100,0,0
109,45008,哥布林,0,1,33117,32626,10,10,0,0,0,0,0,60,120,4,0,100,0,0
111,45008,哥布林,0,1,33076,32580,10,10,0,0,0,0,0,60,120,4,0,100,0,0
113,45008,哥布林,0,1,33145,32616,10,10,0,0,0,0,0,60,120,4,0,100,0,0
115,45008,哥布林,0,1,33215,32683,10,10,0,0,0,0,0,60,120,4,0,100,0,0
117,45008,哥布林,0,1,33181,32698,10,10,0,0,0,0,0,60,120,4,0,100,0,0
119,45008,哥布林,0,1,33179,32629,10,10,0,0,0,0,0,60,120,4,0,100,0,0
121,45008,哥布林,0,1,33192,32601,10,10,0,0,0,0,0,60,120,4,0,100,0,0
123,45008,哥布林,5,1,33250,32630,10,10,0,0,0,0,0,60,120,4,0,100,0,0
175,45008,哥布林,0,1,33040,33422,10,10,0,0,0,0,0,60,120,4,0,100,0,0
177,45008,哥布林,0,1,33016,33402,10,10,0,0,0,0,0,60,120,4,0,100,0,0
179,45008,哥布林,0,1,33018,33382,10,10,0,0,0,0,0,60,120,4,0,100,0,0
181,45008,哥布林,0,1,32997,33427,10,10,0,0,0,0,0,60,120,4,0,100,0,0
183,45008,哥布林,0,1,32979,33462,10,10,0,0,0,0,0,60,120,4,0,100,0,0
185,45008,哥布林,0,1,32975,33424,10,10,0,0,0,0,0,60,120,4,0,100,0,0
187,45008,哥布林,0,1,32948,33399,10,10,0,0,0,0,0,60,120,4,0,100,0,0
189,45008,哥布林,5,1,32971,33387,10,10,0,0,0,0,0,60,120,4,0,100,0,0
191,45008,哥布林,0,1,32983,33383,10,10,0,0,0,0,0,60,120,4,0,100,0,0
193,45008,哥布林,0,1,32994,33353,10,10,0,0,0,0,0,60,120,4,0,100,0,0
195,45008,哥布林,0,1,32970,33352,10,10,0,0,0,0,0,60,120,4,0,100,0,0
197,45008,哥布林,0,1,33069,33476,10,10,0,0,0,0,0,60,120,4,0,100,0,0
199,45008,哥布林,0,1,33045,33477,10,10,0,0,0,0,0,60,120,4,0,100,0,0
201,45008,哥布林,0,1,33168,33489,10,10,0,0,0,0,0,60,120,4,0,100,0,0
203,45008,哥布林,0,1,33265,33444,10,10,0,0,0,0,0,60,120,4,0,100,0,0
205,45008,哥布林,5,1,33184,33460,10,10,0,0,0,0,0,60,120,4,0,100,0,0
207,45008,哥布林,0,1,33108,33457,10,10,0,0,0,0,0,60,120,4,0,100,0,0
209,45008,哥布林,0,1,33156,33442,10,10,0,0,0,0,0,60,120,4,0,100,0,0
211,45008,哥布林,0,1,33190,33346,10,10,0,0,0,0,0,60,120,4,0,100,0,0
213,45008,哥布林,0,1,33219,33320,10,10,0,0,0,0,0,60,120,4,0,100,0,0
215,45008,哥布林,0,1,33271,33431,10,10,0,0,0,0,0,60,120,4,0,100,0,0
217,45008,哥布林,0,1,33062,33451,10,10,0,0,0,0,0,60,120,4,0,100,0,0
219,45008,哥布林,0,1,33092,33182,10,10,0,0,0,0,0,60,120,4,0,100,0,0
221,45008,哥布林,0,1,33132,33342,10,10,0,0,0,0,0,60,120,4,0,100,0,0
223,45008,哥布林,0,1,33166,33263,10,10,0,0,0,0,0,60,120,4,0,100,0,0
225,45008,哥布林,0,1,33146,33194,10,10,0,0,0,0,0,60,120,4,0,100,0,0
227,45008,哥布林,5,1,33073,33293,10,10,0,0,0,0,0,60,120,4,0,100,0,0
229,45008,哥布林,0,1,33179,33337,10,10,0,0,0,0,0,60,120,4,0,100,0,0
231,45008,哥布林,0,1,33120,33232,10,10,0,0,0,0,0,60,120,4,0,100,0,0
233,45008,哥布林,0,1,33046,33309,10,10,0,0,0,0,0,60,120,4,0,100,0,0
235,45008,哥布林,0,1,32756,32849,10,10,0,0,0,0,0,60,120,68,0,0,0,0
237,45008,哥布林,0,1,32677,32865,10,10,0,0,0,0,0,60,120,68,0,0,0,0
239,45008,哥布林,0,1,32683,32813,10,10,0,0,0,0,0,60,120,68,0,0,0,0
241,45008,哥布林,0,1,32684,32713,10,10,0,0,0,0,0,60,120,68,0,0,0,0
243,45008,哥布林,0,1,32705,32640,10,10,0,0,0,0,0,60,120,68,0,0,0,0
245,45008,哥布林,5,1,32791,32709,10,10,0,0,0,0,0,60,120,68,0,0,0,0
247,45008,哥布林,0,1,32871,32673,10,10,0,0,0,0,0,60,120,68,0,0,0,0
249,45008,哥布林,0,1,32795,32633,10,10,0,0,0,0,0,60,120,68,0,0,0,0
251,45008,哥布林,0,1,32862,32712,10,10,0,0,0,0,0,60,120,68,0,0,0,0
253,45008,哥布林,0,1,32657,32814,10,10,0,0,0,0,0,60,120,69,0,0,0,0
255,45008,哥布林,0,1,32663,32769,10,10,0,0,0,0,0,60,120,69,0,0,0,0
257,45008,哥布林,0,1,32653,32798,10,10,0,0,0,0,0,60,120,69,0,0,0,0
259,45008,哥布林,0,1,32665,32724,10,10,0,0,0,0,0,60,120,69,0,0,0,0
261,45008,哥布林,0,1,32687,32747,10,10,0,0,0,0,0,60,120,69,0,0,0,0
263,45008,哥布林,0,1,32718,32917,10,10,0,0,0,0,0,60,120,69,0,0,0,0
265,45008,哥布林,5,1,32644,32906,10,10,0,0,0,0,0,60,120,69,0,0,0,0
267,45008,哥布林,0,1,32609,32988,10,10,0,0,0,0,0,60,120,69,0,0,0,0
269,45008,哥布林,0,1,32544,32914,10,10,0,0,0,0,0,60,120,69,0,0,0,0
