spr_id,act_id,frame_count,frame_rate
0,0,16,24
0,1,20,24
0,4,16,24
0,5,24,24
0,11,16,24
0,12,22,24
0,17,30,24
0,18,33,24
0,19,37,24
0,20,16,24
0,21,30,24
0,24,16,24
0,25,21,24
0,40,16,24
0,41,22,24
0,46,16,24
0,47,21,24
0,50,16,24
0,51,28,24
0,55,24,24
0,66,44,24
0,67,38,24
1,0,16,24
1,1,20,24
1,4,16,24
1,5,24,24
1,11,16,24
1,12,22,24
1,17,30,24
1,18,33,24
1,19,37,24
1,20,16,24
1,21,30,24
1,24,16,24
1,25,21,24
1,40,16,24
1,41,22,24
1,46,16,24
1,47,21,24
1,50,16,24
1,51,28,24
1,55,24,24
1,66,48,24
1,67,54,24
10,0,17,24
29,0,24,24
29,1,43,24
29,17,43,24
29,19,43,24
30,1,23,24
30,28,3,24
30,30,32,24
30,0,16,24
30,19,36,24
30,18,36,24
30,17,23,24
31,0,21,24
31,1,16,24
31,17,16,24
32,0,20,24
32,1,45,24
32,30,21,24
32,17,21,24
32,18,18,24
32,19,24,24
33,0,16,24
33,1,24,24
33,19,36,24
33,18,36,24
33,17,24,24
34,28,4,24
34,29,4,24
35,0,1,24
37,0,16,24
37,1,19,24
37,4,16,24
37,5,21,24
37,11,16,24
37,12,26,24
37,17,37,24
37,18,28,24
37,19,32,24
37,20,16,24
37,21,24,24
37,24,16,24
37,25,29,24
37,40,16,24
37,41,26,24
37,46,16,24
37,47,19,24
37,66,60,24
37,67,48,24
38,28,4,24
38,29,4,24
39,28,4,24
39,29,4,24
40,28,4,24
40,29,4,24
48,0,16,24
48,1,20,24
48,4,16,24
48,5,22,24
48,11,16,24
48,12,24,24
48,17,33,24
48,18,31,24
48,19,35,24
48,20,16,24
48,21,36,24
48,24,16,24
48,25,21,24
48,40,16,24
48,41,24,24
48,46,16,24
48,47,21,24
48,50,16,24
48,51,25,24
48,55,22,24
48,66,76,24
48,67,68,24
49,0,32,24
49,1,66,24
49,4,36,24
49,11,40,24
49,19,66,24
49,18,66,24
49,17,66,24
51,24,12,24
51,25,21,24
51,30,13,24
52,0,50,24
52,1,26,24
52,19,40,24
52,18,40,24
52,17,26,24
53,0,12,24
53,1,19,24
53,30,20,24
53,18,20,24
53,19,26,24
54,0,15,24
54,1,37,24
54,19,37,24
54,18,37,24
54,17,37,24
55,0,36,24
56,0,20,24
56,1,33,24
56,19,36,24
56,18,36,24
56,17,30,24
57,20,20,24
57,21,47,24
57,30,18,24
57,19,44,24
57,18,36,24
57,17,18,24
61,0,16,24
61,1,20,24
61,4,16,24
61,5,22,24
61,11,16,24
61,12,24,24
61,17,28,24
61,18,31,24
61,19,35,24
61,20,16,24
61,21,36,24
61,24,16,24
61,25,21,24
61,40,16,24
61,41,24,24
61,46,16,24
61,47,21,24
61,50,16,24
61,51,25,24
61,55,22,24
61,66,80,24
61,67,68,24
62,28,4,24
62,29,4,24
63,28,4,24
63,29,4,24
64,28,4,24
64,29,4,24
65,28,4,24
65,29,4,24
66,0,3,24
88,28,4,24
88,29,4,24
89,28,4,24
89,29,4,24
90,28,4,24
90,29,4,24
91,28,4,24
91,29,4,24
92,28,4,24
92,29,4,24
92,30,4,24
93,28,4,24
93,29,4,24
93,30,4,24
94,4,16,24
94,5,23,24
94,30,19,24
94,18,35,24
94,19,35,24
94,17,23,24
95,0,12,24
95,1,22,24
95,19,42,24
95,18,42,24
95,17,21,24
96,0,12,24
96,1,25,24
96,30,18,24
96,19,37,24
96,18,37,24
96,17,33,24
98,0,16,24
98,18,12,24
98,19,20,24
100,0,24,24
100,18,12,24
100,19,27,24
102,0,16,24
102,4,12,24
104,0,30,24
105,28,4,24
105,29,4,24
106,28,4,24
106,29,4,24
107,28,4,24
107,29,4,24
108,28,4,24
108,29,4,24
109,28,4,24
109,29,4,24
110,24,12,24
110,25,28,24
110,30,19,24
110,19,19,24
110,18,19,24
111,4,16,24
111,5,27,24
111,30,19,24
111,19,19,24
111,18,19,24
114,0,4,24
116,0,4,24
118,0,16,24
120,28,4,24
120,29,4,24
122,28,4,24
122,29,4,24
123,0,275,24
125,28,4,24
125,29,4,24
126,28,4,24
126,29,4,24
128,1,15,24
128,28,3,24
128,30,32,24
128,0,16,24
128,19,15,24
128,18,15,24
129,0,275,24
133,0,12,24
134,0,4,24
136,0,4,24
138,0,16,24
138,1,19,24
138,4,16,24
138,5,21,24
138,11,16,24
138,12,26,24
138,17,28,24
138,18,28,24
138,19,32,24
138,20,16,24
138,21,24,24
138,24,16,24
138,25,26,24
138,40,16,24
138,41,26,24
138,46,16,24
138,47,19,24
138,66,52,24
138,67,60,24
140,0,23,24
141,0,25,24
142,0,36,24
143,0,14,24
143,1,37,24
144,0,32,24
144,1,18,24
144,19,36,24
144,18,36,24
144,17,18,24
145,0,20,24
145,1,23,24
145,28,3,24
145,4,32,24
145,11,32,24
145,19,36,24
145,18,36,24
145,17,23,24
146,0,12,24
146,1,21,24
146,19,42,24
146,18,42,24
146,17,21,24
147,24,12,24
147,25,21,24
147,30,13,24
148,0,12,24
148,1,21,24
148,24,12,24
148,25,21,24
148,30,13,24
149,0,4,24
152,0,16,24
152,1,21,24
152,30,18,24
152,17,41,24
152,18,41,24
152,19,41,24
158,28,4,24
158,29,4,24
159,28,4,24
159,29,4,24
160,28,4,24
160,29,4,24
161,28,4,24
161,29,4,24
166,0,19,24
167,0,10,24
168,0,26,24
169,0,7,24
170,0,19,24
171,0,5,24
172,0,46,24
173,0,16,24
173,30,20,24
173,1,37,24
173,18,20,24
173,19,28,24
180,0,16,24
183,0,16,24
183,30,20,24
183,1,22,24
183,18,15,24
183,19,20,24
185,0,16,24
185,30,20,24
185,1,37,24
185,18,20,24
185,19,25,24
187,0,16,24
187,30,20,24
187,1,37,24
187,18,20,24
187,19,28,24
189,0,18,24
190,0,18,24
191,0,18,24
192,0,18,24
193,0,18,24
194,0,18,24
195,0,18,24
196,0,18,24
197,0,18,24
198,0,18,24
199,0,16,24
200,0,16,24
201,0,16,24
202,0,16,24
203,0,16,24
204,0,16,24
205,0,16,24
206,0,16,24
207,0,16,24
208,0,16,24
209,0,16,24
210,0,16,24
211,0,16,24
212,0,10,24
213,0,10,24
214,0,10,24
215,0,10,24
216,0,14,24
217,0,14,24
218,0,14,24
219,0,14,24
220,0,4,24
221,0,10,24
222,0,12,24
224,0,20,24
226,0,20,24
227,0,20,24
228,0,20,24
229,0,20,24
230,0,20,24
231,0,20,24
232,0,20,24
233,0,20,24
234,0,16,24
235,0,14,24
236,0,14,24
237,0,32,24
237,18,12,24
237,19,27,24
240,0,16,24
240,1,15,24
240,30,19,24
240,18,22,24
240,31,22,24
240,19,24,24
243,0,30,24
244,0,128,24
245,0,30,24
246,0,16,24
246,1,31,24
246,19,31,24
246,18,31,24
246,17,31,24
248,29,4,24
248,28,4,24
249,29,4,24
249,28,4,24
250,29,4,24
250,28,4,24
251,29,4,24
251,28,4,24
252,0,14,24
255,0,25,24
255,30,19,24
255,1,16,24
255,19,19,24
255,18,19,24
255,17,19,24
257,0,27,24
257,30,19,24
257,1,16,24
257,19,19,24
257,18,19,24
257,17,19,24
259,0,24,24
261,30,23,24
261,4,24,24
261,0,16,24
265,0,30,24
266,0,20,24
266,30,20,24
266,1,37,24
267,0,16,24
267,1,23,24
275,0,16,24
276,0,16,24
279,0,16,24
287,0,16,24
298,0,16,24
303,0,16,24
304,0,16,24
321,0,16,24
323,0,16,24
326,0,16,24
335,0,16,24
335,1,29,24
337,0,16,24
338,0,16,24
339,28,4,24
339,29,4,24
350,29,4,24
350,28,4,24
351,29,4,24
351,28,4,24
352,29,4,24
352,28,4,24
362,0,16,36
362,4,16,36
362,11,16,36
362,20,16,36
362,24,16,36
362,40,16,36
362,46,16,36
362,50,16,36
362,54,16,36
362,58,16,36
362,62,16,36
362,18,16,36
362,19,18,36
362,30,19,36
362,31,22,36
362,1,13,24
362,5,13,24
362,12,13,24
362,25,13,24
362,41,13,24
362,47,13,24
362,51,13,24
362,55,13,24
362,59,13,24
363,0,16,36
363,4,16,36
363,11,16,36
363,20,16,36
363,24,16,36
363,40,16,36
363,46,16,36
363,50,16,36
363,54,16,36
363,58,16,36
363,62,16,36
363,18,16,36
363,19,18,36
363,1,13,24
363,5,13,24
363,12,13,24
363,25,13,24
363,41,13,24
363,47,13,24
363,51,13,24
363,55,13,24
363,59,13,24
365,0,16,36
365,4,16,36
365,11,16,36
365,20,16,36
365,24,16,36
365,40,16,36
365,46,16,36
365,50,16,36
365,54,16,36
365,58,16,36
365,62,16,36
365,18,16,36
365,19,18,36
365,1,13,24
365,5,13,24
365,12,13,24
365,41,13,24
365,47,13,24
365,51,13,24
365,55,13,24
365,59,13,24
367,0,16,36
367,4,16,36
367,11,16,36
367,20,16,36
367,24,16,36
367,40,16,36
367,46,16,36
367,50,16,36
367,54,16,36
367,58,16,36
367,62,16,36
367,17,14,36
367,18,16,36
367,19,18,36
367,31,20,36
367,1,13,24
367,5,13,24
367,12,13,24
367,41,13,24
367,47,13,24
367,51,13,24
367,55,13,24
367,59,13,24
369,0,16,36
369,4,16,36
369,11,16,36
369,20,16,36
369,24,16,36
369,40,16,36
369,46,16,36
369,50,16,36
369,54,16,36
369,58,16,36
369,62,16,36
369,18,16,36
369,19,18,36
369,21,16,24
369,63,16,24
375,0,16,24
378,0,16,24
381,0,16,24
382,0,16,24
384,0,55,24
385,0,52,24
386,0,60,24
387,0,39,24
388,0,52,24
399,0,16,24
442,29,4,24
442,28,4,24
443,28,4,24
443,29,4,24
444,29,4,24
444,28,4,24
445,29,4,24
445,28,4,24
446,29,4,24
446,28,4,24
447,29,4,24
447,28,4,24
448,29,4,24
448,28,4,24
457,0,16,24
460,0,16,24
460,28,8,24
460,29,8,24
463,0,16,24
465,0,16,24
467,0,16,24
469,0,16,24
471,0,16,24
473,0,16,24
474,0,16,24
475,0,16,24
476,0,16,24
477,0,16,24
479,0,16,24
484,0,16,24
485,0,16,24
486,0,16,24
489,0,16,24
492,0,16,24
493,0,16,24
497,0,16,24
500,0,16,24
501,0,16,24
503,0,16,24
504,0,16,24
506,0,16,24
510,0,16,24
514,0,16,24
525,0,16,24
528,0,16,24
531,0,16,24
541,0,16,24
543,0,16,24
549,0,16,24
551,0,16,24
554,0,16,24
561,0,16,24
566,0,16,24
568,0,16,24
578,0,16,24
579,0,16,24
585,0,16,24
586,0,16,24
588,0,16,24
592,0,16,24
593,0,16,24
596,0,16,24
599,0,16,24
604,0,16,24
609,0,16,24
610,0,16,24
624,0,16,24
642,0,16,24
643,0,16,24
646,0,16,24
649,0,16,24
651,0,16,24
656,0,16,24
