item_id,note,probability,prob_enchant,fix_damage,random_damage,skill_id,arrow_type,enable_mr,enable_attr_mr
47,沉默之劍,2,0,0,0,64,0,1,1
54,失去魔力的克特之劍,15,0,35,25,6000,0,1,1
58,死亡騎士的烈炎之劍,7,0,75,15,6001,0,1,1
76,倫得雙刀,15,0,35,25,6002,0,1,1
121,冰之女王魔杖,25,2,95,55,6003,0,1,1
203,炎魔雙手劍八階,15,0,90,90,6004,0,1,1
205,熾炎天使弓,5,0,8,0,6005,1,1,1
256,萬聖節南瓜長劍,8,0,35,25,6006,0,1,1
257,萬聖節南瓜長劍,8,0,35,25,6006,0,1,1
258,終極萬聖節南瓜長劍,8,0,35,25,6006,0,1,1
303,幸運的巨斧,8,0,35,25,6006,0,1,1
304,隱藏的魔族之劍,8,0,35,25,6006,0,1,1
305,隱藏的魔族弓箭,8,0,0,0,167,0,1,1
306,隱藏的魔族魔杖,8,0,0,0,167,0,1,1
307,隱藏的魔族鋼爪,8,0,0,0,167,0,1,1
308,隱藏的魔族鎖鏈劍,8,0,35,25,6006,0,1,1
309,隱藏的魔族奇古獸,8,0,35,25,6006,0,1,1
